source_id,existing_source_id,case_id,source_tier,source_type,title,year,url,evidence_level,review_status,disposition,supports,interpretation_limit,notes
R9S001,,R9C_NAGO_1997,primary_official,official_prefecture_report,沖縄の米軍基地・基地問題の沿革（1997年部分）,2003,https://www.pref.okinawa.jp/kititaisaku/DP-08-13.pdf,E4,qa_verified,accepted,名护代表者证明、签名、直接请求、议会修正、条例与投票程序,,
R9S002,S042,R9C_NAGO_1997,primary_official,municipal_timeline,移設問題の動向（年表）,2026,https://www.city.nago.okinawa.jp/kurashi/2018071900226/,E4,qa_verified,accepted,反对多数、投票后市长接受并辞职,,
R9S003,,R9C_NAGO_1997,primary_official,municipal_election_page,その他の選挙（県民投票・市民投票）,2026,https://www.city.nago.okinawa.jp/kurashi/2018071901216/,E4,qa_verified,accepted,1997投票日期与官方结果文件入口,,
R9S005,S071,R9C_YONAGUNI_2015,structured_legal_secondary,university_legal_database,与那国島への自衛隊基地建設の民意を問う住民投票条例,2014,https://greenaccess.law.osaka-u.ac.jp/archives/7214,E3,qa_verified,usable_with_limit,条例第23号及2015年两次修正、执行与投票资格,不是町公报或议会原件；需当地交叉。,
R9S006,,R9C_YONAGUNI_2015,primary_official,municipal_policy_statement,平成27年度 与那国町施政方針,2015,https://www.town.yonaguni.okinawa.jp/docs/2018041100076/file_contents/H27siseihousin.pdf,E4,qa_verified,accepted,町长对投票结果的行政解释,官方立场不替代完整结果表。,
R9S007,S011,R9C_YONAGUNI_2015,secondary_local,local_news,与那国住民投票 陸自配備を容認 賛成632、反対445,2015,https://ryukyushimpo.jp/news/prentry-239307.html,E3,qa_verified,usable_with_limit,投票结果数字,需町选管原表升级为E4。,
R9S009,,R9C_PREF_2019,primary_official,prefectural_proposal,平成30年第6回沖縄県議会臨時会 提案説明,2018,https://www.pref.okinawa.jp/kensei/kencho/1001519/1001591/1018974/1018988.html,E4,qa_verified,accepted,9月5日直接请求、签名与条例付议,,
R9S010,,R9C_PREF_2019,primary_official,official_gazette,沖縄県公報号外第43号・県民投票条例第62号,2018,https://www.pref.okinawa.jp/kenkouhou/H30/10gatsu/181031gogai43.pdf,E4,qa_verified,accepted,条例公布、目的、执行与通知制度,,
R9S011,,R9C_PREF_2019,primary_official,official_gazette,沖縄県公報号外第2号・県民投票条例一部改正,2019,https://www.pref.okinawa.jp/kenkouhou/H31/1gatsu/190131gogai2.pdf,E4,qa_verified,accepted,加入第三选项,,
R9S012,,R9C_PREF_2019,primary_official,prefectural_chronology,辺野古新基地建設問題の経緯,2026,https://www.pref.okinawa.jp/heiwakichi/futenma/1017409/1017427.html,E4,qa_verified,accepted,投票结果与结果通知,,
R9S013,,R9C_PREF_2019,primary_official,assembly_record,沖縄県議会会議録・県民投票条例直接請求,2018,https://www2.pref.okinawa.jp/oki/Gikairep1.nsf/GoZentai/20180703000000,E4,qa_verified,accepted,"法定23,171、有效92,848签名与直接请求性质",,
R9S014,S138,R9C_ISHIGAKI_2018_2024,primary_official,municipal_notice,陸上自衛隊配備計画の賛否を問う住民投票条例に係る議会審議結果,2020,https://www.city.ishigaki.okinawa.jp/jieiteikannrenn/news/3615.html,E4,qa_verified,accepted,第一次议会审议结果与附件入口,,
R9S015,S137,R9C_ISHIGAKI_2018_2024,primary_official,court_judgment,石垣市住民投票実施義務付け等請求事件判決,2020,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-89731.pdf,E4,qa_verified,accepted,签名、请求、令和元年行ウ14/15及全部却下,使用法院迁移后URL；主source log旧URL尚未在本脚本中修改。,
R9S016,,R9C_ISHIGAKI_2018_2024,primary_official,court_preservation_list,那覇地方裁判所特別保存事件一覧,2024,https://www.courts.go.jp/naha/vc-files/naha/2024/chisai/minji/tokubetuhozon/R3kanketubunitiranhyou.pdf,E4,qa_verified,accepted,令和元年行ウ14/15及终局日,,
R9S017,S051,R9C_ISHIGAKI_2018_2024,invalid_current_capture,repurposed_domain,石垣市住民投票を求める会旧官网URL当前捕获,2026,https://ishigaki-tohyo.com/,E0,qa_rejected,rejected,不支持任何正式R9事实,当前页面和本地raw.html均为无关旅游站。,
R9S018,,R9C_ISHIGAKI_2018_2024,primary_official,municipal_review_material,石垣市自治基本条例 これまでの見直し・改正,2025,https://www.city.ishigaki.okinawa.jp/material/files/group/9/r71zitikihon_siryou1-3.pdf,E4,qa_verified,accepted,2021年删除第27/28条,,
