incidence_id,edge_id,actor_id,issue_id,issue_label,evidence_level,source_ref_token,source_id,source_resolution_status,stated_support_ref_count,removed_if_this_source_dropped_alone,research_status,display_tier,claim_status,review_status,interpretation_limit
H1ES0001,AI001,A001,I004,dugong,E4,S006,S006,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0002,AI001,A001,I004,dugong,E4,S007,S007,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0003,AI001,A001,I004,dugong,E4,S008,S008,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0004,AI002,A001,I012,international_advocacy,E4,S006,S006,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0005,AI002,A001,I012,international_advocacy,E4,S007,S007,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0006,AI002,A001,I012,international_advocacy,E4,S008,S008,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0007,AI003,A001,I003,Henoko,E4,S006,S006,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0008,AI003,A001,I003,Henoko,E4,S007,S007,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0009,AI003,A001,I003,Henoko,E4,S008,S008,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0010,AI004,A002,I004,dugong,E4,S007,S007,resolved_source_id,4,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0011,AI004,A002,I004,dugong,E4,S057,S057,resolved_source_id,4,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0012,AI004,A002,I004,dugong,E4,S058,S058,resolved_source_id,4,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0013,AI004,A002,I004,dugong,E4,S059,S059,resolved_source_id,4,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0014,AI005,A002,I012,international_advocacy,E4,S007,S007,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0015,AI005,A002,I012,international_advocacy,E4,S058,S058,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0016,AI006,A003,I004,dugong,E3,S003,S003,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0017,AI007,A003,I005,biodiversity,E3,S003,S003,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0018,AI008,A004,I005,biodiversity,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0019,AI009,A004,I003,Henoko,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0020,AI010,A005,I004,dugong,E4,S003,S003,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0021,AI011,A005,I005,biodiversity,E4,S003,S003,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0022,AI012,A006,I005,biodiversity,E4,S003,S003,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0023,AI013,A006,I001,anti_base,E4,S003,S003,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0024,AI014,A007,I019,peace,E4,S005,S005,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0025,AI015,A007,I001,anti_base,E4,S005,S005,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0026,AI016,A007,I012,international_advocacy,E4,S005,S005,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0027,AI017,A008,I019,peace,E4,S065,S065,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0028,AI017,A008,I019,peace,E4,S066,S066,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0029,AI017,A008,I019,peace,E4,S067,S067,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0030,AI018,A008,I001,anti_base,E3,S064,S064,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0031,AI019,A009,I011,legal,E4,S009,S009,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0032,AI020,A009,I004,dugong,E4,S009,S009,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0033,AI021,A009,I012,international_advocacy,E4,S009,S009,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0034,AI022,A010,I002,anti_military,E4,S016,S016,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0035,AI022,A010,I002,anti_military,E4,S017,S017,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0036,AI023,A010,I006,groundwater,E4,S017,S017,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0037,AI024,A010,I009,local_autonomy,E3,S016,S016,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
