"search_id","actor_id","canonical_name","anchor_basis","search_date","query_protocol","service_side_terms","language_scope","direct_org_interface_result","person_overlap_status","recipient_overlap_status","false_positive_or_collision","result_urls","interpretation_boundary","review_status","package_scope","frontend_eligibility"
"H2PS001","A002","ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）","human_reviewed_anchor_issue_edge","2026-07-20","exact actor name and aliases crossed with the same service-side term set","Marine Thrift Shop;MTS Okinawa;Okinawa International Women's Club;OIWC;AWWA;American Women's Welfare Association;米国婦人福祉協会;寄付;recipient;board","Japanese_and_English","searched_corpus_not_found_attributable_direct_organization_interface","not_measured_person_rosters_incomplete","not_measured_recipient_rosters_incomplete","Dugong and Okinawa community results without attributable service-side organization relation","","One symmetric query family did not locate a direct organization interface; it cannot establish absence of contact, shared people or unindexed support.","ai_research_search_log","research_only","excluded_research_only"
"H2PS002","A008","NGO非戦ネット","human_reviewed_anchor_issue_edge","2026-07-20","exact actor name and aliases crossed with the same service-side term set","Marine Thrift Shop;MTS Okinawa;Okinawa International Women's Club;OIWC;AWWA;American Women's Welfare Association;米国婦人福祉協会;寄付;recipient;board","Japanese_and_English","searched_corpus_not_found_attributable_direct_organization_interface","not_measured_person_rosters_incomplete","not_measured_recipient_rosters_incomplete","Generic antiwar and charity results; no attributable dyadic record","","No indexed co-mention is not evidence of organizational separation outside the bounded corpus.","ai_research_search_log","research_only","excluded_research_only"
"H2PS003","A016","与那国島の明るい未来を願うイソバの会","human_reviewed_anchor_issue_edge","2026-07-20","exact actor name and aliases crossed with the same service-side term set","Marine Thrift Shop;MTS Okinawa;Okinawa International Women's Club;OIWC;AWWA;American Women's Welfare Association;米国婦人福祉協会;寄付;recipient;board","Japanese_and_English","searched_corpus_not_found_attributable_direct_organization_interface","not_measured_person_rosters_incomplete","not_measured_recipient_rosters_incomplete","Yonaguni movement and island-welfare results without attributable interface","","Local print, personal and event records remain outside the search design.","ai_research_search_log","research_only","excluded_research_only"
"H2PS004","A019","ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）","human_reviewed_anchor_issue_edge","2026-07-20","exact actor name and aliases crossed with the same service-side term set","Marine Thrift Shop;MTS Okinawa;Okinawa International Women's Club;OIWC;AWWA;American Women's Welfare Association;米国婦人福祉協会;寄付;recipient;board","Japanese_and_English","searched_corpus_not_found_attributable_direct_organization_interface","not_measured_person_rosters_incomplete","not_measured_recipient_rosters_incomplete","Henoko event results and generic spouse-club pages; no attributable dyad","","The long canonical name creates low recall; short-name collisions create false positives.","ai_research_search_log","research_only","excluded_research_only"
"H2PS005","A052","嘉手納基地爆音差止訴訟原告団","human_reviewed_anchor_issue_edge","2026-07-20","exact actor name and aliases crossed with the same service-side term set","Marine Thrift Shop;MTS Okinawa;Okinawa International Women's Club;OIWC;AWWA;American Women's Welfare Association;米国婦人福祉協会;寄付;recipient;board","Japanese_and_English","searched_corpus_not_found_attributable_direct_organization_interface","not_measured_person_rosters_incomplete","not_measured_recipient_rosters_incomplete","Kadena location collision with spouse-club and school results","","Shared geography is not an organization interface; litigation rosters and spouse-club rosters are not fully public.","ai_research_search_log","research_only","excluded_research_only"
"H2PS006","A053","普天間基地爆音訴訟団","human_reviewed_anchor_issue_edge","2026-07-20","exact actor name and aliases crossed with the same service-side term set","Marine Thrift Shop;MTS Okinawa;Okinawa International Women's Club;OIWC;AWWA;American Women's Welfare Association;米国婦人福祉協会;寄付;recipient;board","Japanese_and_English","searched_corpus_not_found_attributable_direct_organization_interface","not_measured_person_rosters_incomplete","not_measured_recipient_rosters_incomplete","Futenma location collision without attributable service-side relation","","Case participation and welfare contact cannot be inferred from place co-occurrence.","ai_research_search_log","research_only","excluded_research_only"
"H2PS007","A076","ジュゴン保護基金委員会（Save the Dugong Foundation）","human_reviewed_anchor_issue_edge","2026-07-20","exact actor name and aliases crossed with the same service-side term set","Marine Thrift Shop;MTS Okinawa;Okinawa International Women's Club;OIWC;AWWA;American Women's Welfare Association;米国婦人福祉協会;寄付;recipient;board","Japanese_and_English","searched_corpus_not_found_attributable_direct_organization_interface","not_measured_person_rosters_incomplete","not_measured_recipient_rosters_incomplete","English conservation and donation vocabulary collisions","","English-language access is stronger for this anchor, but no attributable service-side dyad was located.","ai_research_search_log","research_only","excluded_research_only"
"H2PS008","A086","Turtle Island Restoration Network","human_reviewed_anchor_issue_edge","2026-07-20","exact actor name and aliases crossed with the same service-side term set","Marine Thrift Shop;MTS Okinawa;Okinawa International Women's Club;OIWC;AWWA;American Women's Welfare Association;米国婦人福祉協会;寄付;recipient;board","Japanese_and_English","searched_corpus_not_found_attributable_direct_organization_interface","not_measured_person_rosters_incomplete","not_measured_recipient_rosters_incomplete","U.S. nonprofit donation and board-page collisions outside Okinawa","","Broad U.S. web visibility raises false positives and does not improve detection of Okinawa private contact.","ai_research_search_log","research_only","excluded_research_only"
"H2PS009","A102","全国公害弁護団連絡会議","human_reviewed_anchor_issue_edge","2026-07-20","exact actor name and aliases crossed with the same service-side term set","Marine Thrift Shop;MTS Okinawa;Okinawa International Women's Club;OIWC;AWWA;American Women's Welfare Association;米国婦人福祉協会;寄付;recipient;board","Japanese_and_English","searched_corpus_not_found_attributable_direct_organization_interface","not_measured_person_rosters_incomplete","not_measured_recipient_rosters_incomplete","Legal-network materials without service-side organization co-mention","","National network visibility does not measure individual-lawyer private affiliations.","ai_research_search_log","research_only","excluded_research_only"
"H2PS010","A103","全国基地爆音訴訟原告団連絡会議","human_reviewed_anchor_issue_edge","2026-07-20","exact actor name and aliases crossed with the same service-side term set","Marine Thrift Shop;MTS Okinawa;Okinawa International Women's Club;OIWC;AWWA;American Women's Welfare Association;米国婦人福祉協会;寄付;recipient;board","Japanese_and_English","searched_corpus_not_found_attributable_direct_organization_interface","not_measured_person_rosters_incomplete","not_measured_recipient_rosters_incomplete","Noise-litigation network results only","","A national plaintiff network is not expected to disclose ordinary welfare contacts; bounded non-findings remain low-power.","ai_research_search_log","research_only","excluded_research_only"
"H2PS011","A104","普天間基地爆音訴訟弁護団","human_reviewed_anchor_issue_edge","2026-07-20","exact actor name and aliases crossed with the same service-side term set","Marine Thrift Shop;MTS Okinawa;Okinawa International Women's Club;OIWC;AWWA;American Women's Welfare Association;米国婦人福祉協会;寄付;recipient;board","Japanese_and_English","searched_corpus_not_found_attributable_direct_organization_interface","not_measured_person_rosters_incomplete","not_measured_recipient_rosters_incomplete","Counsel/litigation results; no service-side dyad","","Lawyer identity and organization identity remain distinct; personal overlap was not measured.","ai_research_search_log","research_only","excluded_research_only"
"H2PS012","A105","日本YWCA","human_reviewed_anchor_issue_edge","2026-07-20","exact actor name and aliases crossed with the same service-side term set","Marine Thrift Shop;MTS Okinawa;Okinawa International Women's Club;OIWC;AWWA;American Women's Welfare Association;米国婦人福祉協会;寄付;recipient;board","Japanese_and_English","searched_corpus_not_found_attributable_direct_organization_interface","not_measured_person_rosters_incomplete","not_measured_recipient_rosters_incomplete","Women's-organization vocabulary collision; no attributable OIWC/AWWA/MTS relation","","Similar gendered organization forms are not affiliation evidence.","ai_research_search_log","research_only","excluded_research_only"
"H2PS013","A106","辺野古の海を土砂で埋めるな！首都圏連絡会","human_reviewed_anchor_issue_edge","2026-07-20","exact actor name and aliases crossed with the same service-side term set","Marine Thrift Shop;MTS Okinawa;Okinawa International Women's Club;OIWC;AWWA;American Women's Welfare Association;米国婦人福祉協会;寄付;recipient;board","Japanese_and_English","searched_corpus_not_found_attributable_direct_organization_interface","not_measured_person_rosters_incomplete","not_measured_recipient_rosters_incomplete","Mainland Henoko-action results without Okinawa service-side interface","","Mainland-solidarity visibility and Okinawa-local service visibility are asymmetrical source environments.","ai_research_search_log","research_only","excluded_research_only"
"H2PS014","A107","沖縄YWCA","human_reviewed_anchor_issue_edge","2026-07-20","exact actor name and aliases crossed with the same service-side term set","Marine Thrift Shop;MTS Okinawa;Okinawa International Women's Club;OIWC;AWWA;American Women's Welfare Association;米国婦人福祉協会;寄付;recipient;board","Japanese_and_English","searched_corpus_not_found_attributable_direct_organization_interface","not_measured_person_rosters_incomplete","not_measured_recipient_rosters_incomplete","Okinawa women's-group name collision and general welfare pages","","This is a higher-plausibility bridge candidate, but no attributable direct organization record was located.","ai_research_search_log","research_only","excluded_research_only"
"H2PS015","A108","沖縄を再び戦場にさせない県民の会","human_reviewed_anchor_issue_edge","2026-07-20","exact actor name and aliases crossed with the same service-side term set","Marine Thrift Shop;MTS Okinawa;Okinawa International Women's Club;OIWC;AWWA;American Women's Welfare Association;米国婦人福祉協会;寄付;recipient;board","Japanese_and_English","searched_corpus_not_found_attributable_direct_organization_interface","not_measured_person_rosters_incomplete","not_measured_recipient_rosters_incomplete","Recent antiwar event pages; no service-side organization co-mention","","A young network has limited time depth; non-finding cannot test earlier personal contact.","ai_research_search_log","research_only","excluded_research_only"
