"vocabulary_family","code","label_zh","definition","use_when","do_not_infer","allowed_tables","review_requirement"
"function_code","constraint","限制","Action explicitly seeks to stop delay prohibit condition revoke or restrict construction operation or deployment","The objective and target are source-traceable","Success project change or anti-U.S. actor identity","USN01","principal review of function and target"
"function_code","accountability","问责","Investigation damage recognition compensation disclosure review or attribution of responsibility","A formal or public accountability action/role is evidenced","Constraint success remediation or policy change","USN01","principal review of function and intermediate output"
"function_code","mitigation","损害缓解","Measures or services reduce a specified harm without necessarily changing the underlying military presence","A concrete harm and mitigating measure are named","Pro-base anti-base or acceptance of the underlying presence","USN01","principal review of function and harm target"
"function_code","garrison_reproduction","驻军社会再生产","Services mutual aid fundraising distribution or care sustain personnel families or base-community life capacities","A service/resource relation and beneficiary population are evidenced","Political support influence or legitimation","USN01","principal review of function and beneficiary scope"
"function_code","community_mediation","基地—地方社区中介","Resources services referrals or relationship interfaces cross the boundary between base/military-family organizations and Okinawan local welfare education child medical social-welfare-council or NPO fields","Both boundary sides direction and the concrete cross-boundary resource/service/referral fact are source-traceable","Political acceptance endorsement legitimation dependency influence continuity or garrison reproduction unless separately evidenced","USN01","principal review of boundary sides direction underlying fact and interpretation limit"
"function_code","legitimation","正当化","Explicit relationship-building/trust/acceptability strategy or evidenced public reception/effect concerning U.S. military presence","At least L1 evidence is present and mechanism_status states the achieved evidentiary level","Legitimacy effect from charity service or official publicity alone","USN01","principal interpretation review; L2/L3 required for reception/effect wording"
"function_code","mixed","复合","One indivisible observation explicitly contains two or more function codes","The fact cannot be decomposed and component_function_codes are stated","Permission to avoid precise coding","USN01","principal review of components and indivisibility"
"function_code","unknown","未定","Observation is in scope but available material cannot support a function classification","missing_scope states what is absent","Neutrality apolitical status or no effect","USN01","may remain unreviewed candidate; publication only as gap"
"functional_evidence_basis","explicit_purpose","明示目的","Source explicitly states the purpose of the action or relation","Coding intention or stated purpose","Observed outcome","USN01","purpose field reviewed"
"functional_evidence_basis","documented_action","可核行动","Source establishes that an action or service occurred","Coding observable conduct","Purpose effect or reception","USN01","action occurrence reviewed"
"functional_evidence_basis","formal_role","正式角色","Official record establishes a procedural organizational or governance role","Coding case/program/structure role","Broader stance outside the scope","USN01;USN06","role and scope reviewed"
"functional_evidence_basis","intermediate_output","中间产出","A judgment record vote report compensation or other formal output is evidenced","Separating institutional output from substantive change","Underlying project change","USN01;USN06","output and date reviewed"
"functional_evidence_basis","substantive_outcome","底层结果","Source establishes change in construction operation deployment or another prespecified outcome","Outcome field has direct evidence","Causation by the actor without a design","USN01;USN06","outcome and counterfactual boundary reviewed"
"functional_evidence_basis","reception_evidence","接受／反应","Recipient local institution or independent source records acceptance resistance or reinterpretation","Coding L2 legitimation evidence","Attitude change or representativeness","USN01","source independence and reception reviewed"
"functional_evidence_basis","researcher_inference_candidate","研究推断候选","Pattern is analytically plausible but not directly stated by evidence","Keeping a hypothesis in research-only layer","Fact claim or reviewed function","USN01","must remain candidate/lead"
"mechanism_status","observed_function","已观察功能","Function is supported at the action/relation level without a stronger effect claim","Normal function coding","Causal effect","USN01","human_checked/revised for reviewed use"
"mechanism_status","explicit_strategy_L1","明示策略 L1","Actor or official source states trust goodwill understanding partnership or acceptability goals","Legitimation intent/public frame","Reception or effect","USN01","principal interpretation review"
"mechanism_status","observed_reception_L2","可观察反应 L2","A distinct recipient/local/independent source records reception resistance or reinterpretation","Legitimation reception analysis","Attitude or behavior change","USN01","independence and reception reviewed"
"mechanism_status","measured_effect_L3","效果证据 L3","Repeatable attitude behavior or institutional effect evidence exists under an explicit design","Legitimation effect claim","General causal effect beyond design","USN01","principal and method review"
"mechanism_status","unresolved","机制未定","Evidence does not establish mechanism level","Visible gap","No effect or neutrality","USN01","none until upgraded"
"us_presence_link_type","direct_us_military_entity","美军实体直接连接","Observed target/provider/recipient is a typed U.S. military entity","Direct institutional connection exists","Political alignment","USN01;USN02;USN04;USN06","endpoint and role reviewed"
"us_presence_link_type","military_installation_or_program","基地／项目连接","Observation concerns a named installation operation or military program","Installation/program endpoint is resolved","U.S. origin of every participant","USN01;USN06","scope endpoint reviewed"
"us_presence_link_type","military_family_population","军人军属人群连接","Service or organization explicitly serves military personnel/families","Beneficiary scope is stated","Pro-base stance","USN01;USN04","beneficiary scope reviewed"
"us_presence_link_type","contested_base_project","基地争议项目","Action targets a named base construction operation deployment or harm","Target project is named","U.S. legal control of every project","USN01;USN06","target reviewed"
"us_presence_link_type","us_government_institution","美国政府机构","Observation enters or concerns a named U.S. government institution","Institution endpoint is resolved","Military control or funding","USN01;USN06","institution role reviewed"
"us_presence_link_type","us_origin_actor_only","仅组织美国来源","Only the actor's origin links the observation to the United States","Used as a scope warning","Direct relation to military presence","USN01","cannot support substantive U.S.-presence claim alone"
"us_presence_link_type","indirect_context","间接背景","U.S. military presence is contextual but no direct endpoint is established","Retaining bounded context","Direct institutional relation","USN01","must remain bounded/candidate"
"flow_type","donation","捐赠","Direct charitable monetary transfer","Source names transfer and endpoints","Sponsorship alliance or influence","USN02","relation and direction reviewed"
"flow_type","sponsorship","赞助","Source explicitly identifies sponsorship","Mechanism is named as sponsorship","Donation grant or amount not stated","USN02","mechanism reviewed"
"flow_type","grant_award","拨款／资助授予","Formal grant award to a named recipient","Award record/filing names recipient","Disbursement or downstream allocation unless stated","USN02","award and recipient reviewed"
"flow_type","commission_payment","委托付款","Payment under an official commission/contract mechanism","Contract/payment record states mechanism","Movement funding or grant","USN02","mechanism amount and period reviewed separately"
"flow_type","membership_contribution","会员缴款／分担","Member contribution to an umbrella or association","Formal filing/report names contribution","Control or general funding of all activities","USN02","membership and flow separately reviewed"
"flow_type","scholarship_award","奖学金","Named scholarship award or program transfer","Recipient/program and award are stated","Organization-to-organization political relation","USN02","recipient privacy and amount scope reviewed"
"flow_type","reimbursement","报销／偿付","Payment reimburses a documented cost","Source states reimbursement semantics","Grant sponsorship or support","USN02","amount semantics reviewed"
"amount_semantics","direct_payment","直接付款","Amount is a direct transfer between resolved endpoints","Payment record supports amount","Budget ceiling or aggregate allocation","USN02","amount currency direction reviewed"
"amount_semantics","awarded_ceiling","授予上限","Amount is an award/contract ceiling","Award instrument states ceiling","Full disbursement","USN02","wording must say ceiling"
"amount_semantics","annual_total","年度总额","Amount is an annual total within a stated scope","Source states annual aggregation","Recipient-level allocation","USN02","scope and period reviewed"
"amount_semantics","aggregate_multi_recipient","多受益方汇总","Amount combines recipients or programs","Aggregate scope is explicit","Any single recipient amount","USN02;USN04","graph_eligibility aggregate_observation"
"amount_semantics","estimated_value","估值","Non-cash item has an explicitly sourced valuation","Valuation basis is named","Cash payment","USN04","valuation method reviewed"
"amount_semantics","unknown","金额未知","Flow/service is supported but amount is absent","Core relation can be bounded","Zero amount","USN02;USN04","blank numeric amount required"
"identity_status","exact_reviewed","身份已核","Endpoint/person identity is human-reviewed exact","Authoritative crosswalk exists","All similarly named records are same entity","USN03;USN04;USN08","human_decision accept/revise"
"identity_status","candidate_match","同一性候选","Name/context suggests a match but is not approved","Research queue only","Shared person/actor edge","USN03;USN04;USN08","candidate/lead only"
"identity_status","ambiguous","身份歧义","Multiple plausible endpoints remain","All alternatives retained","Any one resolution","USN03;USN04;USN08","no graph endpoint"
"identity_status","unresolved_label","原文名称未解析","Only the source label is preserved","No reliable crosswalk","Actor status","USN04;USN08","aggregate or lead only"
"affiliation_type","umbrella_membership","伞状成员","Named member belongs to an umbrella coordination body","Formal member list/structure evidence","Control funding or common stance","USN05","relation type/direction reviewed"
"affiliation_type","regional_branch","地域分支","Local/regional entity is a formal branch or chapter","Official structure evidence","Legal identity equivalence unless stated","USN05","endpoint identity and structure reviewed"
"affiliation_type","operator","运营关系","Entity formally operates a facility/program","Operating authority is stated","Ownership or funding","USN05","scope and period reviewed"
"affiliation_type","fiscal_sponsorship","财务托管","Entity legally/financially sponsors a project/entity","Formal sponsorship agreement/filing","Program control beyond instrument","USN05","instrument and period reviewed"
"affiliation_type","governance_control","治理控制","Appointment ownership veto budget or operational authority is explicit","Control dimension is named","Control from membership/partnership","USN05","mandatory principal review"
"service_type","direct_service","直接服务","Provider directly delivers a named service","Service and beneficiary are stated","Long-term relation or stance","USN04","episode/program scope reviewed"
"service_type","in_kind_donation","实物捐赠","Goods or supplies are transferred","Item and recipient are stated","Cash amount","USN04","value blank unless valuation exists"
"service_type","equipment_donation","设备捐赠","Named equipment is transferred","Item and recipient are stated","Recurring support","USN04","episode date/period reviewed"
"service_type","welfare_grant","福利资助","Grant supports a welfare purpose or recipient","Award mechanism is confirmed","Political alliance or downstream use beyond source","USN04;USN02","money row linked when monetary"
"service_type","emergency_assistance","应急援助","Emergency material/financial/care assistance","Emergency scope is stated","Routine relationship","USN04","event/time reviewed"
"service_type","referral","转介","Provider refers beneficiary to another service/institution","Referral role is stated","Service delivery by referrer","USN04","roles reviewed"
"action_type","litigation","诉讼","Actor/person enters a court case in a named role","Caption/judgment/filing supports role","Stable alliance or success","USN06","case role reviewed"
"action_type","referendum_process","公投程序","Actor enters signature ordinance vote or judicial stage","Formal stage and role are evidenced","Binding effect or policy change","USN06","stage/role reviewed"
"action_type","public_comment_or_eia","公众意见／环评","Actor submits a dated formal comment or EIA participation","Submission is named and dated","Program change","USN06","submission/recipient reviewed"
"action_type","petition_or_request","请愿／请求","Actor makes a dated request to an institution","Actor action target are source-traceable","Acceptance or stable coordination","USN06","action/target reviewed"
"action_type","public_diplomacy_program","公共外交项目","Actor or institution holds an explicit exchange/outreach program role","Award/role/participation is evidenced","Funding or legitimation effect unless separately supported","USN06","opportunity award and participation separated"
"time_precision","exact_date","精确日期","YYYY-MM-DD is source-supported","Exact day is given","Full period","USN01;USN02;USN03;USN04;USN05;USN06","date field reviewed if used in reviewed graph"
"time_precision","month","月粒度","YYYY-MM is the strongest supported precision","Only month is known","Exact day","USN01;USN02;USN03;USN04;USN05;USN06","preserve precision"
"time_precision","year","年粒度","YYYY is the strongest supported precision","Only year is known","Exact dates or continuity","USN01;USN02;USN03;USN04;USN05;USN06","preserve precision"
"time_precision","fiscal_year","财政年度","Period is a named fiscal/filing year","Financial or official annual record","Calendar-year event date","USN02;USN03","period semantics required"
"time_precision","observed_at","观测时点","Source proves presence/role only at one observation","Dated roster/page/event","Tenure or continuous relation","USN03;USN05;USN07","period_semantics observed_at"
"time_precision","bounded_period","有界期间","Both start and end are supported or explicitly bounded","Period evidence exists","Activity outside bounds","USN01;USN02;USN03;USN04;USN05;USN06","start/end reviewed"
"time_precision","unknown","时间未定","No reliable event/period date is available","Record retained as gap","Current or historical continuity","USN01;USN02;USN03;USN04;USN05;USN06","not eligible for temporal SNA"
"network_metric_eligibility","not_eligible","不可做网络指标","Selection endpoints time review or missingness gates are incomplete","Default status","Network centrality/density","USN00","automatic until all gates pass"
"network_metric_eligibility","bounded_descriptive","有界描述","One layer has reviewed endpoints direction time denominator and sensitivity report","Descriptive metrics within the declared frame","Influence control causation or population estimate","USN00","principal method approval"
"network_metric_eligibility","comparative_descriptive","有界比较","Two or more matched frames use the same layer and comparable coverage","Comparative descriptive structure","Causal attribution","USN00","principal method approval and comparability audit"
