dimension_id,dimension_label,facet,category,subcategory,count,denominator,share_pct,unit,inclusion_rule,interpretive_limit
D1,时间,source_year_period,1972-1997,,4,295,1.4,source-log records,Source year binned to the Phase-1 plan periods.,"Source counts measure documentary visibility, not organization activity. Describes the working sample only; no population denominator or overall-distribution estimate."
D1,时间,source_year_period,1998-2012,,21,295,7.1,source-log records,Source year binned to the Phase-1 plan periods.,"Source counts measure documentary visibility, not organization activity. Describes the working sample only; no population denominator or overall-distribution estimate."
D1,时间,source_year_period,2013-2019,,77,295,26.1,source-log records,Source year binned to the Phase-1 plan periods.,"Source counts measure documentary visibility, not organization activity. Describes the working sample only; no population denominator or overall-distribution estimate."
D1,时间,source_year_period,2020-current,,170,295,57.6,source-log records,Source year binned to the Phase-1 plan periods.,"Source counts measure documentary visibility, not organization activity. Describes the working sample only; no population denominator or overall-distribution estimate."
D1,时间,source_year_period,unknown/undated,,23,295,7.8,source-log records,Source year binned to the Phase-1 plan periods.,"Source counts measure documentary visibility, not organization activity. Describes the working sample only; no population denominator or overall-distribution estimate."
D2,地点,actor_place_pair,Henoko,,45,130,34.6,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Okinawa Prefecture,,37,130,28.5,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Oura Bay,,6,130,4.6,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Yonaguni Town,,6,130,4.6,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Camp Foster,,4,130,3.1,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Ginowan,,4,130,3.1,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Kadena Air Base,,4,130,3.1,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Miyakojima City,,4,130,3.1,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Naha,,4,130,3.1,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Ishigaki City,,3,130,2.3,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Futenma,,2,130,1.5,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
