proposal_id,candidate_id,normalized_url,historical_source_log_match,snapshot_scope,snapshot_source_id,snapshot_source_state,snapshot_source_review_status,relation_or_claim_approved
RV2SP001,RV2C001,https://miyakojima-tikasui.com/about_us.html,S158,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S158,preexisting_reuse,human_checked,no
RV2SP002,RV2C001,https://miyakojima-tikasui.com,S204,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S204,preexisting_reuse,human_checked,no
RV2SP003,RV2C001,https://miyakojima-tikasui.com/crisis.html,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S269,nw2h_provisional_source_index,ai_seeded,no
RV2SP004,RV2C001,https://miyakojima-tikasui.com/report_activity/2021-10-08-04.pdf,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S270,nw2h_provisional_source_index,ai_seeded,no
RV2SP005,RV2C001,https://www.city.miyakojima.lg.jp/kurashi/seikatsu/kankyohozen/files/tikasui.pdf,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S271,nw2h_provisional_source_index,ai_seeded,no
RV2SP006,RV2C001,https://ryukyushimpo.jp/news/entry-1254033.html,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S272,nw2h_provisional_source_index,ai_seeded,no
RV2SP007,RV2C002,https://www.city.ginowan.lg.jp/material/files/group/61/hukusi_202212.pdf,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S273,nw2h_provisional_source_index,ai_seeded,no
RV2SP008,RV2C002,https://www.city.ginowan.lg.jp/material/files/group/61/ikensyo1.pdf,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S274,nw2h_provisional_source_index,ai_seeded,no
RV2SP009,RV2C002,https://www.asahi.com/articles/ASQ9S5J0LQ96TPOB004.html,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S275,nw2h_provisional_source_index,ai_seeded,no
RV2SP010,RV2C002,https://ryukyushimpo.jp/news/entry-1421139.html,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S276,nw2h_provisional_source_index,ai_seeded,no
RV2SP011,RV2C002,https://ryukyushimpo.jp/news/entry-1730706.html,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S277,nw2h_provisional_source_index,ai_seeded,no
RV2SP012,RV2C002,https://newsdig.tbs.co.jp/articles/-/2642471?display=1,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S278,nw2h_provisional_source_index,ai_seeded,no
RV2SP013,RV2C002,https://www.jcp.or.jp/akahata/aik25/2026-02-16/2026021611_01_0.php,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S279,nw2h_provisional_source_index,ai_seeded,no
RV2SP014,RV2C003,https://www.shinfujin.gr.jp/about/organization,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S280,nw2h_provisional_source_index,ai_seeded,no
RV2SP015,RV2C003,https://www.shinfujin.gr.jp/2943,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S254,nw2h_provisional_source_index,ai_seeded,no
RV2SP016,RV2C003,https://www.shinfujin.gr.jp/wp-content/uploads/2024/06/%E7%B1%B3%E5%85%B5%E5%B0%91%E5%A5%B3%E6%9A%B4%E8%A1%8C%E4%BA%8B%E4%BB%B6%E3%80%80%E5%86%85%E9%96%A3%E7%B7%8F%E7%90%86%E5%A4%A7%E8%87%A3%E5%B2%B8%E7%94%B0%E6%96%87%E9%9B%84%E6%A7%981.pdf,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S281,nw2h_provisional_source_index,ai_seeded,no
RV2SP017,RV2C003,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/014/905/h20gyouseikiroku.pdf,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S282,nw2h_provisional_source_index,ai_seeded,no
RV2SP018,RV2C003,https://www.jcp.or.jp/akahata/aik18/2018-06-18/2018061801_03_1.html,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S283,nw2h_provisional_source_index,ai_seeded,no
RV2SP019,RV2C004,https://www.mhlw.go.jp/churoi/meirei_db/mei/pdf/m11367.pdf,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S284,nw2h_provisional_source_index,ai_seeded,no
RV2SP020,RV2C004,https://www.pref.okinawa.lg.jp/shigoto/koyorodo/1012030/1012056.html,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S285,nw2h_provisional_source_index,ai_seeded,no
RV2SP021,RV2C004,https://ryukyushimpo.jp/news/prentry-249100.html,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S286,nw2h_provisional_source_index,ai_seeded,no
RV2SP022,RV2C004,https://www.city.ishigaki.okinawa.jp/material/files/group/33/giin-2024-3.pdf,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S287,nw2h_provisional_source_index,ai_seeded,no
RV2SP023,RV2C004,https://kokkai.ndl.go.jp/simple/detail?minId=121315359X00520240524,,S001–S294 build-time candidate-source integration snapshot (2026-07-13),S288,nw2h_provisional_source_index,ai_seeded,no
