amount_observation_id,relation_observation_id,fiscal_year,amount_value,currency,normalized_unit,reported_amount,reported_unit,amount_basis,amount_scope,attributed_actor_id,actor_payment_status,award_status,line_width_eligible,source_refs,source_locators,evidence_level,review_status,interpretation_limit,human_decision,human_reviewer,review_date,decision_source_report,review_scope
R10AM001,R10R002,2019,17157000,JPY,JPY,17157,JPY_thousand,municipal_named_recipient_commission_flow,full recorded KIP commission flow,X010,confirmed_named_recipient_flow,not_applicable,yes_same_currency_scope,R10S05,PDF pp.9-10,E4,human_checked,公共设施运营委托，不是 grant 或运动资金,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,"官方资金流点名委托料 17,157,000 円；边界：公共设施运营委托，不是 grant 或运动资金"
R10AM002,R10R003,2020,16970000,JPY,JPY,16970,JPY_thousand,municipal_named_recipient_commission_flow,full recorded KIP commission flow,X010,confirmed_named_recipient_flow,not_applicable,yes_same_currency_scope,R10S06,PDF pp.9-10,E4,human_checked,公开资金流点名 ONC；公共设施运营委托，非运动资金。,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,"官方资金流点名委托料 16,970,000 円；边界：同上"
R10AM003,R10R004,2024,18858000,JPY,JPY,18858,JPY_thousand,municipal_total_project_cost,KIP total project cost,,not_actor_payment,not_applicable,no,R10S07,PDF pp.5-6,E4,human_checked,18.858m 是总事业费；2.196m recipient 未在该支路点名；16.040m 是组织侧事业费,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,"16,662,000 円是点名 ONC 的交付对象部分委托流；边界：18.858m 是总事业费；2.196m recipient 未在该支路点名；16.040m 是组织侧事业费"
R10AM004,R10R004,2024,16662000,JPY,JPY,16662,JPY_thousand,municipal_named_recipient_commission_flow,eligible-project portion paid as commission to ONC,X010,confirmed_partial_scope_named_recipient_flow,not_applicable,conditional_partial_scope,R10S07,PDF pp.5-6,E4,human_checked,18.858m 是总事业费；2.196m recipient 未在该支路点名；16.040m 是组织侧事业费,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,"16,662,000 円是点名 ONC 的交付对象部分委托流；边界：18.858m 是总事业费；2.196m recipient 未在该支路点名；16.040m 是组织侧事业费"
R10AM005,R10R004,2024,2196000,JPY,JPY,2196,JPY_thousand,municipal_noneligible_commission_observation,March operating commission outside eligible-project costs,,recipient_scope_unresolved,not_applicable,no,R10S07,PDF pp.5-6,E4,human_checked,18.858m 是总事业费；2.196m recipient 未在该支路点名；16.040m 是组织侧事业费,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,"16,662,000 円是点名 ONC 的交付对象部分委托流；边界：18.858m 是总事业费；2.196m recipient 未在该支路点名；16.040m 是组织侧事业费"
R10AM006,R10R004,2024,16040000,JPY,JPY,16040,JPY_thousand,organization_reported_project_cost,ONC KIP project cost,X010,not_actor_payment,not_applicable,no,S099,PDF pp.1-2,E4,human_checked,18.858m 是总事业费；2.196m recipient 未在该支路点名；16.040m 是组织侧事业费,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,"16,662,000 円是点名 ONC 的交付对象部分委托流；边界：18.858m 是总事业费；2.196m recipient 未在该支路点名；16.040m 是组织侧事业费"
R10AM007,R10R005,2024,5140000,JPY,JPY,5140,JPY_thousand,prefecture_collaboration_table_project_cost,prefecture table project cost,,not_actor_payment,not_applicable,no,S002,PDF p.59 row 431,E4,human_checked,5.140m 与 5.530234m 都不是合同／付款额；两种期间口径分别保留,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,县表确认 C1 委托关系；会议纪要确认事务局功能；边界：5.140m 与 5.530234m 都不是合同／付款额；两种期间口径分别保留
R10AM008,R10R005,2024,5530234,JPY,JPY,5530234,JPY,organization_reported_project_cost,"ONC exact project-category cost; narrative rounds to 5,530 thousand",X010,not_actor_payment,not_applicable,no,S099,PDF p.8; narrative p.3,E4,human_checked,5.140m 与 5.530234m 都不是合同／付款额；两种期间口径分别保留,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,县表确认 C1 委托关系；会议纪要确认事务局功能；边界：5.140m 与 5.530234m 都不是合同／付款额；两种期间口径分别保留
R10AM009,R10R006,2024,2894630,JPY,JPY,2894630,JPY,organization_reported_project_cost,"ONC MOFA consultant project-category cost; narrative rounds to 2,894 thousand",X010,not_actor_payment,not_applicable,no,S099,PDF p.8; narrative p.2,E4,human_checked,2.894630m 仅为组织侧事业分类成本,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,ONC 法定年报确认外务省委托；边界：2.894630m 仅为组织侧事业分类成本
R10AM010,R10R008,2024,12843000,JPY,JPY,12843,JPY_thousand,prefecture_collaboration_table_project_cost,collaboration survey project cost,,not_actor_payment,not_applicable,no,S002,PDF p.1 row 1,E4,human_checked,12.843m 是取整项目费；不是 grant、政治支持或运动资金,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,"实际合同 12,842,500 円；C2 提案型公募委托；边界：12.843m 是取整项目费；不是 grant、政治支持或运动资金"
