evidence_id,object_type,object_id,claim,source_id,evidence_summary_or_short_quote,source_locator,evidence_level,reviewer_status,notes
EN0001,actor_issue_edge,AI001,OEJP links dugong protection to the Henoko dispute.,S006,The OEJP material presents Okinawa dugong protection as the subject of a civil-society request concerning Henoko/Oura Bay.,source_docs/source_archive/S006/raw_post.html — request/report description and participant material,E4,ai_seeded,Primary action page; wording is a short paraphrase.
EN0002,actor_issue_edge,AI002,OEJP used a U.S. federal institutional route.,S006,The material records a request/report directed to the U.S. Marine Mammal Commission.,source_docs/source_archive/S006/raw_post.html — request/report description and participant material,E4,ai_seeded,
EN0003,actor_place_edge,AP001,OEJP advocacy concerns Henoko.,S006,The request material identifies the Henoko base-construction context.,source_docs/source_archive/S006/raw_post.html — request/report description and participant material,E4,ai_seeded,
EN0004,actor_place_edge,AP002,OEJP advocacy concerns Oura Bay dugong habitat.,S006,The request material connects the dugong issue with the Oura Bay/Henoko habitat context.,source_docs/source_archive/S006/raw_post.html — request/report description and participant material,E4,ai_seeded,
EN0005,actor_issue_edge,AI008,NACSJ framed Henoko through biodiversity and marine protection.,S004,The emergency statement centers protection of the Henoko sea and lists participating NGOs.,source_docs/source_archive/S004/raw.html — emergency statement and 31-organization list,E4,ai_seeded,Statement participation does not prove stable alliance.
EN0006,actor_issue_edge,AI010,WWF Japan hosted a dugong/Henoko joint statement.,S003,WWF Japan published the 2010 statement opposing construction in dugong habitat at Henoko.,source_docs/source_archive/S003/raw.html — article body and organization list,E4,ai_seeded,
EN0007,actor_issue_edge,AI046,A019 has an on-site anti-base role at Henoko.,S049,The organization site describes the Henoko sit-in and maritime action history.,source_docs/source_archive/S049/raw.html — organization history and activity description,E4,ai_seeded,Upstream edge is human_checked; this evidence-note row remains AI-seeded.
EN0008,actor_place_edge,AP026,A019 is publicly documented at the Henoko action site.,S049,The official site places the organization’s continuing activity at Henoko.,source_docs/source_archive/S049/raw.html — organization history and activity description,E4,ai_seeded,
EN0009,actor_issue_edge,AI128,The Kadena plaintiffs used litigation over aircraft-noise harm.,S026,The report covers the third Kadena noise-lawsuit judgment and claims for noise damage.,source_docs/source_archive/S026/raw.html — third Kadena noise-lawsuit judgment article,E3,ai_seeded,"News report, not primary judgment."
EN0010,actor_issue_edge,AI129,Kadena noise litigation expresses a daily-life and safety burden.,S026,The judgment report describes aircraft-noise damage claims by residents.,source_docs/source_archive/S026/raw.html — third Kadena noise-lawsuit judgment article,E3,ai_seeded,
EN0011,actor_issue_edge,AI131,The Futenma plaintiffs used litigation over aircraft-noise harm.,S027,The report covers the second Futenma noise-lawsuit judgment.,source_docs/source_archive/S027/raw.html — second Futenma noise-lawsuit judgment article,E3,ai_seeded,"News report, not primary judgment."
EN0012,actor_issue_edge,AI132,Futenma noise litigation expresses a daily-life and safety burden.,S027,The judgment report describes resident claims concerning base-aircraft noise.,source_docs/source_archive/S027/raw.html — second Futenma noise-lawsuit judgment article,E3,ai_seeded,
EN0013,actor_issue_edge,AI025,The Ishigaki group organized a referendum drive.,S018,The report identifies the referendum-ordinance process and its rejection by the city council.,source_docs/source_archive/S018/raw.html — council/referendum article body,E3,ai_seeded,
