input_source_type,record_count,already_in_current_vocabulary,suggested_source_type,normalization_status,human_review_note
academic_participant_record,1,no,academic_article,mechanical_vocabulary_normalization,
academic_presentation_material,1,no,academic_article,human_choice_required,Proposed academic_article only for vocabulary compatibility; a dedicated presentation-material type may be preferable.
broadcast_news,1,no,news,mechanical_vocabulary_normalization,
event_report,1,yes,event_report,already_in_current_vocabulary,
local_broadcast_news,1,no,local_news,mechanical_vocabulary_normalization,
local_chronology,1,no,community_site,human_choice_required,Proposed community_site; confirm whether the entry reproduces a local-newspaper item before freezing type/date.
local_news,10,yes,local_news,already_in_current_vocabulary,
magazine_news,1,yes,magazine_news,already_in_current_vocabulary,
municipal_legislative_record,1,no,official_legislative_record,mechanical_vocabulary_normalization,
municipal_official_response,1,no,local_official,mechanical_vocabulary_normalization,
municipal_resolution,2,no,official_legislative_record,mechanical_vocabulary_normalization,
national_news,1,no,news,mechanical_vocabulary_normalization,
official_election_record,3,no,official_data,mechanical_vocabulary_normalization,
official_labor_decision,1,no,legal_source,mechanical_vocabulary_normalization,
official_parliamentary_record,1,no,official_legislative_record,mechanical_vocabulary_normalization,
organization_campaign_statement,1,no,organization_statement,mechanical_vocabulary_normalization,
organization_event_record,2,yes,organization_event_record,already_in_current_vocabulary,
organization_event_report,1,no,organization_action_record,mechanical_vocabulary_normalization,
organization_issue_page,1,no,organization_site,mechanical_vocabulary_normalization,
organization_newsletter,1,no,organization_report,mechanical_vocabulary_normalization,
organization_policy_document,1,no,organization_program_document,mechanical_vocabulary_normalization,
organization_request,1,no,organization_statement,mechanical_vocabulary_normalization,
organization_statement,3,yes,organization_statement,already_in_current_vocabulary,
organization_website,3,yes,organization_website,already_in_current_vocabulary,
participant_account,1,no,community_site,human_choice_required,"Proposed community_site, but retain first-person participant provenance in bias_note/notes."
party_media,3,no,party_news,mechanical_vocabulary_normalization,
party_news,2,yes,party_news,already_in_current_vocabulary,
prefectural_administrative_record,1,no,prefectural_official,mechanical_vocabulary_normalization,
prefectural_labor_record,1,no,prefectural_official,mechanical_vocabulary_normalization,
union_activity_report,1,no,organization_report,mechanical_vocabulary_normalization,
