selection_frame_id,actor_id,actor_name,analytical_group,selection_basis,membership_status,package_scope,frontend_eligibility,central_writeback
USF-W2A-SPOUSE5-2026-08-22,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),spouse_club_tracer,principal-approved exact five-actor tracer,frozen_member,research_only,not_frontend_ready,no
USF-W2A-SPOUSE5-2026-08-22,X005,Naval Officers' Spouses' Club of Okinawa NOSCO,spouse_club_tracer,principal-approved exact five-actor tracer,frozen_member,research_only,not_frontend_ready,no
USF-W2A-SPOUSE5-2026-08-22,X006,Kadena Officers' Spouses' Club KOSC,spouse_club_tracer,principal-approved exact five-actor tracer,frozen_member,research_only,not_frontend_ready,no
USF-W2A-SPOUSE5-2026-08-22,X007,Okinawa Enlisted Spouses' Club (OESC),spouse_club_tracer,principal-approved exact five-actor tracer,frozen_member,research_only,not_frontend_ready,no
USF-W2A-SPOUSE5-2026-08-22,X016,Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC),spouse_club_tracer,principal-approved exact five-actor tracer,frozen_member,research_only,not_frontend_ready,no
USF-W2B-USO-LAYERS-2026-08-22,X001,USO Okinawa,uso_okinawa_presence,registry actor for the Okinawa presence; sites remain endpoints,frozen_member,research_only,not_frontend_ready,no
USF-W2D-BRIDGE-TRACER15-2026-08-22,X001,USO Okinawa,S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-BRIDGE-TRACER15-2026-08-22,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-BRIDGE-TRACER15-2026-08-22,X005,Naval Officers' Spouses' Club of Okinawa NOSCO,S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-BRIDGE-TRACER15-2026-08-22,X006,Kadena Officers' Spouses' Club KOSC,S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-BRIDGE-TRACER15-2026-08-22,X007,Okinawa Enlisted Spouses' Club (OESC),S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-BRIDGE-TRACER15-2026-08-22,X008,American Red Cross Okinawa,S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-BRIDGE-TRACER15-2026-08-22,X009,Navy-Marine Corps Relief Society Okinawa,S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-BRIDGE-TRACER15-2026-08-22,X016,Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC),S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-BRIDGE-TRACER15-2026-08-22,X017,Army Community Group of Okinawa (ACGO),S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-BRIDGE-TRACER15-2026-08-22,A009,Earthjustice,A0_accountability,frozen U.S.-origin accountability comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-BRIDGE-TRACER15-2026-08-22,A033,Friends of the Earth U.S.,A0_accountability,frozen U.S.-origin accountability comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-BRIDGE-TRACER15-2026-08-22,A042,Pacific Environment,A0_accountability,frozen U.S.-origin accountability comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-BRIDGE-TRACER15-2026-08-22,A045,Center for Biological Diversity,A0_accountability,frozen U.S.-origin accountability comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-BRIDGE-TRACER15-2026-08-22,A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),A0_accountability,frozen U.S.-origin accountability comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-BRIDGE-TRACER15-2026-08-22,A086,Turtle Island Restoration Network,A0_accountability,frozen U.S.-origin accountability comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,X001,USO Okinawa,S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,X005,Naval Officers' Spouses' Club of Okinawa NOSCO,S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,X006,Kadena Officers' Spouses' Club KOSC,S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,X007,Okinawa Enlisted Spouses' Club (OESC),S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,X008,American Red Cross Okinawa,S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,X009,Navy-Marine Corps Relief Society Okinawa,S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,X016,Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC),S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,X017,Army Community Group of Okinawa (ACGO),S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A008,NGO非戦ネット,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
