repertoire_unit_id,canonical_case_or_event_id,event_or_case_name,action_family,action_family_zh,action_scope,venue_group,venue_group_zh,place,observation_row_count,distinct_entity_count,entity_ids,source_modules,source_refs,review_layers,counting_status,interpretation_limit
RU_04EABE927C,R9C_NAGO_1997,1997 Nago city referendum,referendum_process,公投动员／参与,event_or_process_action,electoral_referendum,公投／选举程序,Nago; Okinawa,1,1,A068,AEV_HR015,S042,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_0565950559,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,institutional_request,正式请求／请愿,event_or_process_action,international_institution,国际／美国机构,Henoko; Oura Bay,11,11,A001;A020;A077;A078;A079;A080;A081;A082;A083;A084;A085,AEV_HR015,S006,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_099F3AD739,R9C_YONAGUNI_2015,2015 Yonaguni JSDF-deployment referendum,referendum_vote_result,投票／结果程序,event_or_process_action,electoral_referendum,公投／选举程序,Yonaguni,2,1,R9E007,R9_FORMAL_ROLE;R9_FORMAL_STAGE,R9S005,formal_accepted,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_162FAD6728,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,council_or_ordinance_gate,议会／条例门槛,event_or_process_action,electoral_referendum,公投／选举程序,Okinawa Prefecture,3,1,R9E013,R9_FORMAL_ROLE;R9_FORMAL_STAGE,R9S010;R9S011,formal_accepted,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_2EF871483E,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,joint_statement,共同声明／署名,event_or_process_action,civic_public_communication,公民公开传播,Henoko; Oura Bay,28,28,A004;A021;A022;A023;A024;A025;A026;A027;A028;A029;A030;A031;A032;A033;A034;A035;A036;A037;A038;A039;A040;A041;A042;A043;A044;A045;A046;A061,AEV_HR015,S004,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_2F23751BC6,R10R019,USO Okinawa 长期企业伙伴,service_charity_support,服务／慈善支持,function_or_resource_relation,service_charity,服务／慈善场域,Camp Schwab / USO Okinawa,1,1,X003,R10_HUMAN_RELATION,S097;S098,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_3B4892AF2A,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,referendum_vote_result,投票／结果程序,event_or_process_action,electoral_referendum,公投／选举程序,Okinawa Prefecture,3,1,R9E014,R9_FORMAL_ROLE;R9_FORMAL_STAGE,R9S012,formal_accepted,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_3FE4B12706,EV2022_KADENA_4TH_NOISE_LAWSUIT,Fourth Kadena Base Noise Injunction Lawsuit filing,legal_action,司法／诉讼行动,event_or_process_action,legal_judicial,法院／司法,,1,1,A109,AEV_HR015,S152,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_404FD90F46,R9C_PREF_2019,2019 Henoko prefectural referendum,referendum_process,公投动员／参与,event_or_process_action,electoral_referendum,公投／选举程序,Nago; Okinawa,1,1,A051,AEV_HR015,S025,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_418762F9AC,R10R025,AWWA umbrella membership,service_network_membership,服务网络成员关系,function_or_resource_relation,service_charity,服务／慈善场域,Okinawa base-community service field,1,1,X004,R10_HUMAN_RELATION,S041;S055;S072;S075,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
