actor_id,actor_name,actor_class,origin_type,actor_review_status,resolved_registry_source_ref_count,unresolved_registry_source_ref_count,active_issue_edge_count,active_e3plus_issue_edge_count,own_website_status,english_material_capacity,staff_capacity,legal_support_capacity,lifecycle_status_for_h1,research_status,display_tier,claim_status,review_status,interpretation_limit
A001,Okinawa Environmental Justice Project,international_advocacy_actor,mixed_or_network,ai_seeded,3,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,international_advocacy_actor,japan_domestic,human_revised,4,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A003,ジュゴンネットワーク沖縄,local_civic_actor,okinawa_local,needs_second_source,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A004,日本自然保護協会,domestic_japan_ngo,japan_domestic,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A005,WWFジャパン,domestic_japan_ngo,japan_domestic,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A006,グリーンピース・ジャパン,domestic_japan_ngo,japan_domestic,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A007,ピースボート,domestic_japan_ngo,japan_domestic,ai_seeded,1,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A008,NGO非戦ネット,citizen_network,japan_domestic,human_revised,4,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A009,Earthjustice,international_advocacy_actor,us_origin,ai_seeded,1,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A010,石垣島に軍事基地をつくらせない市民連絡会,citizen_network,okinawa_local,human_revised,4,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A011,石垣市住民投票を求める会,citizen_group,okinawa_local,human_checked,4,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A012,宮古島いのちの水を守ろう！,citizen_group,okinawa_local,needs_second_source,1,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
