scope_row_id,selection_frame_id,actor_id,canonical_name,actor_class,origin_type,analytical_group,group_basis,official_url_candidate,official_url_kind_candidate,official_url_review_status,actor_review_status,scope_status,selection_status,human_decision,package_scope,frontend_eligibility,interpretation_limit
USOS-A009,USF-US-ORIGIN17-2026-08-19,A009,Earthjustice,international_advocacy_actor,us_origin,accountability_comparison,six U.S.-origin actors with Okinawa accountability/event evidence,https://earthjustice.org/,official_site,ai_seeded,ai_seeded,,research_comparison_frame,,research_only,excluded_pending_human_review,"Analytical-group membership defines a comparison frame, not a fixed pro-/anti-U.S. actor stance. Function must be coded on dated actions or relations."
USOS-A033,USF-US-ORIGIN17-2026-08-19,A033,Friends of the Earth U.S.,international_ngo,us_origin,accountability_comparison,six U.S.-origin actors with Okinawa accountability/event evidence,https://foe.org/,official_site,ai_seeded,ai_seeded,,research_comparison_frame,,research_only,excluded_pending_human_review,"Analytical-group membership defines a comparison frame, not a fixed pro-/anti-U.S. actor stance. Function must be coded on dated actions or relations."
USOS-A042,USF-US-ORIGIN17-2026-08-19,A042,Pacific Environment,international_ngo,us_origin,accountability_comparison,six U.S.-origin actors with Okinawa accountability/event evidence,https://www.pacificenvironment.org/,official_site,ai_seeded,ai_seeded,,research_comparison_frame,,research_only,excluded_pending_human_review,"Analytical-group membership defines a comparison frame, not a fixed pro-/anti-U.S. actor stance. Function must be coded on dated actions or relations."
USOS-A045,USF-US-ORIGIN17-2026-08-19,A045,Center for Biological Diversity,international_ngo,us_origin,accountability_comparison,six U.S.-origin actors with Okinawa accountability/event evidence,https://www.biologicaldiversity.org/,official_site,ai_seeded,ai_seeded,,research_comparison_frame,,research_only,excluded_pending_human_review,"Analytical-group membership defines a comparison frame, not a fixed pro-/anti-U.S. actor stance. Function must be coded on dated actions or relations."
USOS-A070,USF-US-ORIGIN17-2026-08-19,A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),international_advocacy_actor,us_origin,accountability_comparison,six U.S.-origin actors with Okinawa accountability/event evidence,https://www.veteransforpeace.org/who-we-are/2025-online-business-meeting/resolution-2025-1-us-military-expansion-and-environmental-destruction-okinawa,parent_org_page,ai_seeded,needs_second_source,,research_comparison_frame,,research_only,excluded_pending_human_review,"Analytical-group membership defines a comparison frame, not a fixed pro-/anti-U.S. actor stance. Function must be coded on dated actions or relations."
USOS-A086,USF-US-ORIGIN17-2026-08-19,A086,Turtle Island Restoration Network,international_ngo,us_origin,accountability_comparison,six U.S.-origin actors with Okinawa accountability/event evidence,https://seaturtles.org/,official_site,ai_seeded,ai_seeded,,research_comparison_frame,,research_only,excluded_pending_human_review,"Analytical-group membership defines a comparison frame, not a fixed pro-/anti-U.S. actor stance. Function must be coded on dated actions or relations."
USOS-X001,USF-US-ORIGIN17-2026-08-19,X001,USO Okinawa,base_community_service_actor,us_origin,service_charity_comparison,H2 nine-actor service/charity comparison core,https://okinawa.uso.org/,official_subunit,ai_seeded,ai_seeded,,research_comparison_frame,,research_only,excluded_pending_human_review,"Analytical-group membership defines a comparison frame, not a fixed pro-/anti-U.S. actor stance. Function must be coded on dated actions or relations."
USOS-X004,USF-US-ORIGIN17-2026-08-19,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),base_spouse_charity_network,us_origin,service_charity_comparison,H2 nine-actor service/charity comparison core,https://nosco.wildapricot.org/awwa,parent_org_page,ai_seeded,human_revised,,research_comparison_frame,,research_only,excluded_pending_human_review,"Analytical-group membership defines a comparison frame, not a fixed pro-/anti-U.S. actor stance. Function must be coded on dated actions or relations."
USOS-X005,USF-US-ORIGIN17-2026-08-19,X005,Naval Officers' Spouses' Club of Okinawa NOSCO,base_spouse_club,us_origin,service_charity_comparison,H2 nine-actor service/charity comparison core,https://nosco.wildapricot.org/About-Us,official_site,ai_seeded,human_checked,,research_comparison_frame,,research_only,excluded_pending_human_review,"Analytical-group membership defines a comparison frame, not a fixed pro-/anti-U.S. actor stance. Function must be coded on dated actions or relations."
USOS-X006,USF-US-ORIGIN17-2026-08-19,X006,Kadena Officers' Spouses' Club KOSC,base_spouse_club,us_origin,service_charity_comparison,H2 nine-actor service/charity comparison core,https://www.kadenaofficersspousesclub.com/,official_site,ai_seeded,human_checked,,research_comparison_frame,,research_only,excluded_pending_human_review,"Analytical-group membership defines a comparison frame, not a fixed pro-/anti-U.S. actor stance. Function must be coded on dated actions or relations."
