source_id,source_title,source_type,source_year,used_by_e3plus_edge,declared_e3plus_edge_count,exclusively_supported_e3plus_edge_count,removed_edge_count,lost_observed_actor_count,remaining_edge_count,remaining_observed_actor_count,removed_edge_rank_desc,comparison_unit,research_status,display_tier,claim_status,review_status,interpretation_limit
S001,沖縄県NPOプラザ,official_portal,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S002,令和６年度 NPO等との協働実績調査,official_data,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S003,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,ngo_statement,2010,yes,8,7,7,4,227,97,2,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,yes,45,41,41,25,193,76,1,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S005,Peace Boat statement on Henoko emergency NGO declaration,ngo_statement,2015,yes,3,3,3,1,231,100,10,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S006,OEJP 71 organizations MMC request,international_advocacy,2020,yes,6,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S007,The Plight of the Okinawa Dugong,academic_article,2020,yes,8,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S008,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,local_news,2020,yes,5,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S009,Earthjustice dugong litigation explainer,legal_international,2014,yes,3,3,3,1,231,100,10,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S010,与那国町住民投票 自衛隊配備 結果は「賛成」多数,local_news,2015,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S011,与那国住民投票 陸自配備を容認　賛成632票、反対445票,local_news,2015,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S012,与那国駐屯地,official_defense,n.d.; accessed 2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S013,令和4年版防衛白書 与那国と台湾,official_defense,2022,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S014,与那国町長期営農計画,local_official,2023,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S015,与那国に自衛隊いらない／配備反対の意見広告呼びかけ,party_news,2012,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S016,石垣自衛隊配備 初の市民討論会,local_news,2016,yes,2,1,1,0,233,101,29,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S017,石垣陸自配備 市民が工事中止要請,local_news,2020,yes,2,1,1,0,233,101,29,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S018,石垣市 住民投票条例案 市議会で否決,local_news,2019,yes,3,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S019,有効署名１万４千筆超　２０日に条例制定請求　住民投票、来月の議会で審議　石垣陸自配備,local_news,2018,yes,3,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S020,陸自配備阻止訴え 宮古で集会 市民 地下水保全求め,local_news,2016,yes,3,3,3,1,231,100,10,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S021,ミサイル基地いらない 宮古島住民連絡会 結成集会,party_news,2016,yes,3,3,3,1,231,100,10,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S022,沖縄対話プロジェクト 公式ページ,organization_site,2023,yes,3,3,3,1,231,100,10,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S023,ノーモア沖縄戦 命どぅ宝の会 結成,local_news,2022,yes,2,1,1,0,233,101,29,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S024,台湾有事に備え 南西諸島の軍事化に懸念,organization_site,2023,yes,2,1,1,0,233,101,29,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S025,辺野古米軍基地建設のための埋立ての賛否を問う県民投票 結果,official_referendum,2019,yes,3,3,3,1,231,100,10,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S026,嘉手納爆音訴訟 第三次 那覇地裁沖縄支部判決,local_news,2017,yes,4,3,3,0,231,101,10,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S027,普天間爆音訴訟 第二次 那覇地裁判決,local_news,2016,yes,4,3,3,0,231,101,10,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S028,高江ヘリパッド建設 住民らが抗議,local_news,2016,yes,2,2,2,1,232,100,26,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
