"timeline_id","date_or_period","node_or_interface","event_or_change","interface_mode","source_keys","evidence_character","supported_observation","competing_reading","claim_limit","review_status","package_scope","frontend_eligibility"
"H2TL001","pre_1958","Halfway Home","A veterans association and a military officers' wives club supported an early home for mixed-race children.","material_support_plus_service","H2P-S10","academic_secondary_reconstruction","Military-community support and local child welfare were connected before ISS Okinawa's formation.","The arrangement may have been paternalistic relief, institutional necessity, or both.","Original governance and finance records are required before creating organization lineage or a funding edge.","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2TL002","1953","Okinawa International Women's Club","OIWC's current application guide states that the organization was established in 1953.","mixed_membership_social_contact","H2P-S05;H2P-S06","organization_self_history","A long-duration mixed-contact organization is publicly claimed.","Current continuity language may compress legal, membership or organizational changes.","Do not infer uninterrupted legal identity or exact historical member composition.","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2TL003","1958","International Social Service Okinawa","Official archive guide dates formation of International Social Service Okinawa to 1958.","care_casework_interface","H2P-S09","official_archive_collection_guide","A specialized welfare/casework institution addressed international family and child problems.","Formation date does not prove every predecessor relation described in secondary literature.","No actor ID or central genealogy edge is created.","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2TL004","1963_to_1967","Okinawa International Women's Club","Archive captions show selected Okinawan and American participants and a 1967 welfare bazaar for Wakaba Day Nursery.","mixed_membership_plus_material_support","H2P-S07","official_archive_event_captions","Mixed participation and local welfare action are visible at event level.","USCAR publicity selection may overrepresent harmonious contact.","Event co-presence is not stable alliance, full membership census or legal continuity.","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2TL005","1971","Ryukyuan-American Welfare Council and nine affiliated clubs","Archive master caption names nine affiliated women's clubs and gift activity reaching Miyako and Yaeyama.","umbrella_coordination_plus_material_support","H2P-S07","official_archive_event_caption","A pre-reversion umbrella coordinated a multi-club welfare interface beyond Okinawa Island.","Caption affiliation is a dated snapshot, not proof of predecessor/successor continuity.","Do not merge the council, clubs, OIWC or later AWWA from this caption alone.","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2TL006","1972","American Women's Welfare Association","A USMC compilation prepared in 2000 retrospectively states that AWWA was established in 1972 to coordinate six military spouses' groups' charitable contributions.","screened_resource_intermediary","H2P-S16","official_archival_government_compilation_retrospective","One official 2000 retrospective supplies a six-group account for the 1972 umbrella.","The source was compiled for public-affairs purposes and does not resolve relation to the Ryukyuan-American Welfare Council; five-, six- and seven-group counts in other descriptions remain unresolved.","Label this specifically as a 2000 official retrospective; do not encode a predecessor edge or freeze six groups across periods.","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2TL007","1972","International Social Service Okinawa","Archive guide records legal renaming to 社会福祉法人国際福祉沖縄事務所; secondary literature describes post-reversion transfer from American supporters toward Okinawan welfare professionals and public support.","institutional_handoff","H2P-S09;H2P-S10","official_archive_guide_plus_academic_secondary","Reversion coincided with organizational and support-structure change in this welfare interface.","This can be read as localization, administrative absorption, resource substitution, or institutional rupture.","Do not assume frictionless continuity or equate legal rename with unchanged governance.","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2TL008","1979","国際福祉沖縄事務所","The office issued 沖縄からの提言, including a nationality-law reform demand grounded in accumulated casework.","care_to_rights_translation","H2P-S09;H2P-S11","official_archive_guide_plus_scholarly_public_history","Care cases were aggregated and translated into a formal policy/rights claim.","The proposal may have been one input among broader legal and social campaigns.","The archive guide's later causal language is not causal identification.","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2TL009","1980","国際福祉相談所","Official archive guide records renaming to 社会福祉法人国際福祉会国際福祉相談所.","organizational_rename","H2P-S09","official_archive_collection_guide","The office's legal/name trajectory is documentable.","A rename alone does not establish unchanged personnel, finance or practice.","Keep historical aliases time-bounded; no registry mutation in this package.","ai_seeded_historical_observation","research_only","excluded_research_only"
"H2TL010","1985","Japanese nationality law reform","Archive guide retrospectively links the 1979 proposal to national-law reform.","policy_output_context","H2P-S09;H2P-S11","archive_curator_retrospective_plus_secondary","The office's proposal preceded and addressed the problem later altered by law.","Law reform had multiple causes and broader national actors.","Use as a process lead, not as proof that one organization caused the reform.","ai_seeded_historical_observation","research_only","excluded_research_only"
