coverage_id,selection_frame_id,relation_family,service_actor_count,accountability_actor_count,pair_count,observable_pair_count,confirmed_bridge_count,audited_public_record_zero_count,unresolved_count,shared_place_context_count,coverage_summary,interpretation_limit,review_status,package_scope,frontend_status,central_writeback
W2D-RC001,USF-W2D-BRIDGE-TRACER15-2026-08-22,direct_organization_relation,9,6,54,48,0,36,18,0,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC002,USF-W2D-BRIDGE-TRACER15-2026-08-22,same_public_event,9,6,54,48,0,0,54,0,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC003,USF-W2D-BRIDGE-TRACER15-2026-08-22,shared_funder_or_sponsor,9,6,54,48,0,0,54,0,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC004,USF-W2D-BRIDGE-TRACER15-2026-08-22,shared_person,9,6,54,48,0,0,54,0,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC005,USF-W2D-BRIDGE-TRACER15-2026-08-22,shared_place_background,9,6,54,48,0,0,54,4,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC006,USF-W2D-BRIDGE-TRACER15-2026-08-22,shared_recipient_or_intermediary,9,6,54,48,0,0,54,0,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC007,USF-W2D-ECOLOGY-S0-A1R-2026-08-22,direct_organization_relation,9,41,369,120,0,0,369,0,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC008,USF-W2D-ECOLOGY-S0-A1R-2026-08-22,same_public_event,9,41,369,120,0,0,369,0,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC009,USF-W2D-ECOLOGY-S0-A1R-2026-08-22,shared_funder_or_sponsor,9,41,369,120,0,0,369,0,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC010,USF-W2D-ECOLOGY-S0-A1R-2026-08-22,shared_person,9,41,369,120,0,0,369,0,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC011,USF-W2D-ECOLOGY-S0-A1R-2026-08-22,shared_place_background,9,41,369,120,0,0,369,44,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC012,USF-W2D-ECOLOGY-S0-A1R-2026-08-22,shared_recipient_or_intermediary,9,41,369,120,0,0,369,0,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC013,USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,direct_organization_relation,9,36,324,32,0,0,324,0,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC014,USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,same_public_event,9,36,324,32,0,0,324,0,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC015,USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,shared_funder_or_sponsor,9,36,324,32,0,0,324,0,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC016,USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,shared_person,9,36,324,32,0,0,324,0,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC017,USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,shared_place_background,9,36,324,32,0,0,324,64,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
W2D-RC018,USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,shared_recipient_or_intermediary,9,36,324,32,0,0,324,0,Tracer rows use the declared symmetric source audit; A1R/A1C rows are bounded typed-input screens and cannot produce ecology-wide zeros.,"Counts are pair-family audit states, not relationship prevalence or real-world separation rates.",ai_seeded,research_only,not_frontend_ready,no
