occurrence_id,asset,marker_id,line_number,excerpt,mechanical_status,manual_context_rule,research_status,claim_status,review_status,frontend_eligibility,central_writeback,interpretation_limit
SM0001,docs/research_wave_topic_selection_v1.md,h1_old_e3plus_or_triple,25,- 234 条 E3/E4 边中有 12 条没有可解析的 `S` 来源；它们按保守规则不会被 source-ID 删除实验移除。,stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0002,docs/research_wave_topic_selection_v1.md,h2_old_group_phrase,62,- 候选锚点规则得到 65 个限制／问责侧候选 actor，其中 18 个至少有一条人审锚点边，47 个只由候选锚点边选入。,stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0003,docs/research_wave_v1_handoff.md,h1_old_e3plus_or_triple,15,- 234 条 E3/E4 边中有 12 条没有可解析的 `S` 来源，按保守规则在 source-ID 删除中存活。,stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0004,docs/research_wave_v1_handoff.md,h2_old_group_phrase,21,- 透明规则得到 9 个基地社区服务／军属慈善比较 actor；它们只是 registry 子集，不是服务生态总体。候选锚点规则得到 65 个限制／问责候选 actor，其中 18 个至少有一条人审锚点边、47 个只由候选边选入。,stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0005,docs/research_wave_v2_principal_checkpoint.md,h1_old_split_phrase,21,当前 actor×issue 层有 238 条 active 边，其中 65 条已人审、173 条仍为候选。,stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0006,docs/research_wave_v2_principal_checkpoint.md,h1_old_e3plus_or_triple,34,另一方面，来源集中问题确实存在：在 234 条 E3/E4 边中，移除 S004 的证据支持会使 41 条,stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0007,outputs/research_wave_h1_documentation_visibility_v1/brief_v1.md,h1_old_split_phrase,8,- current gate：121 个有效 actor；`analysis_inclusion=active` 的 238 条 actor–issue 边。,stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0008,outputs/research_wave_h1_documentation_visibility_v1/metrics_v1.json,old_actor_registry_hash,60,"""actors"": ""03653fe12665abc754ef09d9d30e76c6e53dd495eaceba0fef4bc5ce5540b0a3"",",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0009,outputs/research_wave_h1_documentation_visibility_v1/metrics_v1.json,old_actor_issue_hash,61,"""layered_actor_issue"": ""61302c3bfbd42df53a3679c1dc41fe4247376598d8ab7220839cc326e30b8cbe"",",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0010,outputs/research_wave_h1_documentation_visibility_v1/metrics_v1.json,old_source_log_hash,62,"""sources"": ""ea5c34a2785cfede7f8eedc0420c56968c17fdca112b38d168ec5df5a87ee3a4""",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0011,outputs/research_wave_h1_documentation_visibility_v2/fig_actor_issue_strata_v2.html,h1_old_split_phrase,3,"<desc id=""desc"">Spearman correlations are separated for 238 active, 65 reviewed, and 173 candidate actor-issue edges, and for construction, registry-only, and outcome-excluded source proxies. A second panel excludes nine unresolved legacy-token actors.</desc>",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0012,outputs/research_wave_h1_documentation_visibility_v2/fig_actor_issue_strata_v2.html,h1_old_split_phrase,16,"<line x1=""500.0"" y1=""135"" x2=""500.0"" y2=""760"" class=""grid""/><text x=""500.0"" y=""122"" class=""tick"" text-anchor=""middle"">-0.4</text><line x1=""694.0"" y1=""135"" x2=""694.0"" y2=""760"" class=""grid""/><text x=""694.0"" y=""122"" class=""tick"" text-anchor=""middle"">-0.2</text><line x1=""888.0"" y1=""135"" x2=""888.0"" y2=""760"" class=""grid""/><t",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0013,outputs/research_wave_h1_documentation_visibility_v2/fig_actor_issue_strata_v2.svg,h1_old_split_phrase,3,"<desc id=""desc"">Spearman correlations are separated for 238 active, 65 reviewed, and 173 candidate actor-issue edges, and for construction, registry-only, and outcome-excluded source proxies. A second panel excludes nine unresolved legacy-token actors.</desc>",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0014,outputs/research_wave_h1_documentation_visibility_v2/fig_actor_issue_strata_v2.svg,h1_old_split_phrase,16,"<line x1=""500.0"" y1=""135"" x2=""500.0"" y2=""760"" class=""grid""/><text x=""500.0"" y=""122"" class=""tick"" text-anchor=""middle"">-0.4</text><line x1=""694.0"" y1=""135"" x2=""694.0"" y2=""760"" class=""grid""/><text x=""694.0"" y=""122"" class=""tick"" text-anchor=""middle"">-0.2</text><line x1=""888.0"" y1=""135"" x2=""888.0"" y2=""760"" class=""grid""/><t",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
