contrast_id,graph_object,contrast_type,actor_id,actor_name,analysis_family,linked_source_count,registry_source_count,registry_source_percentile,active_actor_issue_degree,degree_percentile,active_actor_issue_betweenness,betweenness_percentile,organization_hosted_trace_candidate,english_title_trace,contrast_use,research_status,display_tier,claim_status,review_status,frontend_eligibility,interpretation_limit
H1N001,actor_issue_bipartite,dense_registry_trace_low_actor_issue_degree,X016,Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC),基地社区服务／慈善,4,4,0.946,1,0.348,0.0,0.348,yes,yes,counterexample to a simple monotonic claim that more registry-layer source traces automatically produce greater actor--issue visibility,research_only,research,candidate,ai_seeded,not_frontend_ready,"A negative case is a descriptive counterexample, not proof that documentation never matters or that encoded centrality equals real coordination."
H1N002,actor_issue_bipartite,dense_registry_trace_low_actor_issue_degree,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),基地社区服务／慈善,10,6,0.991,2,0.643,0.00147638,0.393,yes,yes,counterexample to a simple monotonic claim that more registry-layer source traces automatically produce greater actor--issue visibility,research_only,research,candidate,ai_seeded,not_frontend_ready,"A negative case is a descriptive counterexample, not proof that documentation never matters or that encoded centrality equals real coordination."
H1N003,actor_issue_bipartite,dense_registry_trace_low_actor_issue_degree,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,跨国 NGO／国际倡议,7,4,0.946,2,0.643,0.00153137,0.429,yes,yes,counterexample to a simple monotonic claim that more registry-layer source traces automatically produce greater actor--issue visibility,research_only,research,candidate,ai_seeded,not_frontend_ready,"A negative case is a descriptive counterexample, not proof that documentation never matters or that encoded centrality equals real coordination."
H1N004,actor_issue_bipartite,dense_registry_trace_low_actor_issue_degree,A008,NGO非戦ネット,冲绳本地公民行动,4,4,0.946,2,0.643,0.00294716,0.491,yes,no,counterexample to a simple monotonic claim that more registry-layer source traces automatically produce greater actor--issue visibility,research_only,research,candidate,ai_seeded,not_frontend_ready,"A negative case is a descriptive counterexample, not proof that documentation never matters or that encoded centrality equals real coordination."
H1N005,actor_issue_bipartite,dense_registry_trace_low_actor_issue_degree,A014,住民投票を成功させるための実行委員会,冲绳本地公民行动,4,4,0.946,2,0.643,0.00070782,0.366,no,no,counterexample to a simple monotonic claim that more registry-layer source traces automatically produce greater actor--issue visibility,research_only,research,candidate,ai_seeded,not_frontend_ready,"A negative case is a descriptive counterexample, not proof that documentation never matters or that encoded centrality equals real coordination."
H1N006,actor_issue_bipartite,thin_registry_trace_high_actor_issue_visibility,A047,沖縄平和運動センター,冲绳本地公民行动,1,1,0.652,4,0.973,0.03353963,0.991,yes,no,counterexample to a simple monotonic claim that more registry-layer source traces automatically produce greater actor--issue visibility,research_only,research,candidate,ai_seeded,not_frontend_ready,"A negative case is a descriptive counterexample, not proof that documentation never matters or that encoded centrality equals real coordination."
H1N007,actor_issue_bipartite,thin_registry_trace_high_actor_issue_visibility,A102,全国公害弁護団連絡会議,法律／制度程序,1,1,0.652,4,0.973,0.00463365,0.589,yes,no,counterexample to a simple monotonic claim that more registry-layer source traces automatically produce greater actor--issue visibility,research_only,research,candidate,ai_seeded,not_frontend_ready,"A negative case is a descriptive counterexample, not proof that documentation never matters or that encoded centrality equals real coordination."
H1N008,actor_issue_bipartite,thin_registry_trace_high_actor_issue_visibility,A104,普天間基地爆音訴訟弁護団,法律／制度程序,1,1,0.652,4,0.973,0.0103401,0.83,no,no,counterexample to a simple monotonic claim that more registry-layer source traces automatically produce greater actor--issue visibility,research_only,research,candidate,ai_seeded,not_frontend_ready,"A negative case is a descriptive counterexample, not proof that documentation never matters or that encoded centrality equals real coordination."
H1N009,actor_issue_bipartite,thin_registry_trace_high_actor_issue_visibility,A105,日本YWCA,女性／人权／社区,3,1,0.652,4,0.973,0.00992346,0.786,yes,no,counterexample to a simple monotonic claim that more registry-layer source traces automatically produce greater actor--issue visibility,research_only,research,candidate,ai_seeded,not_frontend_ready,"A negative case is a descriptive counterexample, not proof that documentation never matters or that encoded centrality equals real coordination."
H1N010,actor_issue_bipartite,thin_registry_trace_high_actor_issue_visibility,A007,ピースボート,日本国内 NGO／声援,1,1,0.652,3,0.839,0.02726173,0.982,yes,yes,counterexample to a simple monotonic claim that more registry-layer source traces automatically produce greater actor--issue visibility,research_only,research,candidate,ai_seeded,not_frontend_ready,"A negative case is a descriptive counterexample, not proof that documentation never matters or that encoded centrality equals real coordination."
