receipt_id,publisher,title,source_family,url,retrieved_at,artifact_path,sha256,mime_type,exact_locator,supports_anchor_ids,archive_status,notes
W2A-SR001,Internal Revenue Service (IRS),"AWWA Form 990EZ XML, tax period 2022-06-01 to 2023-05-31",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_03A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/awwa_fy2023_202410619349200461.xml,c74f70a03c76d94e6d7ec88145c27dd7d23df5f3c0f1b11cbeed6d148434bf3e,application/xml,bulk ZIP member 202410619349200461_public.xml; EIN 980227149; IRS object 202410619349200461,W2A-A001;W2A-A002;W2A-A003;W2A-A004;W2A-A066;W2A-A067;W2A-A070;W2A-A071;W2A-A072,archived_official_member_sha256_and_zip_crc_verified,Extracted from the official IRS bulk ZIP by HTTP byte ranges; the member size and ZIP CRC-32 were verified before SHA-256 freezing.
W2A-SR002,Internal Revenue Service (IRS),"AWWA Form 990EZ XML, tax period 2023-06-01 to 2024-05-31",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_11A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/awwa_fy2024_202443189349200514.xml,9bf6113a1419862ff2228f527d955f4e0ed6391d3f5c3ad54f872a33362f9433,application/xml,bulk ZIP member 202443189349200514_public.xml; EIN 980227149; IRS object 202443189349200514,W2A-A005;W2A-A006;W2A-A007;W2A-A008;W2A-A068;W2A-A069;W2A-A073;W2A-A074;W2A-A075;W2A-A080;W2A-A081;W2A-A082;W2A-A083,archived_official_member_sha256_and_zip_crc_verified,Extracted from the official IRS bulk ZIP by HTTP byte ranges; the member size and ZIP CRC-32 were verified before SHA-256 freezing.
W2A-SR003,Internal Revenue Service (IRS),"KOSC Form 990 XML, tax period 2022-06-01 to 2023-05-31",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_04A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/kosc_fy2023_202430969349301028.xml,2ea525c52c090af0eb500adecac05b8c5933f9baee7bd996e773ee3b0b613eea,application/xml,bulk ZIP member 202430969349301028_public.xml; EIN 980214323; IRS object 202430969349301028,W2A-A009;W2A-A010;W2A-A011;W2A-A012;W2A-A013,archived_official_member_sha256_and_zip_crc_verified,Extracted from the official IRS bulk ZIP by HTTP byte ranges; the member size and ZIP CRC-32 were verified before SHA-256 freezing.
W2A-SR004,Internal Revenue Service (IRS),"KOSC Form 990 XML, tax period 2023-06-01 to 2024-05-31",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_03A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/kosc_fy2024_202500669349300300.xml,547ecf8947ac63d9409cb3c85364ea1b4514009acd3015a135de1a24abe60d39,application/xml,bulk ZIP member 202500669349300300_public.xml; EIN 980214323; IRS object 202500669349300300,W2A-A014;W2A-A015;W2A-A016;W2A-A017;W2A-A018,archived_official_member_sha256_and_zip_crc_verified,Extracted from the official IRS bulk ZIP by HTTP byte ranges; the member size and ZIP CRC-32 were verified before SHA-256 freezing.
W2A-SR005,Internal Revenue Service (IRS),"KOSC Form 990 XML, tax period 2024-06-01 to 2025-05-31",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2026/2026_TEOS_XML_01A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/irs_202630129349300153_public.xml,9b236ca03e122c0dbbd84f40241feca120db5eb484525c5627498135ffdad367,application/xml,bulk ZIP member 202630129349300153_public.xml; EIN 980214323; IRS object 202630129349300153,W2A-A019;W2A-A020;W2A-A021;W2A-A022;W2A-A023;W2A-A080;W2A-A081;W2A-A082;W2A-A083,archived_official_member_sha256_and_zip_crc_verified,Extracted from the official IRS bulk ZIP by HTTP byte ranges; the member size and ZIP CRC-32 were verified before SHA-256 freezing.
W2A-SR006,Internal Revenue Service (IRS),"MOSCO Form 990EZ XML, tax period 2022-06-01 to 2023-05-31",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_03A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/mosco_fy2023_202410719349201281.xml,d8b431a8ddf4c24e401f75b3fd4a19cb58b6bc9ae7d8d416467cd43893a21d95,application/xml,bulk ZIP member 202410719349201281_public.xml; EIN 460598583; IRS object 202410719349201281,W2A-A024;W2A-A025;W2A-A026;W2A-A027,archived_official_member_sha256_and_zip_crc_verified,Extracted from the official IRS bulk ZIP by HTTP byte ranges; the member size and ZIP CRC-32 were verified before SHA-256 freezing.
W2A-SR007,Internal Revenue Service (IRS),"MOSCO Form 990EZ XML, tax period 2023-06-01 to 2024-05-31",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_04A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/mosco_fy2024_202501019349201215.xml,bcfb472a8000d57650bb9640c14a49c9150a9710e3e21c0881a8b0f64ade2035,application/xml,bulk ZIP member 202501019349201215_public.xml; EIN 460598583; IRS object 202501019349201215,W2A-A028;W2A-A029;W2A-A030;W2A-A031,archived_official_member_sha256_and_zip_crc_verified,Extracted from the official IRS bulk ZIP by HTTP byte ranges; the member size and ZIP CRC-32 were verified before SHA-256 freezing.
W2A-SR008,Internal Revenue Service (IRS),"MOSCO Form 990EZ XML, tax period 2024-06-01 to 2025-05-31",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2026/2026_TEOS_XML_06A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/mosco_fy2025_202621539349200807.xml,57fcafd2a6307f304e687420b11559812d4da5c6f240ae45bc8de24f2fb2f4b3,application/xml,bulk ZIP member 202621539349200807_public.xml; EIN 460598583; IRS object 202621539349200807,W2A-A032;W2A-A033;W2A-A034;W2A-A035;W2A-A080;W2A-A081;W2A-A082;W2A-A083,archived_official_member_sha256_and_zip_crc_verified,Extracted from the official IRS bulk ZIP by HTTP byte ranges; the member size and ZIP CRC-32 were verified before SHA-256 freezing.
W2A-SR009,Internal Revenue Service (IRS),"NOSCO Form 990 XML, tax period 2022-07-01 to 2023-06-30",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2024/2024_TEOS_XML_05A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/nosco_fy2023_202411349349304281.xml,a1eebf87d557d3e9877551ec20bdf4eec2186f9aa58f5b100a02fae95b32721a,application/xml,bulk ZIP member 202411349349304281_public.xml; EIN 980210979; IRS object 202411349349304281,W2A-A036;W2A-A037;W2A-A038;W2A-A039;W2A-A040,archived_official_member_sha256_and_zip_crc_verified,Extracted from the official IRS bulk ZIP by HTTP byte ranges; the member size and ZIP CRC-32 were verified before SHA-256 freezing.
W2A-SR010,Internal Revenue Service (IRS),"NOSCO Form 990 XML, tax period 2023-07-01 to 2024-06-30",official_irs_bulk_xml,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_01A.zip,2026-08-22T01:48:41+08:00,outputs/us_presence_network_wave2_w2_00_spouse_990_v1/raw/nosco_fy2024_202530159349302288.xml,d4584a84ff53be952a9bee4e4e53796e49f7eecb9ab0519bae3a99db8518c440,application/xml,bulk ZIP member 202530159349302288_public.xml; EIN 980210979; IRS object 202530159349302288,W2A-A041;W2A-A042;W2A-A043;W2A-A044;W2A-A045,archived_official_member_sha256_and_zip_crc_verified,Extracted from the official IRS bulk ZIP by HTTP byte ranges; the member size and ZIP CRC-32 were verified before SHA-256 freezing.
