search_id,subject,source_scope,query_or_match_rule,search_date,bounded_result,allowed_claim,prohibited_inference,review_status,package_scope,frontend_status,central_writeback
W2D-NS001,service_side_artifact_corpus,W2-A IRS/recipient artifacts; W2-B USO/ARC/NMCRS artifacts,Earthjustice; Friends of the Earth; Pacific Environment; Center for Biological Diversity; Veterans for Peace; Turtle Island Restoration Network; SeaTurtles.org,2026-08-22,no_exact_name_hit,The service-side artifact corpus contains no exact A0 organization-name hit.,The corpus is bounded and cannot prove no relationship exists.,ai_seeded,research_only,not_frontend_ready,no
W2D-NS002,A009 Earthjustice,official FY2024 filing/report and Dugong case page,S0 nine organization names and known aliases,2026-08-22,no_confirmed_s0_hit,No S0 organization is named in the reviewed entries.,The case page is historical and the negative result is source-bounded.,ai_seeded,research_only,not_frontend_ready,no
W2D-NS003,A033 Friends of the Earth U.S.,official accountability and 2024 report entries,S0 nine organization names,2026-08-22,no_confirmed_s0_hit,No S0 name in reviewed official entries.,FY2024 Schedule I extraction remains incomplete.,ai_seeded,research_only,not_frontend_ready,no
W2D-NS004,A042 Pacific Environment,official FY2024 filing/financial pages,S0 nine organization names,2026-08-22,no_confirmed_s0_hit,No S0 name in reviewed official entries.,Brand/legal-name and shared-address observations are not bridges.,ai_seeded,research_only,not_frontend_ready,no
W2D-NS005,A045 Center for Biological Diversity,official 2023 filing and Japan program page,S0 nine organization names,2026-08-22,no_confirmed_s0_hit,No S0 name in reviewed Schedule I/official entries.,Historical Dugong relations are not current S0 bridges.,ai_seeded,research_only,not_frontend_ready,no
W2D-NS006,A070 VFP-ROCK,official 2023/2025 resolutions and 2024 report,S0 nine organization names,2026-08-22,no_confirmed_s0_hit,No S0 name in reviewed official event records.,"Same-event participation, if later found, would remain event-level.",ai_seeded,research_only,not_frontend_ready,no
W2D-NS007,A086 TIRN,official FY2024 filing/audit and 2025 activity page,S0 nine organization names,2026-08-22,no_confirmed_s0_hit,No S0 name in reviewed official entries.,Schedule I page-level status is unresolved.,ai_seeded,research_only,not_frontend_ready,no
W2D-NS008,cross_side_people,104 W2-A filing roles; 15 W2-B role endpoints; available A0 named roles,normalized exact names,2026-08-22,no_exact_cross_side_person_match,No exact identity-resolved cross-side person match is present.,A0/S0 roster coverage is incomplete; this is not a shared-person zero.,ai_seeded,research_only,not_frontend_ready,no
W2D-NS009,recipient_crosswalk,six W2-A candidate recipients plus A1R/A1C actor names,exact normalized organization labels,2026-08-22,no_confirmed_cross_ecology_recipient,No recipient closes to an accountability actor or both sides.,Three local responses and zero exact transaction closures do not define a complete recipient universe.,ai_seeded,research_only,not_frontend_ready,no
W2D-NS010,typed_direct_relations,43-row legacy typed relation sample; W2-A/B handoffs; accountability actions,S0-to-A0/A1R/A1C dyads,2026-08-22,no_confirmed_cross_ecology_direct_dyad,No direct organization dyad is confirmed in these inputs.,Ecology-wide nonexistence is not established.,ai_seeded,research_only,not_frontend_ready,no
W2D-NS011,same_event,central AEV plus W2-B service episodes and A0 official event audit,same event id/date and named participation,2026-08-22,no_confirmed_same_event,No same public event is confirmed across sides in the bounded inputs.,Event corpora are incomplete and co-participation would not be an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-NS012,shared_funder,available 990/financial and sponsor observations,named funders/sponsors,2026-08-22,not_testable_to_zero,No confirmed shared funder is closed; donor anonymity/incomplete extraction prevents a zero.,"A future shared funder would show source intersection, not coordination.",ai_seeded,research_only,not_frontend_ready,no
W2D-NS013,X017 current observability,"registry, historical AWWA and filing leads",2023-2025 roster/filing/report/event/recipient,2026-08-22,not_observable_in_window,No current activity anchor is available in the bounded inputs.,Historical membership cannot be treated as a current organization relation.,ai_seeded,research_only,not_frontend_ready,no
