literature_id,hypothesis_id,author_year,title,empirical_or_theoretical_scope,project_use,project_difference,url,integration_status
LIT01,H1,Earl_et_al_2004,The Use of Newspaper Data in the Study of Collective Action,protest_event_selection_and_description_bias,grounds_source_selection_bias,a multi-source organization-source incidence design rather than newspaper-only events,https://doi.org/10.1146/annurev.soc.30.012703.110603,external_literature_candidate_not_source_log
LIT02,H1,Smith_et_al_2017,Network sampling coverage II: The effect of non-random missing data on network measurement,network_statistics_under_nonrandom_missing_nodes,grounds_sensitivity_to_missingness,project removes both actor nodes and their documentary traces,https://pmc.ncbi.nlm.nih.gov/articles/PMC5110009/,external_literature_candidate_not_source_log
LIT03,H1,Steinert-Threlkeld_2017,Longitudinal Network Centrality Using Incomplete Data,incomplete_longitudinal_activist_networks,limits_centrality_inference,project currently lacks a genuine longitudinal relational network,https://www.cambridge.org/core/journals/political-analysis/article/longitudinal-network-centrality-using-incomplete-data/D2D59F17EB02D8F4B996EB65B05899F0,external_literature_candidate_not_source_log
LIT04,H1,Mattoni_Uldam_Weinryb_2025,Platforms as Partners?,platforms_shape_civil_society_organizing_and_visibility,connects_documentation_infrastructure_to_visibility,project focuses on heterogeneous archives/websites/law and not only social platforms,https://doi.org/10.1177/20563051251343865,external_literature_candidate_not_source_log
LIT05,H1,Reich_2017,The Organizational Trace of an Insurgent Moment,organizational_field_change_after_occupy,distinguishes_moment_from_organizational_trace,project must not infer enduring organization from event-only visibility,https://doi.org/10.1177/2378023117700651,external_literature_candidate_not_source_log
LIT06,H3,Spencer_2003,Meeting of the dugongs and the cooking pots,Okinawa_anti_base_groups_environmentalism_feminism_antimilitarism,sets_prior_art_for_multi_issue_Okinawa_mobilization,project asks whether a newer frontline_memory frame creates event-level convergence,https://doi.org/10.1080/1037139032000129676,external_literature_candidate_not_source_log
LIT07,H3,Ono_2016,Dynamics of Problematizing Okinawa,1970s_anti_pollution_networks_linking_Okinawa_Japan_Asia,prevents_false_novelty_about_issue_bridging,project tests a recent frame and carrier mechanism rather than first-ever diversification,https://doi.org/10.4057/jsr.67.415,external_literature_candidate_not_source_log
LIT08,H3,Higa_2024,沖縄の基地反対運動と命のアナキズム,ecological_turn_and_broader_anti_military_practice,offers_competing_master_frame,project compares ecological/life language with frontline/war-memory language,https://www.jstage.jst.go.jp/article/jjcanth/89/1/89_022/_article/-char/ja/,external_literature_candidate_not_source_log
LIT09,H3,Hook_2015,The American eagle in Okinawa: contested memory and the unfinished war,Battle_of_Okinawa_memory_and_anti_base_politics,grounds_memory_as_political_resource,project tests organizational diffusion and event recombination with structured observations,https://doi.org/10.1080/09555803.2015.1042011,external_literature_candidate_not_source_log
LIT10,H3,Kubal_2014,Social Movements and Collective Memory,memory_activism_review,provides_memory_movement_mechanisms,project needs meso-level actor/event evidence rather than treating memory as context,https://doi.org/10.1111/soc4.12166,external_literature_candidate_not_source_log
LIT11,H3,Beamish_Luebbers_2009,Alliance Building across Social Movements,cross_movement_coalition_work,provides_alternative_to_simple_frame_similarity,project currently has event convergence and must test maintenance before saying coalition,https://doi.org/10.1525/sp.2009.56.4.647,external_literature_candidate_not_source_log
LIT12,H2,Forgash_2020,Intimacy across the Fencelines,Okinawa_military_local_families_and_everyday_life,shows_real_interfaces_beyond_formal_NGO_ties,project adds organization/service/recipient structure but cannot substitute for ethnography,https://doi.org/10.7591/cornell/9781501750403.001.0001,external_literature_candidate_not_source_log
LIT13,H2,Hohn_Moon_eds_2010,Over There: Living with the U.S. Military Empire,comparative_social_impact_of_overseas_bases,places_service_ecology_in_base_society,project studies named civic/service organizations in Okinawa rather than the whole host society,https://www.dukeupress.edu/over-there,external_literature_candidate_not_source_log
LIT14,H2,Barker_2009,Reproducing American Soldiers in an Age of Empire,social_reproductive_labor_of_military_infrastructure,offers_social_reproduction_theory,project must show how voluntary clubs and charities fit before using the concept causally,https://www.cambridge.org/core/product/identifier/S1743923X09000166/type/journal_article,external_literature_candidate_not_source_log
LIT15,H2,Makita_2006,Community-Based Management and Publicness,Ginowan_base_dependence_risk_and_local_management,prevents_a_simple_two_camp_model,project tests formal organizational interfaces across advocacy/service ecologies,https://doi.org/10.11192/jacp.4.156,external_literature_candidate_not_source_log
LIT16,H2,Hikotani_Horiuchi_Tago_2022,Revisiting negative externalities of US military bases: the case of Okinawa,base_externalities_and_host_community_contact,provides_competing_contact_hypothesis,project can examine whether organizational interfaces track or diverge from interpersonal contact,https://doi.org/10.1093/irap/lcac002,external_literature_candidate_not_source_log
LIT17,H2,Yeo_2011,Activists Alliances and Anti-U.S. Base Protests,comparative_anti_base_movements_and_security_consensus,sets_prior_art_for_anti_base_alliance_and_outcomes,project compares advocacy actors with the under-studied service ecology rather than re-testing alliance consensus alone,https://www.cambridge.org/core/books/activists-alliances-and-antius-base-protests/132E5F1A70A76313193C8911704F23F9,external_literature_candidate_not_source_log
LIT18,H2,Vine_2019,No Bases? Assessing the Impact of Social Movements Challenging US Foreign Military Bases,comparative_impact_and_transnational_no_bases_network,prevents_overstating_Okinawa_policy_failure_or_isolation,project studies typed organizational ecologies and bounded interfaces rather than overall movement impact,https://doi.org/10.1086/701042,external_literature_candidate_not_source_log
LIT19,H3,Okamoto_2022,「『台湾有事』を起こさせない・沖縄対話プロジェクト」が始動,direct_account_of_A017_dialogue_project,sets_direct_prior_art_for_project_origin_and_frame,project novelty cannot be the discovery that dialogue actors connect Taiwan contingency with Okinawa war memory,https://ndlsearch.ndl.go.jp/books/R000000004-I032517746,direct_case_prior_art_requires_fulltext_review
LIT20,H3,Higa_Morito_2023,「沖縄を再び戦場にさせない県民の会」の設立と11・23県民平和大集会,direct_account_of_A108_formation_and_rally,sets_direct_prior_art_for_A108_formation_and_mobilization,project must add structured actor-event comparison and independent-adoption tests rather than retell formation,https://ndlsearch.ndl.go.jp/books/R000000004-I033183383,direct_case_prior_art_requires_fulltext_review
LIT21,H3,Fujii_2023,石垣島を戦場にさせない―ミサイルより戦争回避の外交を,participant_movement_account_of_Ishigaki_frontline_prevention,sets_direct_prior_art_for_local_anti_frontline_language,project must compare carriers and non-adoption across places instead of claiming the Ishigaki frame is newly discovered,https://doi.org/10.60233/jjsci.58.11_49,direct_case_prior_art_requires_fulltext_review
LIT22,H3,Maedomari_2024,〝異次元の軍拡〟と沖縄―旧日本軍と自衛隊の〝沖縄侵攻〟の比較研究,current_military_buildup_linked_to_Okinawa_war_and_sacrificial_island_memory,sets_direct_prior_art_for_historical_analogy_and_frontline_claim,project novelty must rest on structured organizational carriage adoption and negative-case comparison,https://www.jstage.jst.go.jp/article/rihgat/2024/2/2024_05/_pdf/-char/ja,direct_case_prior_art_requires_fulltext_review
