asset,package_id,asset_kind,compatibility_status,impact,reason,required_action,research_status,claim_status,review_status,frontend_eligibility,central_writeback,interpretation_limit
docs/research_wave_topic_selection_v1.md,research_wave_historical_communication,documentation,recompute_required,medium,Contains historical H1/H2 count statements.,Cite as historical or accompany with this overlay.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
docs/research_wave_v1_handoff.md,research_wave_historical_communication,documentation,recompute_required,medium,Contains historical H1/H2 count statements.,Cite as historical or accompany with this overlay.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
docs/research_wave_v2_principal_checkpoint.md,research_wave_historical_communication,documentation,recompute_required,medium,Contains historical H1/H2 count statements.,Cite as historical or accompany with this overlay.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v1/actor_issue_edge_source_incidence_v1.csv,H1_v1,metric_or_analysis_asset,recompute_required,high,Depends on the 238-edge / 234-E3+ snapshot.,Use post-freeze overlay; do not overwrite v1.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v1/actor_visibility_diagnostics_v1.csv,H1_v1,metric_or_analysis_asset,recompute_required,high,Depends on the 238-edge / 234-E3+ snapshot.,Use post-freeze overlay; do not overwrite v1.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v1/brief_v1.md,H1_v1,metric_or_analysis_asset,recompute_required,high,Depends on the 238-edge / 234-E3+ snapshot.,Use post-freeze overlay; do not overwrite v1.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v1/leave_one_source_out_v1.csv,H1_v1,metric_or_analysis_asset,recompute_required,high,Depends on the 238-edge / 234-E3+ snapshot.,Use post-freeze overlay; do not overwrite v1.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v1/metrics_v1.json,H1_v1,metric_or_analysis_asset,recompute_required,high,Depends on the 238-edge / 234-E3+ snapshot.,Use post-freeze overlay; do not overwrite v1.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v1/paired_deletion_comparison_v1.csv,H1_v1,metric_or_analysis_asset,recompute_required,high,Depends on the 238-edge / 234-E3+ snapshot.,Use post-freeze overlay; do not overwrite v1.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v1/scenario_removed_edges_v1.csv,H1_v1,metric_or_analysis_asset,recompute_required,high,Depends on the 238-edge / 234-E3+ snapshot.,Use post-freeze overlay; do not overwrite v1.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
