audit_row_id,proposal_refs,normalized_url,sensitive_boundary_tags,caveats,boundary_status,relation_or_claim_approved,safe_use_instruction
NW2FS001,NW2-B_R09:R9EC_S001,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/927/h26nenpou.pdf,election_causality_not_inferred,Does not support any civic-actor role or causal effect.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS002,NW2-B_R09:R9EC_S002,https://www.ywca.or.jp/pdf/2014/0716.pdf,election_causality_not_inferred;actor_crosswalk_requires_human_review,Participant/advocacy publication; exact crosswalk to A059 requires human review.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS003,NW2-B_R09:R9EC_S003,https://www.qab.co.jp/news/2014082157456.html,election_causality_not_inferred;ad_hoc_body_or_roster_not_generalized,Does not provide the full member roster of either ad hoc request body.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS004,NW2-B_R09:R9EC_S004,https://www.jcp.or.jp/akahata/aik14/2014-08-22/2014082204_01_1.html,election_causality_not_inferred;ad_hoc_body_or_roster_not_generalized,Party-media framing; 52 is not a verified organization roster.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS005,NW2-B_R09:R9EC_S005,https://www.jcp.or.jp/akahata/aik14/2014-10-11/2014101104_01_1.html,election_causality_not_inferred;ad_hoc_body_or_roster_not_generalized,Single party-media report; full 29-group roster is not available online.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS006,NW2-B_R09:R9EC_S006,https://www.magazine9.jp/article/yuntacrew/18975,election_causality_not_inferred;person_or_masked_actor_not_transferred,Retrospective first-person account; does not establish turnout or vote effects.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS007,NW2-B_R09:R9EC_S007;NW2-C_registry_gate:RV2SP015,https://www.shinfujin.gr.jp/2943,election_causality_not_inferred;self_report_reach_or_effect_not_inferred;branch_parent_action_not_automatically_transferred;party_affiliation_not_inferred,Organizational self-report is not independent evidence of electoral effect. | Supports the branch's attributed activity; election commentary must not become a causal claim.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS008,NW2-B_R09:R9EC_S008,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1021246.html,election_causality_not_inferred,Does not support any civic-actor role or causal effect.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS009,NW2-B_R09:R9EC_S009,https://ryukyushimpo.jp/news/entry-770040.html,election_causality_not_inferred;issue_event_not_automatic_endorsement,Support for a policy act is not a candidate endorsement or vote-effect claim.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS010,NW2-B_R09:R9EC_S010,https://all-okinawa.jp/492,election_causality_not_inferred;issue_event_not_automatic_endorsement,Election proximity does not convert the rally into an endorsement without explicit evidence.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS011,NW2-B_R09:R9EC_S011,https://ryukyushimpo.jp/news/entry-789039.html,election_causality_not_inferred;temporary_coalition_not_stable_alliance,"The temporary council is an event node, not an NGO or stable alliance.",pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS012,NW2-B_R09:R9EC_S012,https://www.jstage.jst.go.jp/article/isvsjapan/19/0/19_45/_pdf/-char/en,election_causality_not_inferred;person_or_masked_actor_not_transferred,First-party academic record; candidates are kept as generic event nodes as the paper masks names.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS013,NW2-B_R09:R9EC_S013,https://www.shinfujin.gr.jp/wp-content/uploads/2018/11/20181003_seimei_okinawatidisen.pdf,election_causality_not_inferred;self_report_reach_or_effect_not_inferred,Does not independently prove participation scale or effect on votes.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS014,NW2-B_R09:R9EC_S014,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1025046/index.html,election_causality_not_inferred,Does not support any civic-actor role or causal effect.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS015,NW2-B_R09:R9EC_S015,https://ryukyushimpo.jp/news/entry-1499534.html,election_causality_not_inferred;ad_hoc_body_or_roster_not_generalized,Ad hoc body; membership and continuity are not inferred.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS016,NW2-B_R09:R9EC_S016,https://www.min-iren.gr.jp/news-press/shinbun/20220816_46093.html,election_causality_not_inferred;self_report_reach_or_effect_not_inferred,Self-reported attendance/access; does not prove voter reach or effect.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS017,NW2-B_R09:R9EC_S017,https://all-okinawa.jp/2005,election_causality_not_inferred;issue_event_not_automatic_endorsement,Organizer framing is issue campaign; classification remains HR-026 because election framing was disputed.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS018,NW2-B_R09:R9EC_S018,https://www.okinawatimes.co.jp/articles/-/1000372,election_causality_not_inferred;issue_event_not_automatic_endorsement,"Quoted partisan interpretations are observations, not adjudicated event purpose.",pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS019,NW2-B_R09:R9EC_S019,https://www.shinfujin.gr.jp/up/newspaper/12908,election_causality_not_inferred;self_report_reach_or_effect_not_inferred,Endorsement is observable; audience reach and electoral effect are not.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS020,NW2-B_R09:R9EC_S020,https://ryukyushimpo.jp/news/entry-1579341.html,election_causality_not_inferred;person_or_masked_actor_not_transferred,Named individuals do not transfer roles to their organizations; original response sheet was not located.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS021,NW2-B_R09:R9EC_S021,https://www.jcp.or.jp/akahata/aik22/2022-08-14/2022081403_01_0.html,election_causality_not_inferred;ad_hoc_body_or_roster_not_generalized,Organizer identity is not named on the available page; no stable coalition inferred.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS022,NW2-C_registry_gate:RV2SP001,https://miyakojima-tikasui.com/about_us.html,stated_environmental_risk_not_proven_contamination;administrative_contact_not_agreement,"The profile's 2018 representatives are a dated leadership observation, not a permanent roster.",pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS023,NW2-C_registry_gate:RV2SP002,https://miyakojima-tikasui.com/,stated_environmental_risk_not_proven_contamination;administrative_contact_not_agreement,Self-published continuity evidence; individual scientific claims require claim-level review.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS024,NW2-C_registry_gate:RV2SP003,https://miyakojima-tikasui.com/crisis.html,stated_environmental_risk_not_proven_contamination;administrative_contact_not_agreement,"Supports the group's public position, not a finding that contamination or a health effect occurred.",pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS025,NW2-C_registry_gate:RV2SP004,https://miyakojima-tikasui.com/report_activity/2021-10-08-04.pdf,stated_environmental_risk_not_proven_contamination;administrative_contact_not_agreement,Policy advocacy evidence; it does not independently verify the asserted environmental risk level.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS026,NW2-C_registry_gate:RV2SP005,https://www.city.miyakojima.lg.jp/kurashi/seikatsu/kankyohozen/files/tikasui.pdf,stated_environmental_risk_not_proven_contamination;administrative_contact_not_agreement,"Supports identity and recipient-side procedure, not agreement with the group's scientific interpretation.",pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS027,NW2-C_registry_gate:RV2SP006,https://ryukyushimpo.jp/news/entry-1254033.html,stated_environmental_risk_not_proven_contamination;administrative_contact_not_agreement,"An election questionnaire is a dated public intervention, not proof of later policy effect.",pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS028,NW2-C_registry_gate:RV2SP007,https://www.city.ginowan.lg.jp/material/files/group/61/hukusi_202212.pdf,PFAS_health_or_source_causality_not_inferred;request_or_coparticipation_not_partnership,The testimony says work began with the 2016 PFOS disclosure; it does not give a precise legal formation date.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS029,NW2-C_registry_gate:RV2SP008,https://www.city.ginowan.lg.jp/material/files/group/61/ikensyo1.pdf,PFAS_health_or_source_causality_not_inferred;request_or_coparticipation_not_partnership,The resolution uses probability language for a base source; do not strengthen it to established causation.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS030,NW2-C_registry_gate:RV2SP009,https://www.asahi.com/articles/ASQ9S5J0LQ96TPOB004.html,PFAS_health_or_source_causality_not_inferred;request_or_coparticipation_not_partnership,Paywalled after the visible evidence; preserve the visible locator and do not infer beyond it.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS031,NW2-C_registry_gate:RV2SP010,https://ryukyushimpo.jp/news/entry-1421139.html,PFAS_health_or_source_causality_not_inferred;request_or_coparticipation_not_partnership,A request does not establish that the requested blood testing was performed.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS032,NW2-C_registry_gate:RV2SP011,https://ryukyushimpo.jp/news/entry-1730706.html,PFAS_health_or_source_causality_not_inferred;request_or_coparticipation_not_partnership,"Documents a request, not its acceptance or an institutional partnership.",pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS033,NW2-C_registry_gate:RV2SP012,https://newsdig.tbs.co.jp/articles/-/2642471?display=1,PFAS_health_or_source_causality_not_inferred;request_or_coparticipation_not_partnership,The expert explicitly says the sample cannot be converted to foam volume or sewer concentration.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
