activity_row_id,actor_id,actor_name,analytical_groups,window_start,window_end,activity_status,activity_anchor_refs,activity_anchor_basis,interpretation_limit,review_status,package_scope,frontend_status,central_writeback
W2D-ACT001,A001,Okinawa Environmental Justice Project,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT002,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT003,A003,ジュゴンネットワーク沖縄,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT004,A004,日本自然保護協会,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT005,A005,WWFジャパン,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT006,A006,グリーンピース・ジャパン,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT007,A007,ピースボート,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT008,A008,NGO非戦ネット,A1R,2023-01-01,2025-12-31,observed_in_window_source_or_event_anchor,S067,source_year:2023,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT009,A009,Earthjustice,A0;A1C,2023-01-01,2025-12-31,observed_in_window_general_org,,FY2024 annual report/990,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT010,A010,石垣島に軍事基地をつくらせない市民連絡会,A1C,2023-01-01,2025-12-31,observed_in_window_source_or_event_anchor,S159,source_year:2023,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT011,A011,石垣市住民投票を求める会,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
