source_row_uid,source_row_number,review_item_id,source_partner_name,source_partner_kind_code,source_partner_kind_label,approved_display_name,canonical_identity_key,entity_scope,registry_actor_id,registry_crosswalk_decision,approved_english_name,approved_acronym,partner_kind_review,role_review,review_status,human_reviewer,review_date,decision_source_report,actor_relation_edge_approved,amount_allocation_approved,scope_boundary
S002-R0009,9,HR032-02,公益財団法人沖縄県 平和祈念財団,2,公益社団又は公益財団法人,公益財団法人沖縄県平和祈念財団,HRE032-02,legal_entity_no_registry,,same_legal_entity_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Distinct from the Himeyuri foundation; project cost is not a payment.
S002-R0010,10,HR032-04,特定非営利活動法人 沖縄平和協力セン ター,1,特定非営利活動法人（NPO法人）,特定非営利活動法人沖縄平和協力センター,A088,registry_actor,A088,A088_same_legal_entity,Okinawa Peace Assistance Center,OPAC,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Actor identity crosswalk only; the three administrative relations remain gated separately.
S002-R0011,11,HR032-04,特定非営利活動法人 沖縄平和協力セン ター,1,特定非営利活動法人（NPO法人）,特定非営利活動法人沖縄平和協力センター,A088,registry_actor,A088,A088_same_legal_entity,Okinawa Peace Assistance Center,OPAC,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Actor identity crosswalk only; the three administrative relations remain gated separately.
S002-R0060,60,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0061,61,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0062,62,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0063,63,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0064,64,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0065,65,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0066,66,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
