coverage_row_id,actor_id,actor_name,analytical_side,source_family,window_start,window_end,coverage_status,source_ref_or_url,exact_locator_or_result,s0_name_hit,completion_semantics,allowed_claim,prohibited_inference,review_status,package_scope,frontend_status,central_writeback
W2D-SC001,X001,USO Okinawa,S0_service,official_roster_or_team,2023-01-01,2025-12-31,found_in_window,W2B2-DE014;W2B2-DE015;W2B2-DE025;W2B2-DE026,Official stories name area/center managers,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC002,X001,USO Okinawa,S0_service,applicable_990_part_vii_schedule_i,2023-01-01,2025-12-31,found_parent_national,W2B-A005;W2B2-SR034,USO Inc. 2024 filing; local allocation absent,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC003,X001,USO Okinawa,S0_service,annual_report_or_financial,2023-01-01,2025-12-31,found_parent_national,W2B-A001;W2B2-SR001,2024 consolidated statements/impact report,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC004,X001,USO Okinawa,S0_service,case_or_event_role,2023-01-01,2025-12-31,found_in_window,W2B2-SR010;W2B2-SR011,2025 official Okinawa service episodes,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC005,X001,USO Okinawa,S0_service,recipient_or_partner_announcement,2023-01-01,2025-12-31,found_in_window,W2B2-SR013;W2B2-SR032,Official sponsor stories and OESC gift record,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC006,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),S0_service,official_roster_or_team,2023-01-01,2025-12-31,found_in_window_filing_roles,W2A-SR001;W2A-SR002,Part VII/filing role strings,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC007,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),S0_service,applicable_990_part_vii_schedule_i,2023-01-01,2025-12-31,found_in_window,W2A-SR001;W2A-SR002,Official IRS XML,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC008,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),S0_service,annual_report_or_financial,2023-01-01,2025-12-31,not_found_bounded,W2A-NS001:W2A-NS006,No separate annual report in bounded W2-A corpus,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC009,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),S0_service,case_or_event_role,2023-01-01,2025-12-31,found_in_window_recipient_actions,W2A2-SR004:W2A2-SR013,Recipient-side donation/use episodes,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC010,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),S0_service,recipient_or_partner_announcement,2023-01-01,2025-12-31,partial_named_endpoint_coverage,EH0110:EH0121,Six descriptors; three local responses; zero exact transaction closure,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
