endpoint_id,endpoint_type,canonical_label,registry_or_provisional_id,linked_actor_or_endpoint,person_name_raw,role_or_relation_type,observed_start,observed_end,time_semantics,source_receipt_ids,exact_locator,identity_status,bridge_eligibility,w2_d_use,allowed_claim,prohibited_inference,review_status,package_scope,frontend_status,central_writeback,notes
W2B2-DE001,organization_or_institution,"United Service Organizations, Inc.",,USO Indo-Pacific; USO Okinawa (X001),,national_prime_organization,2023-09-30,2028-09-29,award_period_not_organization_lifecycle,W2B2-SR006;W2B2-SR034,Award recipient and consolidated statement perimeter,official_national_legal_entity,organization_endpoint,National money/organization anchor,The national prime and consolidated reporting entity are identifiable.,Do not turn parent/area naming into a centrally approved control edge or allocate the award locally.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE002,organization_or_institution,USO Indo-Pacific,,"United Service Organizations, Inc.; USO Japan; USO Okinawa",,regional_operating_layer,2021-06,2026-08-21,named_role_start_to_current_page_snapshot,W2B2-SR001;W2B2-SR004,Impact report region section and Regional VP biography,official_operating_region,organization_endpoint,Region-level bridge and hierarchy audit,The Indo-Pacific operating layer and its regional leadership are visible.,"Do not infer a separate法人格, budget or authority beyond the official operating description.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE003,organization_or_institution,USO Japan,,USO Indo-Pacific,,mainland_japan_area,,2026-08-21,current_directory_snapshot,W2B2-SR005,Japan homepage and area office,official_area_endpoint,organization_endpoint,Keep mainland Japan distinct from Okinawa,USO Japan is a separately presented area/site system.,Do not merge it with USO Okinawa or infer money between the areas.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE004,organization_or_institution,USO Okinawa,X001,USO Indo-Pacific,,okinawa_area,,2026-08-21,current_directory_snapshot,W2B2-SR002;W2B2-SR003,Okinawa homepage and six-center statement,registered_actor,organization_endpoint,Primary service-side W2-D actor,"X001 is the local service-area endpoint for people, sponsor and service-interface rows.",Do not convert its presence into a pro-base stance or an independently incorporated local法人格.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE005,organization_or_institution,American Engineering Corporation,X003,USO Okinawa (X001),,sponsor_and_in_kind_provider,2018-03-01,2025-11-17,multiple_dated_actions_not_full_relationship_term,W2B2-SR013;W2B2-SR014;W2B2-SR018,Three dated USO stories,registered_actor,organization_endpoint,Sponsor/person bridge tracer,AEC has multiple dated cash and in-kind support observations tied to named representatives.,"Do not infer complete annual giving, political stance or that every company officer served for the whole span.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE006,organization_or_institution,Mediatti Broadband Communications Okinawa,Mediatti_Broadband_MBC,USO Okinawa (X001),,sponsor_and_connectivity_provider,2018-02-09,2026-02-24,multiple_observations_with_claimed_12_year_support,W2B2-SR016;W2B2-SR017,2018 and 2026 official stories,existing_provisional_endpoint,organization_endpoint,Sponsor/person continuity tracer,MBC has dated cash and connectivity-support observations with a recurring named executive.,Do not infer annual amounts during the 12-year claim or a central actor approval.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE007,organization_or_institution,AK Kogyo,,USO Okinawa (X001),,donor_and_local_business_partner,2020-12,2025-03-12,support_start_claim_and_dated_donation,W2B2-SR015,Official story metadata and body,provisional_organization_endpoint,organization_endpoint,Local business/person tracer,"The official story identifies the business, two officers and one dated donation.","Do not infer all services, annual donations or registry admission.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE008,organization_or_institution,American Welfare & Works Association,X004,USO Kinser / USO Okinawa (X001),,grant_provider,2020-08-28,2020-08-28,single_dated_grant_event,W2B2-SR033,Grant presentation paragraph,registered_actor,organization_endpoint,AWWA-to-USO channel tracer,AWWA is a registered service-ecology endpoint in one bounded USO Kinser grant event.,Do not infer the full AWWA recipient network or grant amount.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE009,organization_or_institution,Okinawa Enlisted Spouses' Club,X007,USO Okinawa (X001),,donor,2025-12-02,2025-12-02,single_dated_donation_event,W2B2-SR032,Donation and president paragraph,registered_actor,organization_endpoint,Spouse-club-to-USO tracer,"OESC is a registered actor in one dated USD 3,250 donation event.","Do not infer long-term sponsorship, alliance or bridge to the accountability ecology.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE010,organization_or_institution,American Red Cross Okinawa,X008,Navy-Marine Corps Relief Society Okinawa (X009),,after_hours_service_interface,,2026-08-22,current_page_snapshot,W2B2-SR020;W2B2-SR021;W2B2-SR022;W2B2-SR023,Overseas services and NMCRS after-hours callout,registered_actor,service_interface_endpoint,Typed service intermediary,Red Cross is the public after-hours interface for NMCRS assistance in the inspected official pages.,"Do not infer funding by Red Cross, shared governance or a political alliance.",ai_seeded,research_only,not_frontend_ready,no,
