edge_id,relation_type,event_or_program,source_ref,current_review_status,represented_in_r10,mapped_r10_relation_ids,audit_scope_class,next_action_if_scope_expands,interpretation_limit
F001,donation,Phoenix Park Hotel donation to USO Okinawa,X002,ai_seeded,no,,R10_adjacent_omission,"Resolve source-level citation/locator online, then decide whether HR-018 should be extended.",Crosswalk status does not approve or reject the underlying relation.
F002,sponsorship,AEC longstanding USO Okinawa corporate sponsor,S097;S098,human_checked,yes,R10R019,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F003,site_presence,USO Okinawa base center,X001,ai_seeded,yes,R10R018,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F004,site_presence,USO Okinawa/related service ecosystem,X001,ai_seeded,yes,R10R018,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F005,site_presence,USO Okinawa Kadena presence,X001,ai_seeded,yes,R10R018,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F006,network_membership,NOSCO as AWWA member club,S041;S055;S072,verified,yes,R10R024,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F007,network_membership,KOSC as AWWA member club,S041;S055;S072;S075,verified,yes,R10R025,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F008,duplicate_replaced_by_F022,OESC as AWWA member club duplicate,S041;S055,rejected,no,,excluded_duplicate_replaced,Keep the replacement row only.,Crosswalk status does not approve or reject the underlying relation.
F009,service,Red Cross volunteer program,X008,ai_seeded,no,,R10_adjacent_omission,"Resolve source-level citation/locator online, then decide whether HR-018 should be extended.",Crosswalk status does not approve or reject the underlying relation.
F010,service,Emergency assistance / relief society office,X009,ai_seeded,no,,R10_adjacent_omission,"Resolve source-level citation/locator online, then decide whether HR-018 should be extended.",Crosswalk status does not approve or reject the underlying relation.
F011,event_collaboration,ONC and JICA Okinawa international-cooperation festival collaboration,S095;X011,human_checked,yes,R10R017,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F012,grant_opportunity,Okinawa Youth Council Program,S056;S082;S083;S084,needs_local_retrieval,yes,R10R035,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F013,co_presence_lead,Peace Movement Center and Henoko protest field co-presence lead,S031,needs_second_source,no,,excluded_other_module_or_non_R10_scope,No R10 action unless the module boundary is formally expanded.,Crosswalk status does not approve or reject the underlying relation.
F014,coordination,Peace Movement Center and anti-war landowner coordination,S031,ai_seeded,no,,excluded_other_module_or_non_R10_scope,No R10 action unless the module boundary is formally expanded.,Crosswalk status does not approve or reject the underlying relation.
F015,coordination,All-island conference and Peace Movement Center coordination,S029;S031,ai_seeded,no,,excluded_other_module_or_non_R10_scope,No R10 action unless the module boundary is formally expanded.,Crosswalk status does not approve or reject the underlying relation.
F016,partnership,ND and Okinawa Bar Association joint policy events,S032,ai_seeded,no,,excluded_other_module_or_non_R10_scope,No R10 action unless the module boundary is formally expanded.,Crosswalk status does not approve or reject the underlying relation.
F017,solidarity_branch,Kanto branch of anti-war landowner movement,S038,ai_seeded,no,,excluded_other_module_or_non_R10_scope,No R10 action unless the module boundary is formally expanded.,Crosswalk status does not approve or reject the underlying relation.
F018,coordination,Henoko soil council and Henoko construction opposition coordination,S040,ai_seeded,no,,excluded_other_module_or_non_R10_scope,No R10 action unless the module boundary is formally expanded.,Crosswalk status does not approve or reject the underlying relation.
F019,administrative_collaboration,ONC international cooperation coordination with prefectural government,S043;X010,needs_second_source,no,,excluded_unsupported_relation,Do not reintroduce without a new human decision and valid supporting source.,Crosswalk status does not approve or reject the underlying relation.
F020,legal_support,Bar association support for referendum legal process,S025;S037,ai_seeded,no,,excluded_other_module_or_non_R10_scope,No R10 action unless the module boundary is formally expanded.,Crosswalk status does not approve or reject the underlying relation.
F021,donation,OESC donates $3250 to USO Okinawa Dec 2025,S053,verified,yes,R10R022,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F022,network_membership,OESC as AWWA member club,S041;S055,verified,yes,R10R026,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F023,network_membership,MOSCO as AWWA member club,S041;S055;S079,verified,yes,R10R027,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F024,network_membership,Army Community Group as AWWA member club,S041;S072;S081,needs_second_source,yes,R10R028,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F025,funding_contribution,KOSC reported prior-year donations to scholarships and AWWA,S075,verified,yes,R10R029,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F026,grant,AWWA grant to USO Kinser kitchen refresh project,S077,human_checked,yes,R10R023,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F027,donation,Aggregate long-term donations to Okinawa welfare facilities,S078,human_checked,yes,R10R030,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F028,in_kind_donation,Wheelchair van to Yomitan Quegoen disability facility,S094,ai_seeded,yes,R10R031,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F029,in_kind_donation,Wheelchair-accessible van to Uruma City Social Welfare Meeting,S072,ai_seeded,yes,R10R032,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F030,in_kind_donation,Kayaks to Boy Scouts of America Far East Council,S072,ai_seeded,yes,R10R033,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F031,ngo_consultant_commission,ONC as MOFA-designated NGO consultant (NGO相談員) FY2024 project cost JPY 2894000,S095;S096;S099;S101,ai_seeded,yes,R10R006;R10R007,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F032,commission,Okinawa Prefecture multicultural coexistence policy-conference support commission FY2024 project cost JPY 5530000,S095;S099,ai_seeded,yes,R10R005,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F033,commission,Okinawa City Koza International Plaza management commission FY2024 project cost JPY 16040000,S095;S099,ai_seeded,yes,R10R004,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
