participant_no,candidate_name,origin_guess,actor_class_guess,source_id,reason_to_add,recommended_review_priority,notes
1,Diving Team Rainbow,okinawa_local,environmental_ngo_or_group,S006,2020 OEJP/MMC 71-group request participant,P2,Add only after alias/legal identity check; signatory-only unless further evidence exists.
3,Dugong no Sato,okinawa_local,environmental_ngo_or_group,S006,2020 OEJP/MMC 71-group request participant,P2,Add only after alias/legal identity check; signatory-only unless further evidence exists.
7,Okinawa Reefcheck and Research Group,okinawa_local,environmental_ngo_or_group,S006,2020 OEJP/MMC 71-group request participant,P2,Add only after alias/legal identity check; signatory-only unless further evidence exists.
8,Okumagawa Basin Protection Foundation,okinawa_local,environmental_ngo_or_group,S006,2020 OEJP/MMC 71-group request participant,P2,Add only after alias/legal identity check; signatory-only unless further evidence exists.
9,Protect Northernmost Dugong Team Zan,okinawa_local,environmental_ngo_or_group,S006,2020 OEJP/MMC 71-group request participant,P2,Add only after alias/legal identity check; signatory-only unless further evidence exists.
13,"Association of Nightingales, Medical Professionals, and Students for the Protection of Life",okinawa_local,peace_human_rights_or_other,S006,2020 OEJP/MMC 71-group request participant,P2,Add only after alias/legal identity check; signatory-only unless further evidence exists.
14,East Asian Community Institute Ryukyu Okinawa Center,okinawa_local,peace_human_rights_or_other,S006,2020 OEJP/MMC 71-group request participant,P2,Add only after alias/legal identity check; signatory-only unless further evidence exists.
15,Henoko Blue,okinawa_local,peace_human_rights_or_other,S006,2020 OEJP/MMC 71-group request participant,P2,Add only after alias/legal identity check; signatory-only unless further evidence exists.
16,Minshuku Yaponesia,okinawa_local,peace_human_rights_or_other,S006,2020 OEJP/MMC 71-group request participant,P2,Add only after alias/legal identity check; signatory-only unless further evidence exists.
17,Nago Democracy,okinawa_local,peace_human_rights_or_other,S006,2020 OEJP/MMC 71-group request participant,P2,Add only after alias/legal identity check; signatory-only unless further evidence exists.
19,No Heliport Base Association of 10 Districts North of Futamai,okinawa_local,peace_human_rights_or_other,S006,2020 OEJP/MMC 71-group request participant,P2,Add only after alias/legal identity check; signatory-only unless further evidence exists.
20,Nuchi du Takara o keisyosurukai,okinawa_local,peace_human_rights_or_other,S006,2020 OEJP/MMC 71-group request participant,P2,Add only after alias/legal identity check; signatory-only unless further evidence exists.
22,Okinawa Nobel Peace Prize Action Committee,okinawa_local,peace_human_rights_or_other,S006,2020 OEJP/MMC 71-group request participant,P2,Add only after alias/legal identity check; signatory-only unless further evidence exists.
24,Project Disagree,okinawa_local,peace_human_rights_or_other,S006,2020 OEJP/MMC 71-group request participant,P2,Add only after alias/legal identity check; signatory-only unless further evidence exists.
26,Wabiai no Sato Foundation,okinawa_local,peace_human_rights_or_other,S006,2020 OEJP/MMC 71-group request participant,P2,Add only after alias/legal identity check; signatory-only unless further evidence exists.
28,"Association for Conservation of Amami Forests, Rivers, and Coastal Ecosystems",japan_domestic,environmental_ngo_or_group,S006,2020 OEJP/MMC 71-group request participant,P3,Add only after alias/legal identity check; signatory-only unless further evidence exists.
29,Association for Conservation of Marine Communities,japan_domestic,environmental_ngo_or_group,S006,2020 OEJP/MMC 71-group request participant,P3,Add only after alias/legal identity check; signatory-only unless further evidence exists.
30,Environmental Network AMAMI (ENA),japan_domestic,environmental_ngo_or_group,S006,2020 OEJP/MMC 71-group request participant,P3,Add only after alias/legal identity check; signatory-only unless further evidence exists.
31,Iruka & Kujira (Dolphin & Whale) Action Network,japan_domestic,environmental_ngo_or_group,S006,2020 OEJP/MMC 71-group request participant,P3,Add only after alias/legal identity check; signatory-only unless further evidence exists.
35,Pan-Seto Inland Sea Congress,japan_domestic,environmental_ngo_or_group,S006,2020 OEJP/MMC 71-group request participant,P3,Add only after alias/legal identity check; signatory-only unless further evidence exists.
36,Protect Henoko and Takae! NGO Network,japan_domestic,environmental_ngo_or_group,S006,2020 OEJP/MMC 71-group request participant,P3,Add only after alias/legal identity check; signatory-only unless further evidence exists.
38,The Nature and Culture Conservation Group of Amami (NCA),japan_domestic,environmental_ngo_or_group,S006,2020 OEJP/MMC 71-group request participant,P3,Add only after alias/legal identity check; signatory-only unless further evidence exists.
39,Ainokai Aitou,japan_domestic,peace_human_rights_labor_or_other,S006,2020 OEJP/MMC 71-group request participant,P3,Add only after alias/legal identity check; signatory-only unless further evidence exists.
40,Airin Community Center,japan_domestic,peace_human_rights_labor_or_other,S006,2020 OEJP/MMC 71-group request participant,P3,Add only after alias/legal identity check; signatory-only unless further evidence exists.
41,AKAY JAPAN,japan_domestic,peace_human_rights_labor_or_other,S006,2020 OEJP/MMC 71-group request participant,P3,Add only after alias/legal identity check; signatory-only unless further evidence exists.
42,AKCDF-MAPALAD KA (The Philippines),international,peace_human_rights_labor_or_other,S006,2020 OEJP/MMC 71-group request participant,P3,Add only after alias/legal identity check; signatory-only unless further evidence exists.
