academic_id,author,year,title,venue,url,reading_depth,connection_to_h3,use_boundary_or_next_step,data_layer,claim_status,review_status,frontend_eligibility,central_writeback
AL01,比嘉盛人,2023,「沖縄を再び戦場にさせない県民の会」の設立と11・23県民平和大集会,けーし風 119:17-22,https://ndlsearch.ndl.go.jp/books/R000000004-I033183383,metadata_only_no_online_full_text,direct case literature; required to position the operationalization and role distinctions,Request NDL/local copy; do not claim topic or mechanism novelty.,research_only,literature_link_candidate,ai_seeded,not_frontend_ready,no
AL02,門野里栄子,2009,Relaying and Handing Down of the Experience of an Untold Story,Japan Oral History Association 5:63-71,https://www.jstage.jst.go.jp/article/jjoha/5/0/5_KJ00005927936/_article/-char/en,abstract_reviewed,"war memory is reconstructed in activist subject formation, not simply inherited","Use for memory mechanism, not diffusion evidence.",research_only,literature_link_candidate,ai_seeded,not_frontend_ready,no
AL03,大野光明,2016,Dynamics of Problematizing Okinawa,Japanese Sociological Review 67(4):415-431,https://www.jstage.jst.go.jp/article/jsr/67/4/67_415/_article/-char/en,abstract_reviewed,historical analogue of cross-regional carriers translating local harm into an Okinawa problem,Prevents claiming cross-regional linkage is wholly new.,research_only,literature_link_candidate,ai_seeded,not_frontend_ready,no
AL04,新崎盛暉,1999,Okinawa's Anti-Base Protests and the Creation of Peace in East Asia,International Relations 120:109-119,https://www.jstage.jst.go.jp/article/kokusaiseiji1957/1999/120/1999_120_109/_article,abstract_reviewed,historical baseline of transnational and mainland cooperation,"Recent carrier may be a new form, not the first external linkage.",research_only,literature_link_candidate,ai_seeded,not_frontend_ready,no
AL05,大野光明,2019,基地・軍隊をめぐる概念・認識枠組みと軍事化の力学,環境社会学研究 25:35-50,https://www.jstage.jst.go.jp/article/jpkankyo/25/0/25_35/_article/-char/ja,abstract_reviewed,"military harm crosses wartime/peacetime, environment, rights and autonomy","Supports object-bundling lens, not empirical adoption.",research_only,literature_link_candidate,ai_seeded,not_frontend_ready,no
AL06,比嘉理麻,2024,沖縄の基地反対運動と命のアナキズム,文化人類学 89(1):22-41,https://www.jstage.jst.go.jp/article/jjcanth/89/1/89_022/_article/-char/ja,abstract_reviewed,movement subject/object can expand after limits of conventional opposition,Useful comparison for object transformation.,research_only,literature_link_candidate,ai_seeded,not_frontend_ready,no
AL07,熊本博之,2024,沖縄に「平和」をもたらす「自立」の実現に向けて,平和研究 61:1-22,https://www.jstage.jst.go.jp/article/psaj/61/0/61_610111/_article/-char/ja/,abstract_reviewed,mainland peace discourse can erase Okinawan positionality,Use as a check against mainland-centered common-language claims.,research_only,literature_link_candidate,ai_seeded,not_frontend_ready,no
AL08,中林啓修,2024,沖縄・南西地域における国民保護の課題,防衛学研究 71:7-28,https://www.jstage.jst.go.jp/article/jds/2024/71/2024_7/_article/-char/ja,abstract_and_first_page_reviewed,official/academic civil-protection frame for comparison with civic evacuation critique,Official problem setting is not civic adoption.,research_only,literature_link_candidate,ai_seeded,not_frontend_ready,no
AL09,野添文彬,2024,日本の安全保障と沖縄―特集にあたって―,防衛学研究 71,https://www.jstage.jst.go.jp/article/jds/2024/71/2024_1/_pdf,intro_excerpt_reviewed,"security-policy discourse bundles Okinawa history, public opinion and national security","Counter-discourse, not civic evidence.",research_only,literature_link_candidate,ai_seeded,not_frontend_ready,no
AL10,桐山節子,2023,沖縄の軍事基地に抗する人々と地域,同志社大学人文科学研究所紀要,https://cir.nii.ac.jp/crid/1390576966668638592,abstract_reviewed,organizationally based activity can shift toward individual activity,Competing explanation for roster/personnel continuity.,research_only,literature_link_candidate,ai_seeded,not_frontend_ready,no
AL11,福間良明,2016,war memory and dehistoricization,mass communication studies,https://www.jstage.jst.go.jp/article/mscom/88/0/88_KJ00010233527/_article/-char/en,metadata_or_abstract_only,memory inheritance can flatten historical complexity,Caution against treating war memory as one stable national code.,research_only,literature_link_candidate,ai_seeded,not_frontend_ready,no
AL12,author metadata pending,2016,Principle of Renunciation of War and Strengthening the Self-Defense Forces,沖縄大学地域研究 18:1-24,https://cir.nii.ac.jp/crid/1390290701858194304,abstract_reviewed,older Sakishima militarization scholarship,Read full text before claiming the recent frame is new.,research_only,literature_link_candidate,ai_seeded,not_frontend_ready,no
