role_id,case_id,actor_id,display_label,actor_ecology,entity_kind,role,role_family,side,source_review_status,evidence_level,source_ids,interpretation_limit,package_scope,package_claim_status,frontend_eligibility
R8R001,R8C01,A045,Center for Biological Diversity,other_registry_actor,registered_actor,plaintiff,plaintiff,claimant,human_checked,E4,S128;S129,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R002,R8C01,A086,Turtle Island Restoration Network,accountability_comparison,registered_actor,plaintiff,plaintiff,claimant,human_checked,E4,S128,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R003,R8C01,A020,日本環境法律家連盟（JELF）,accountability_comparison,registered_actor,plaintiff,plaintiff,claimant,human_checked,E4,S062;S128,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R004,R8C01,A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,accountability_comparison,registered_actor,plaintiff,plaintiff,claimant,human_checked,E4,S062;S128,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R005,R8C01,A009,Earthjustice,accountability_comparison,registered_actor,counsel,counsel,claimant,human_checked,E4,S062,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R006,R8C01,A002,ジュゴン保護キャンペーンセンター（SDCC）,accountability_comparison,registered_actor,non_party,non_party,support_context,human_checked,E4,S062;S128,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R007,R8C01,A019,ヘリ基地反対協議会,accountability_comparison,registered_actor,non_party,non_party,support_context,human_checked,E3,S093;S128,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R008,R8C02,A004,日本自然保護協会（NACSJ）,accountability_comparison,registered_actor,commenter,commenter,commenting_organization,human_checked,E4,S131;S132,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R009,R8C02,,Okinawa Defense Bureau,blank_or_collective_endpoint,public_institution,procedure_proponent,proponent,respondent_or_proponent,human_checked,E4,S130,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R010,R8C02,,Governor of Okinawa,blank_or_collective_endpoint,public_institution,comment_recipient_and_review_authority,institutional_recipient,institutional_recipient,human_checked,E4,S130;S131,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R011,R8C03,,Kadena-area resident plaintiffs,blank_or_collective_endpoint,procedural_collective,plaintiff,plaintiff,claimant,human_checked,E4,S133,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R012,R8C03,A052,嘉手納爆音訴訟原告団,accountability_comparison,registered_actor,plaintiff_group,plaintiff,claimant,human_checked,E3,S134,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R013,R8C03,,Third Kadena litigation counsel group,blank_or_collective_endpoint,procedural_collective,counsel,counsel,claimant,human_checked,E3,S134,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R014,R8C03,,Government of Japan,blank_or_collective_endpoint,public_institution,defendant,defendant,respondent,human_checked,E4,S133,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
