topic_id,parent_hypothesis,working_title,role_in_phase1,novelty_potential,current_evidence,largest_risk,first_pilot,go_condition,hold_condition,frontend_tier
T01,H3,战争记忆是否正在成为反前线化的共同语言,primary_paper_candidate,medium_high_if_structured_comparison_survives_prior_art,carrier_contact_seeds_direction_and_adoption_unconfirmed,source_time_bias_new_actor_composition_and_direct_prior_art,comparable_text_plus_carrier_adoption_negative_case_pilot,"direct prior art is reviewed and two or more cross-issue events show independently adopted language beyond new anti-war actors","only contact/endorsement is visible or novelty collapses into retelling known projects",research_only
T02,H2,共享基地空间中的两套功能生态为何少有公开接口,secondary_paper_candidate,high,medium_for_functional_separation_low_for_person_interface,person_and_recipient_data_absent,bounded_actor_relation_source_crosswalk,"at least one interpretable interface or a defensible bounded zero after person/recipient checks","zero only reflects Japanese/English source silos",research_only
T03,H1,少数高承载名单对actor–issue可见层的来源依赖,mandatory_methods_layer,high_methodological,medium_single_source_concentration_signal,producer_host_capacity_fields_missing_and_S004_dominance,all_source_leave_one_out_plus_source_family_matching,"source-role review and matched document-family tests yield actionable correction rules","effect remains one 2015 list or documentation mechanism cannot be separated from source design",research_only
T04,H3,先岛三地把同一部署地方化为水／决定权／前线化,comparative_subdesign,medium,medium_but_institution_heavy,local_civic_texts_too_thin,attach_local_actor_texts_to_H3_cases,"same-genre local texts establish three distinct civic frames","difference remains an artifact of government-source availability",research_only
T05,H3,少数重复骨架与事件外围是否被反前线化重新连接,mobilization_test,medium_high,low_medium_event_seeds,incomplete_event_participant_lists,event_hypergraph_without_alliance_projection,"three issue families recur across at least two events","only one-off endorsement or identity uncertainty dominates",research_only
T06,H2,行政日常协作生态与基地倡议生态的接口,comparison_layer,medium,medium_descriptive,official_616_rows_are_not_actors_or_relations,registry_crosswalk_plus_function_boundary,"bounded interfaces can be identified without turning labels into actors","only broad sector contrast remains",research_only
T07,H1,组织改名／前身／临时委员会与可见寿命,lifecycle_extension,medium_high,low_six_seed_cases,lifecycle_and_right_censoring_data_absent,NR04_NR05_anchor_candidates,"enough matched cases across era/type/place","online evidence cannot distinguish dissolution from silence",research_only
T08,H3,公投不是传达而是制度化处理民意,outcome_mechanism,medium,strong_four_case_process,already_close_to_existing_phase1_finding,use_as_outcome_variable_for_H3,"new common language changes coalition or gate traversal","no added mechanism beyond existing R9 result",research_only
T09,baseline,制度可记录／认定／补偿但底层工程不变,outcome_baseline,low_as_new_topic,strong_selected_entry_cases,selection_on_venue_entry,negative_non_entry_case_extension,"useful as outcome control for a stronger paper","treated as a standalone discovery or success rate",research_only
T10,baseline,地方损害被翻译成制度可受理主张,core_phase1_question,low_as_new_topic,strong_existing,restates_project_question,use_only_as_shared_analytic_scaffold,"supports H2/H3 mechanism comparison","presented again as the main new finding",reviewed_baseline
