anchor_id,anchor_type,event_subtype,actor_ids,actor_names,place,domain_tags,source_candidate_ids,source_publication_date,source_publication_date_precision,event_date_start,event_date_end,event_date_precision,actor_active_period,claim_period,source_relationship,source_role_detail,claim_text_candidate,evidence_level_proposed,relation_semantics_candidate,relation_boundary,competing_explanation,continuity_boundary,online_exhaustion_status,local_or_new_primary_need,package_scope,claim_status,review_status,frontend_eligibility,central_writeback
H98_001,contextual_baseline,course_fieldwork_interpretation,,沖縄のNGO/NPO（調査対象集合）,Okinawa,history;documentation;organizational_capacity;anti_base;women;environment,NR05S001,1998,year,1996,1998,fieldwork_year_to_publication_year,not_applicable_population_commentary,mid-1990s Okinawa as interpreted in a 1998 course-fieldwork article,secondary,contemporaneous course-fieldwork commentary edited by the instructor,"A 1998 Ryukyu University course-fieldwork article described weak financial/personnel bases, episodic activity and a missing intermediary-NGO layer, while interpreting many civic activities as converging on anti-base movements.",E2,contextual_baseline_not_actor_edge,"This is not a census; no organization, alliance, prevalence or population edge is created.",A 2001 survey of general environmental volunteer groups already found heterogeneous non-base activity and administrative collaboration; the 1998 article is not a census.,Does not establish conditions after 1998 or a single lineage from anti-base to all NGOs.,online_context_located_needs_literature_comparison,"Original course instruments, interview roster and comparable 1990s surveys.",research_only,candidate,ai_seeded,not_frontend_ready,no
H98_002,institutional_context_series,prefecture_wide_npo_certification_counts,,沖縄県内認証NPO法人（全分野）,Okinawa Prefecture,NPO_law;legal_status;documentation;institutionalization,NR05S002;NR05S003;NR05S004,2005-12-31;2012-10-31,day;day,1999,2012-10-31,annual_series_with_exact_2012_endpoint,not_applicable_aggregate_official_universe,1999-2012-10-31,secondary,RIETI compilation from Cabinet Office plus contemporaneous Okinawa official newsletter,"The prefecture-wide cumulative certified-NPO-corporation count rose from 6 (1999) to 20, 37, 84, 127 and 163 (2000-2004), reaching 550 corporations on 2012-10-31.",E4 for 2012 official endpoint; E3 for compiled 1999-2004 series,aggregate_context_not_actor_edge,"Counts cover all certified NPO corporations, not this project's base-accountability actors.","Rapid legal-NPO growth may reflect a broader welfare/service/administrative ecology, while base-accountability carriers remain informal, union-based or case-specific.","Certification count is not organizational activity, survival, issue orientation or causal professionalization.",online_series_partially_closed,Annual Okinawa certification/dissolution microdata for every year 1998-2012.,research_only,candidate,ai_seeded,not_frontend_ready,no
H98_003,organization_transition,intermediary_ngo_formation_to_npo_incorporation,X010,沖縄NGOセンター（旧・沖縄NGO活動推進協議会）,Okinawa; Ginowan,international_cooperation;intermediary_support;NPO_law;multicultural,NR05S005;NR05S006;NR05S007;NR05S031,;2022;2006;,undated;year;year;current_database,1999-06,2009-05-14,month_start_to_day_end_with_disputed_2008_intermediate_claim,1999-06 onward claimed by current organization sources,1999 formation; 2008 retrospective transition claim; official certification 2009-05-14,retrospective,current organization profile plus later institutional interview and JICA program report,ONC reports a June 1999 start; a 2022 institutional interview says it began as 沖縄NGO活動推進協議会 and obtained NPO法人 status/current name in 2008; the official NPO portal instead records the legal certification date as 2009-05-14.,E4 for official certification date; E3 for retrospective lineage/2008 claim,predecessor_name_and_legal_transition_candidate,Do not encode simple rename/same-actor continuity until charter and certification records are checked.,"The 2008 account may refer to an internal resolution, application or name-transition stage, while 2009-05-14 is the official legal-certification date. This is also a non-base international-cooperation/intermediary trajectory.",No claim that the 1998 course article caused ONC's formation or that staff/membership stayed constant.,online_retrospective_sources_located,1999 founding charter/minutes; 2008 internal transition/application record; 2009 certification file.,research_only,candidate,ai_seeded,not_frontend_ready,no
H98_004,litigation_round,futenma_first_noise_litigation,A053,普天間基地爆音訴訟団,Futenma; Ginowan,noise;life_safety;legal;anti_base,NR05S008;NR05S009,;2022-03-10,undated;day,2002,2003,year_range,round-specific participation; organizational continuity not re-adjudicated here,first Futenma noise-litigation filing period 2002-2003,retrospective,current plaintiff-group chronology cross-checked against later court judgment,"The current plaintiff-group page compresses the first round to 2002, while the 2022 court judgment records filings by residents in 2002 and 2003.",E4 for case chronology; E3 for organization-round crosswalk in this package,round_of_candidate,A litigation round is not a new actor and does not imply identical plaintiffs across dates.,Website chronology may use launch year while court chronology records multiple filings.,Central HR-012 remains authoritative; NR-05 does not reapprove cross-round continuity.,online_case_chronology_located,Original complaints and first-round plaintiff-group charter/roster.,research_only,candidate,ai_seeded,not_frontend_ready,no
H98_005,legal_case_entry,okinawa_dugong_us_federal_filing,A009;A020;A045;A076;A086,Okinawa Dugong v. Rumsfeld named organizational parties/counsel,Henoko; Oura Bay; U.S. federal court,dugong;environment;legal;international;Henoko,NR05S010;NR05S011,2003-09-25;2003-09-25,day;day,2003-09-25,2003-09-25,day,case-specific roles only,filing date,contemporaneous_primary,same-day counsel release and filed complaint,Named plaintiffs and counsel entered a U.S. federal NHPA venue on 2003-09-25.,E4,case_role_not_alliance,Joint case presence is case-specific; A002 and A019 remain organizational non-parties.,International visibility may reflect legal-document survival and English-language publication capacity.,"No stable alliance, causal pathway or role transfer to affiliated individuals/organizations.",online_primary_case_entry_closed,None for filing occurrence; local materials needed for movement-side deliberation before filing.,research_only,candidate,ai_seeded,not_frontend_ready,no
H98_006,institutional_nonentry,pollution_mediation_jurisdictional_exclusion,,913名申請人（個人集合；組織化禁止）,Henoko/Oura Bay; Okinawa Prefecture Pollution Review Board,environment;legal;administrative_procedure;nonentry;Henoko,NR05S012,,undated,2004-02-03,2004-03-30,day_range,not_applicable_anonymous_applicant_collective,administrative mediation intake and dismissal,retrospective,current official terminated-case record,"An official record lists 913 applicants, acceptance on 2004-02-03, three mediation sessions, and dismissal on 2004-03-30 because the defense-facility dispute was outside the statutory venue.",E4,procedural_nonentry_not_actor_edge,The 913 applicants are not converted into an organization or registry actor.,Nonentry may arise from venue design rather than claim weakness or movement failure.,No link to a named organization without an application/case file.,online_official_outcome_located,"Application, applicant representation documents and mediation minutes.",research_only,candidate,ai_seeded,not_frontend_ready,no
H98_007,onsite_action,henoko_sit_in_and_maritime_obstruction_start,A019,ヘリ基地反対協議会,Henoko fishing port,Henoko;anti_base;direct_action;maritime_action,NR05S013;NR05S014,;2007-03-10,undated;day,2004-04-19,2004-04-19,day,event role on 2004-04-19; later duration not inferred here,start of documented sit-in/obstruction episode,secondary,current organization chronology plus near-period participant-observation reconstruction,A sit-in/obstruction episode at Henoko began on 2004-04-19.,E3,event_role_not_membership,Participants at the site are not automatically A019 members or partner organizations.,The event may have involved several carriers; present organizational pages can simplify attribution.,Do not backfill the entire 2004-present site history into one unchanged organization.,online_date_corroborated,"Contemporaneous tent log, flyers, roster and local newspaper coverage.",research_only,candidate,ai_seeded,not_frontend_ready,no
H98_008,procedural_entry,eia_method_statement_comment,A004,日本自然保護協会（NACS-J）,Henoko/Oura Bay; Japanese EIA procedure,environment;EIA;Henoko;legal_procedure,NR05S015,2004-06-10,day,2004-06-10,2004-06-10,day,commenter role on dated submission,method-statement comment stage,contemporaneous_primary,dated organization statement/formal opinion,NACS-J submitted a dated opinion on the EIA method statement on 2004-06-10.,E4,procedural_commenter,"Formal comment does not imply alliance, project suspension or acceptance of the opinion.",The durable trace comes from a formal procedure and an organization-hosted archive.,No generalized EIA role beyond the named submission.,online_primary_submission_closed,Agency receipt register and contemporaneous local-group submissions for comparison.,research_only,candidate,ai_seeded,not_frontend_ready,no
H98_009,legal_case_entry,awase_first_wave_public_funds_litigation,,個人住民原告；A055は後続報道でsupport/movement roleのみ,Awase; Naha District Court,Awase;environment;public_funds;legal,NR05S016;NR05S017,;2005-07-21,unknown;day,2005-05-20,2005-05-20,day,movement/support role around first-wave filing,first-wave filing,retrospective,later court judgment cross-checked with near-period hearing report,Individual resident plaintiffs filed the first-wave Awase public-funds litigation on 2005-05-20. A055 appears only through its co-representatives' later public movement/support role and is not the organizational plaintiff.,E4 for filing; E3 for A055 supporter role,supporter_not_organizational_plaintiff,A055 is not encoded as the named organizational plaintiff.,Movement spokespeople appearing at hearings can be mistaken for a corporate plaintiff.,First- and second-wave results and plaintiff sets remain separate.,online_filing_date_closed_role_bounded,Original complaints and movement minutes identifying supporter/counsel/plaintiff boundaries.,research_only,candidate,ai_seeded,not_frontend_ready,no
H98_010,request_action,women_human_rights_prefectural_request,A115,新日本婦人の会沖縄県本部,Okinawa Prefectural Government,women;human_rights;sexual_violence;anti_base;request,NR05S018,2008,year_document,2008-02-14,2008-02-14,day,branch-level dated action only,2008-02-14 request,contemporaneous_primary,prefectural administrative diary,The Okinawa prefectural branch made a request concerning a U.S.-Marine sexual-assault case on 2008-02-14.,E4 for occurrence; content beyond diary entry unverified,requester_to_public_authority,"The diary confirms a request, not its full text, government response, outcome or alliance.",Branch action must not be transferred to the national parent organization.,No claim about uninterrupted branch activity before or after this date.,online_occurrence_closed_content_open,"Request text, branch newsletter and prefectural response file.",research_only,candidate,ai_seeded,not_frontend_ready,no
H98_011,joint_statement_event,wwf_67_group_henoko_statement,A005,WWF Japan and 67 listed domestic organizations,Henoko/Oura Bay; national ministries,dugong;environment;Henoko;co_signing;request,NR05S019,2010-05-14,day,2010-05-14,2010-05-14,day,event-level participation only,dated statement/submission,contemporaneous_primary,same-day organization statement and participant list,A 67-organization domestic statement was issued/submitted on 2010-05-14.,E4 for listed event participation,event_hyperedge_co_signing,"Co-signing is not a stable alliance, membership, coordination edge or shared organization.",A durable WWF-hosted list can inflate apparent bridge centrality relative to undocumented local events.,No persistence before or after the statement.,online_primary_event_list_closed,Organizer correspondence only if coordination mechanism is studied.,research_only,candidate,ai_seeded,not_frontend_ready,no
H98_012,litigation_round,kadena_third_noise_litigation,A052,嘉手納基地爆音差止訴訟原告団,Kadena; Naha District Court Okinawa Branch,noise;life_safety;legal;anti_base,NR05S020,,undated,2011-04-28,2011-04-28,day,third-round role; participant identity varies,third-round filing,retrospective,current official plaintiff-group history,The third Kadena noise-litigation round was filed on 2011-04-28.,E4 for chronology; E3 for this package's round relation,round_of_candidate,Round label is not a separate actor and does not imply identical plaintiffs.,Current group history may emphasize institutional continuity over participant turnover.,Central HR-012 remains authoritative; no lifecycle rewrite from NR-05.,online_official_chronology_closed,"Third-round complaint, plaintiff-group bylaws and roster change documentation.",research_only,candidate,ai_seeded,not_frontend_ready,no
