review_item_id,review_section,actor_id,canonical_name_original,name_en,actor_class,origin_type,candidate_url,candidate_url_kind,source_id,source_title,source_url,evidence_ref,archive_status,last_checked,evidence_level,provenance_method,conflict_type,conflict_explanation,alternative_urls_or_refs,recommended_judgment,evidence_entry,review_fields,out_of_scope,allowed_decisions,decision,revised_url,revised_url_kind,review_note,reviewer,review_date
USN07-DIR-B001,BATCH_CONFIRM_40,A001,Okinawa Environmental Justice Project,Okinawa Environmental Justice Project,international_advocacy_actor,mixed_or_network,https://okinawaejp.blogspot.com/,official_site,S006,OEJP 71 organizations MMC request,https://okinawaejp.blogspot.com/2020/07/,S006,archived,2026-07-11,E4,normalized_from_actor_source_domain,,,,如页面打开后组织名称、页面归属和类型均与本行一致，可在负责人确认后批量填 accept；有异议的行单独 revise、defer 或 reject。,S006 | OEJP 71 organizations MMC request | https://okinawaejp.blogspot.com/2020/07/ | archive=archived,official_url|url_kind|page_ownership|accessibility|source_traceability,actor_position|actor_relations|funding|continuity|activity_level|influence|other_registry_fields,accept|revise|defer|reject,,,,,,
USN07-DIR-B002,BATCH_CONFIRM_40,A004,日本自然保護協会,Nature Conservation Society of Japan (NACS-J),domestic_japan_ngo,japan_domestic,https://www.nacsj.or.jp/,official_site,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,S004,archived,2026-07-11,E4,normalized_from_actor_owned_statement_domain,,,,如页面打开后组织名称、页面归属和类型均与本行一致，可在负责人确认后批量填 accept；有异议的行单独 revise、defer 或 reject。,S004 | 辺野古の海を守れ NGO 31団体が緊急共同声明 | https://www.nacsj.or.jp/statement/50827/ | archive=archived,official_url|url_kind|page_ownership|accessibility|source_traceability,actor_position|actor_relations|funding|continuity|activity_level|influence|other_registry_fields,accept|revise|defer|reject,,,,,,
USN07-DIR-B003,BATCH_CONFIRM_40,A005,WWFジャパン,WWF Japan,domestic_japan_ngo,japan_domestic,https://www.wwf.or.jp/,official_site,S003,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,https://www.wwf.or.jp/activities/statement/3436.html,S003,archived,2026-07-11,E4,normalized_from_actor_owned_statement_domain,,,,如页面打开后组织名称、页面归属和类型均与本行一致，可在负责人确认后批量填 accept；有异议的行单独 revise、defer 或 reject。,S003 | 67団体がジュゴンの生息地辺野古への基地建設反対に共同声明 | https://www.wwf.or.jp/activities/statement/3436.html | archive=archived,official_url|url_kind|page_ownership|accessibility|source_traceability,actor_position|actor_relations|funding|continuity|activity_level|influence|other_registry_fields,accept|revise|defer|reject,,,,,,
USN07-DIR-B004,BATCH_CONFIRM_40,A007,ピースボート,Peace Boat,domestic_japan_ngo,japan_domestic,https://peaceboat.org/,official_site,S005,Peace Boat statement on Henoko emergency NGO declaration,https://peaceboat.org/3620.html,S005,archived,2026-07-11,E4,normalized_from_actor_owned_statement_domain,,,,如页面打开后组织名称、页面归属和类型均与本行一致，可在负责人确认后批量填 accept；有异议的行单独 revise、defer 或 reject。,S005 | Peace Boat statement on Henoko emergency NGO declaration | https://peaceboat.org/3620.html | archive=archived,official_url|url_kind|page_ownership|accessibility|source_traceability,actor_position|actor_relations|funding|continuity|activity_level|influence|other_registry_fields,accept|revise|defer|reject,,,,,,
USN07-DIR-B005,BATCH_CONFIRM_40,A008,NGO非戦ネット,NGO Nonwar Network,citizen_network,japan_domestic,http://ngo-nowar.org/,official_site,S065,NGO非戦ネット 公式サイト,http://ngo-nowar.org/,S065,archived,2026-07-11,E4,actor_source_ref,,,,如页面打开后组织名称、页面归属和类型均与本行一致，可在负责人确认后批量填 accept；有异议的行单独 revise、defer 或 reject。,S065 | NGO非戦ネット 公式サイト | http://ngo-nowar.org/ | archive=archived,official_url|url_kind|page_ownership|accessibility|source_traceability,actor_position|actor_relations|funding|continuity|activity_level|influence|other_registry_fields,accept|revise|defer|reject,,,,,,
USN07-DIR-B006,BATCH_CONFIRM_40,A009,Earthjustice,Earthjustice,international_advocacy_actor,us_origin,https://earthjustice.org/,official_site,S009,Earthjustice dugong litigation explainer,https://earthjustice.org/article/fighting-to-protect-the-dugongs-of-japan-s-henoko-bay,S009,archived,2026-07-11,E4,normalized_from_actor_source_domain,,,,如页面打开后组织名称、页面归属和类型均与本行一致，可在负责人确认后批量填 accept；有异议的行单独 revise、defer 或 reject。,S009 | Earthjustice dugong litigation explainer | https://earthjustice.org/article/fighting-to-protect-the-dugongs-of-japan-s-henoko-bay | archive=archived,official_url|url_kind|page_ownership|accessibility|source_traceability,actor_position|actor_relations|funding|continuity|activity_level|influence|other_registry_fields,accept|revise|defer|reject,,,,,,
USN07-DIR-B007,BATCH_CONFIRM_40,A016,与那国島の明るい未来を願うイソバの会,Isoba Association for a Bright Future for Yonaguni Island,citizen_group,okinawa_local,https://isobanokai.ti-da.net/,official_site,S052,与那国イソバの会 ブログ,https://isobanokai.ti-da.net/,S052,archived,2026-07-11,E3,actor_source_ref,,,,如页面打开后组织名称、页面归属和类型均与本行一致，可在负责人确认后批量填 accept；有异议的行单独 revise、defer 或 reject。,S052 | 与那国イソバの会 ブログ | https://isobanokai.ti-da.net/ | archive=archived,official_url|url_kind|page_ownership|accessibility|source_traceability,actor_position|actor_relations|funding|continuity|activity_level|influence|other_registry_fields,accept|revise|defer|reject,,,,,,
USN07-DIR-B008,BATCH_CONFIRM_40,A017,沖縄対話プロジェクト,Okinawa Dialogue Project,citizen_network,okinawa_local,https://okinawataiwa.net/,official_site,S022,沖縄対話プロジェクト 公式ページ,https://okinawataiwa.net/,S022,archived,2026-07-11,E4,actor_source_ref,,,,如页面打开后组织名称、页面归属和类型均与本行一致，可在负责人确认后批量填 accept；有异议的行单独 revise、defer 或 reject。,S022 | 沖縄対話プロジェクト 公式ページ | https://okinawataiwa.net/ | archive=archived,official_url|url_kind|page_ownership|accessibility|source_traceability,actor_position|actor_relations|funding|continuity|activity_level|influence|other_registry_fields,accept|revise|defer|reject,,,,,,
USN07-DIR-B009,BATCH_CONFIRM_40,A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,Council Opposing the Heliport Base,citizen_network,okinawa_local,https://lovehenoko.org/,official_site,S049,ヘリ基地反対協議会 公式サイト,https://lovehenoko.org/,S049,archived,2026-07-11,E4,actor_source_ref,,,,如页面打开后组织名称、页面归属和类型均与本行一致，可在负责人确认后批量填 accept；有异议的行单独 revise、defer 或 reject。,S049 | ヘリ基地反対協議会 公式サイト | https://lovehenoko.org/ | archive=archived,official_url|url_kind|page_ownership|accessibility|source_traceability,actor_position|actor_relations|funding|continuity|activity_level|influence|other_registry_fields,accept|revise|defer|reject,,,,,,
USN07-DIR-B010,BATCH_CONFIRM_40,A020,日本環境法律家連盟（JELF）,Japan Environmental Lawyers Federation (JELF),lawyers_network,japan_domestic,https://www.jelf-justice.org/,official_site,S061,Current official or formally administered page candidate,https://www.jelf-justice.org/,S061,archived,2026-07-11,E4,normalized_from_actor_owned_source_elsewhere_in_log,,,,如页面打开后组织名称、页面归属和类型均与本行一致，可在负责人确认后批量填 accept；有异议的行单独 revise、defer 或 reject。,S061 | Current official or formally administered page candidate | https://www.jelf-justice.org/ | archive=archived,official_url|url_kind|page_ownership|accessibility|source_traceability,actor_position|actor_relations|funding|continuity|activity_level|influence|other_registry_fields,accept|revise|defer|reject,,,,,,
