universe_id,universe_name,universe_records,included_records,coverage_percent,verification_method,completeness_classification,allowed_claim,prohibited_claim,notes
U01,Current R10 relation table,35,35,100.0,CSV primary-key validation,within_package_accounting_complete,The current package has exactly 35 unique relation observations.,The 35 rows are a complete inventory of Okinawa administrative or service relations.,Internal row accounting only; the external source universe is not 35.
U02,Current R10 amount table,26,26,100.0,CSV primary-key and foreign-key validation,within_package_accounting_complete,The current package has exactly 26 amount observations attached to 19 relations.,"The 26 rows exhaust all amounts in S002, S099, AWWA, USO, or Okinawa public records.",Amounts are selected observations and are not additive by default.
U03,Current R10 function table,43,43,100.0,CSV primary-key and foreign-key validation,within_package_accounting_complete,The current package has exactly 43 function observations attached to 33 relations.,The 43 rows exhaust the functions of all included organizations or source documents.,Functions are explanatory coding of selected relations; eight rows are USO sites.
U04,S002 FY2024 Okinawa Prefecture NPO collaboration survey: all rows,616,10,1.6,pdfplumber table extraction; sequential row validation,purposive_sample_not_complete,R10 selected 10 named rows from the 616-row official survey.,R10 is a full extraction of the FY2024 official collaboration survey.,S002 PDF has 86 pages and rows 1-616 with no missing or duplicate row numbers.
U05,Current R10 purposive selection within S002 fields 10 (human rights/peace) + 11 (international cooperation/exchange),19,10,52.6,mechanical filter over extracted S002 fields,purposive_sample_not_complete,R10 selected 10 of the 19 S002 rows in the two Phase-1-adjacent official fields.,R10 exhausts the official peace/human-rights and international-cooperation fields.,"The omitted rows remain source records, not approved relation candidates."
U06,Current R10 purposive selection within S002 field 10: human rights/peace,8,3,37.5,mechanical filter over extracted S002 fields,purposive_sample_not_complete,"R10 selected rows 1, 10, and 11 from this eight-row field.",The three selected rows represent all FY2024 peace/human-rights collaborations.,"Omitted source rows are 9, 204, 246, 496, and 529."
U07,Current R10 purposive selection within S002 field 11: international cooperation/exchange,11,7,63.6,mechanical filter over extracted S002 fields,purposive_sample_not_complete,R10 selected rows 431-437 from this eleven-row field.,Rows 431-437 are the full FY2024 international cooperation/exchange field.,"Omitted source rows are 438, 501, 548, and 571."
U08,Current R10 purposive selection within the S002 Exchange Promotion Division block,8,7,87.5,mechanical office-name filter over extracted S002 fields,near_complete_but_missing_one_row,R10 selected seven of the division's eight contiguous source rows.,R10 fully extracts the Exchange Promotion Division block.,Row 438 is the exact online-available omission.
U09,S099 FY2024 activity-report rows explicitly marked as public external commissions,3,3,100.0,page-level visual inspection of image-only PDF pp.2-3 and accounting cross-check on p.8,bounded_complete_visual_not_machine_enumerated,"All three explicitly public-commissioned program rows are represented: MOFA consultant, Okinawa City KIP, and Okinawa Prefecture multicultural support.",The three R10 amounts exhaust S099's annual activities or total project costs.,"This is a source-row completeness check, not HR-018 approval of the relations or payment semantics."
U10,S099 non-zero program-cost rows in the activity table,6,3,50.0,page-level visual inspection of image-only PDF pp.2-3,purpose_selected_not_complete,R10 represents three of six non-zero program-cost rows because it follows public-administration relations.,R10 extracts all non-zero activity costs from S099.,"Unselected non-zero rows are outreach, development education, and Peace & Democracy 2024."
U11,Central funding/support/relation sample table,43,24,55.8,mechanical F-ID crosswalk,purpose_selected_not_complete,"R10 crosswalks 24 of the 43 central sample rows, consolidating some into one relation.",The R10 lower layer fully represents the central funding/support table.,F001/F009/F010 are R10-adjacent omissions; F019 is unsupported; remaining omissions belong mainly to other modules.
U12,R10 relations with one or more amount observations,35,19,54.3,mechanical foreign-key aggregation,partial_by_design,Nineteen of 35 selected relations carry one or more amount observations.,Relations without amounts have zero value or no financial relevance.,"Absence of an amount means unobserved/not modeled, not zero."
U13,R10 relations with one or more function observations,35,33,94.3,mechanical foreign-key aggregation,partial_by_design,Thirty-three of 35 selected relations carry one or more function observations.,The 43 function rows are a complete function census.,R10R002/R10R003 reuse the KIP function coding attached to R10R004 rather than duplicate it by year.
