log_id,selection_frame_id,unit_id,unit_type,decision,inclusion_reason,exclusion_reason,matching_variables,decision_date,change_trigger,package_scope,frontend_status,central_writeback,review_status,notes
W2C-IE001,USF-W2C-COMPARISON13-2026-08-22,TE01,selected_comparison_episode,include_selected_comparison_input,selected_comparison_input,,route;place;period;venue,2026-08-22,one_analysis_unit,research_only,not_frontend_ready,no,ai_seeded,"Selected for parallel-axis comparison, not as a positive-entry denominator; entry status varies by row and no entry rate may be estimated."
W2C-IE002,USF-W2C-COMPARISON13-2026-08-22,TE02,selected_comparison_episode,include_selected_comparison_input,selected_comparison_input,,route;place;period;venue,2026-08-22,one_analysis_unit,research_only,not_frontend_ready,no,ai_seeded,"Selected for parallel-axis comparison, not as a positive-entry denominator; entry status varies by row and no entry rate may be estimated."
W2C-IE003,USF-W2C-COMPARISON13-2026-08-22,TE03,selected_comparison_episode,include_selected_comparison_input,selected_comparison_input,,route;place;period;venue,2026-08-22,one_analysis_unit,research_only,not_frontend_ready,no,ai_seeded,"Selected for parallel-axis comparison, not as a positive-entry denominator; entry status varies by row and no entry rate may be estimated."
W2C-IE004,USF-W2C-COMPARISON13-2026-08-22,TE04,selected_comparison_episode,include_selected_comparison_input,selected_comparison_input,,route;place;period;venue,2026-08-22,one_analysis_unit,research_only,not_frontend_ready,no,ai_seeded,"Selected for parallel-axis comparison, not as a positive-entry denominator; entry status varies by row and no entry rate may be estimated."
W2C-IE005,USF-W2C-COMPARISON13-2026-08-22,TE05,selected_comparison_episode,include_selected_comparison_input,selected_comparison_input,,route;place;period;venue,2026-08-22,one_analysis_unit,research_only,not_frontend_ready,no,ai_seeded,"Selected for parallel-axis comparison, not as a positive-entry denominator; entry status varies by row and no entry rate may be estimated."
W2C-IE006,USF-W2C-COMPARISON13-2026-08-22,TE06,selected_comparison_episode,include_selected_comparison_input,selected_comparison_input,,route;place;period;venue,2026-08-22,split_into_first_and_second_litigation_waves,research_only,not_frontend_ready,no,ai_seeded,"Selected for parallel-axis comparison, not as a positive-entry denominator; entry status varies by row and no entry rate may be estimated."
W2C-IE007,USF-W2C-COMPARISON13-2026-08-22,TE07,selected_comparison_episode,include_selected_comparison_input,selected_comparison_input,,route;place;period;venue,2026-08-22,one_analysis_unit,research_only,not_frontend_ready,no,ai_seeded,"Selected for parallel-axis comparison, not as a positive-entry denominator; entry status varies by row and no entry rate may be estimated."
W2C-IE008,USF-W2C-COMPARISON13-2026-08-22,TE08,selected_comparison_episode,include_selected_comparison_input,selected_comparison_input,,route;place;period;venue,2026-08-22,one_analysis_unit,research_only,not_frontend_ready,no,ai_seeded,"Selected for parallel-axis comparison, not as a positive-entry denominator; entry status varies by row and no entry rate may be estimated."
W2C-IE009,USF-W2C-COMPARISON13-2026-08-22,TE09,selected_comparison_episode,include_selected_comparison_input,selected_comparison_input,,route;place;period;venue,2026-08-22,one_analysis_unit,research_only,not_frontend_ready,no,ai_seeded,"Selected for parallel-axis comparison, not as a positive-entry denominator; entry status varies by row and no entry rate may be estimated."
W2C-IE010,USF-W2C-COMPARISON13-2026-08-22,TE10,selected_comparison_episode,include_selected_comparison_input,selected_comparison_input_pending_event_review,,route;place;period;venue,2026-08-22,one_analysis_unit,research_only,not_frontend_ready,no,ai_seeded,"Selected for parallel-axis comparison, not as a positive-entry denominator; entry status varies by row and no entry rate may be estimated."
W2C-IE011,USF-W2C-COMPARISON13-2026-08-22,TE11,selected_comparison_episode,include_selected_comparison_input,selected_comparison_input_pending_event_review,,route;place;period;venue,2026-08-22,one_analysis_unit,research_only,not_frontend_ready,no,ai_seeded,"Selected for parallel-axis comparison, not as a positive-entry denominator; entry status varies by row and no entry rate may be estimated."
W2C-IE012,USF-W2C-COMPARISON13-2026-08-22,TE12,selected_comparison_episode,include_selected_comparison_input,selected_comparison_input_pending_event_review,,route;place;period;venue,2026-08-22,one_analysis_unit,research_only,not_frontend_ready,no,ai_seeded,"Selected for parallel-axis comparison, not as a positive-entry denominator; entry status varies by row and no entry rate may be estimated."
W2C-IE013,USF-W2C-COMPARISON13-2026-08-22,TE13,selected_comparison_episode,include_selected_comparison_input,selected_comparison_input_pending_event_review,,route;place;period;venue,2026-08-22,one_analysis_unit,research_only,not_frontend_ready,no,ai_seeded,"Selected for parallel-axis comparison, not as a positive-entry denominator; entry status varies by row and no entry rate may be estimated."
W2C-IE014,USF-W2C-GATECONTROL-2026-08-22,W2C-GC001,gate_control_case,include_gate_or_control_only,route_matched_gate_control,not_admitted_to_matched_nonentry_arm,route_family;place;period;action_type;intended_venue,2026-08-22,prior negative candidates reclassified as gate/control observations,research_only,not_frontend_ready,no,ai_seeded,"True matched non-entry arm not established. Do not describe it as never entering the council, treat it as a matched non-entry observation, or use it as proof that all Miyako referendum demands were blocked."
W2C-IE015,USF-W2C-GATECONTROL-2026-08-22,W2C-GC002,gate_control_case,include_gate_or_control_only,unresolved_gate_control,not_admitted_to_matched_nonentry_arm,route_family;place;period;action_type;intended_venue,2026-08-22,prior negative candidates reclassified as gate/control observations,research_only,not_frontend_ready,no,ai_seeded,"True matched non-entry arm not established. Do not freeze the dismissal reason, treat this unresolved row as a matched non-entry observation, or infer any PFAS source/health finding until the application and decision originals are obtained."
W2C-IE016,USF-W2C-GATECONTROL-2026-08-22,W2C-GC003,gate_control_case,include_gate_or_control_only,entered_relief_merits_control,not_admitted_to_matched_nonentry_arm,route_family;place;period;action_type;intended_venue,2026-08-22,prior negative candidates reclassified as gate/control observations,research_only,not_frontend_ready,no,ai_seeded,True matched non-entry arm not established. Do not count this as no institutional entry or place it in a matched non-entry arm.
W2C-IE017,USF-W2C-GATECONTROL-2026-08-22,W2C-GC004,gate_control_case,include_gate_or_control_only,unresolved_gate_control,not_admitted_to_matched_nonentry_arm,route_family;place;period;action_type;intended_venue,2026-08-22,prior negative candidates reclassified as gate/control observations,research_only,not_frontend_ready,no,ai_seeded,"True matched non-entry arm not established. Do not call this total administrative silence, treat it as a matched non-entry observation, or transfer the 15 signers to A016."
W2C-IE018,USF-W2C-GATECONTROL-2026-08-22,W2C-GC005,gate_control_case,include_gate_or_control_only,bounded_response_trace_control,not_admitted_to_matched_nonentry_arm,route_family;place;period;action_type;intended_venue,2026-08-22,prior negative candidates reclassified as gate/control observations,research_only,not_frontend_ready,no,ai_seeded,"True matched non-entry arm not established. Do not claim that no response ever existed, place the row in a matched non-entry arm, or infer that the petition changed/failed to change construction."
W2C-IE019,USF-W2C-GATECONTROL-2026-08-22,W2C-GC006,gate_control_case,include_gate_or_control_only,route_matched_judicial_gate_control,not_admitted_to_matched_nonentry_arm,route_family;place;period;action_type;intended_venue,2026-08-22,prior negative candidates reclassified as gate/control observations,research_only,not_frontend_ready,no,ai_seeded,"True matched non-entry arm not established. Do not treat this entered judicial case as a matched non-entry observation, rejection of all EIA comment participation, or proof the EIA itself had no environmental effects."
W2C-IE020,USF-W2C-PROJECTCHANGE-ATTRIBUTION-2026-08-22,W2C-PC001,project_change_attribution_comparator,candidate_bounded_judgment_outcome_pending_principal,official before/after or decision record available,,project;place;period;axis;decision authority,2026-08-22,project-change attribution comparison,research_only,not_frontend_ready,no,ai_seeded,"PROJECT_BUDGET/PROJECT_AUTHORITY yes_bounded describe only the judgment-level outcome; do not infer permanent cancellation, a durable authority change, an actual budget/outturn change, or causation of the later area reduction."
W2C-IE021,USF-W2C-PROJECTCHANGE-ATTRIBUTION-2026-08-22,W2C-PC002,project_change_attribution_comparator,confirmed_change_nonattributed,official before/after or decision record available,,project;place;period;axis;decision authority,2026-08-22,project-change attribution comparison,research_only,not_frontend_ready,no,ai_seeded,Do not infer the court or NGO caused the area reduction from temporal proximity.
W2C-IE022,USF-W2C-PROJECTCHANGE-ATTRIBUTION-2026-08-22,W2C-PC003,project_change_attribution_comparator,confirmed_change_non_civic_comparator,official before/after or decision record available,,project;place;period;axis;decision authority,2026-08-22,project-change attribution comparison,research_only,not_frontend_ready,no,ai_seeded,Do not attribute this change to NGO action or call JPY 930bn cumulative expenditure.
W2C-IE023,USF-W2C-PROJECTCHANGE-ATTRIBUTION-2026-08-22,W2C-PC004,project_change_attribution_comparator,confirmed_change_non_civic_comparator,official before/after or decision record available,,project;place;period;axis;decision authority,2026-08-22,project-change attribution comparison,research_only,not_frontend_ready,no,ai_seeded,Do not attribute the pause to NGO activity without party/causal evidence.
W2C-IE024,USF-W2C-PROJECTCHANGE-ATTRIBUTION-2026-08-22,W2C-PC005,project_change_attribution_comparator,candidate_change_attribution_review,official before/after or decision record available,,project;place;period;axis;decision authority,2026-08-22,project-change attribution comparison,research_only,not_frontend_ready,no,ai_seeded,Do not write that the referendum caused the V-shaped design or relocation decision.
W2C-IE025,USF-W2C-PROJECTCHANGE-ATTRIBUTION-2026-08-22,W2C-PC006,project_change_attribution_comparator,falsified_as_military_project_change,official before/after or decision record available,,project;place;period;axis;decision authority,2026-08-22,project-change attribution comparison,research_only,not_frontend_ready,no,ai_seeded,Do not erase civilian logistics disruption or attribute offshore anchorage to the strike.
