record_id,election_id,election_year,election_name,window_phase,event_date_start,event_date_end,date_precision,actor_name,registry_crosswalk,entity_boundary,actor_scope,action_type,channel,role_label,event_name,place_or_medium,target_node_type,target_node_name,issue_focus,observable_action,evidence_level,source_proposal_ids,machine_status,hr_task_id,interpretation_limit,notes,event_status,review_status,human_review_decision,human_reviewer,review_date,approved_formulation,scope_boundary,decision_source_report
R9EC001,R9GE2014,2014,2014 Okinawa gubernatorial election,pre_campaign,2014-07-27,2014-07-27,day,沖縄「建白書」を実現し未来を拓く島ぐるみ会議,A059,okinawa_wide_civic_network,okinawa_local,issue_campaign,founding_public_assembly,organizer,島ぐるみ会議結成大会,宜野湾市民会館,policy_issue,建白書／辺野古新基地,Henoko;anti_base;local_autonomy,Held a founding assembly on 2014-07-27 to establish a long-term platform for the Kenpakusho and anti-base issues.,E3,R9EC_S002;R9EC_S022,human_review_merged,HR-026,Organization material explicitly says it was not directly created for the gubernatorial election; do not code endorsement or vote mobilization.,島ぐるみ会議 is an alias; similarly named municipal bodies are not merged into A059.,confirmed_observed_action,human_checked,accept_with_revision,项目负责人,2026-07-20,确认举行；issue_campaign；crosswalk=A059；使用正式全称,S249 是预告，需补 QAB 当日报道；明确不是直接知事选目的,docs/human_review_return_HR026_election_batch24_v1.md
R9EC002,R9GE2014,2014,2014 Okinawa gubernatorial election,pre_campaign,2014-08-21,2014-08-21,day,翁長雄志さんを沖縄県知事に送る女性要請団,none,ad_hoc_event_collective,okinawa_local,request,candidate_entry_request,requesting_collective,女性団体による翁長雄志氏出馬要請,那覇市内,candidate_person,翁長雄志,Henoko;women;local_autonomy,Publicly requested that Onaga enter the gubernatorial race.,E3,R9EC_S003;R9EC_S004,human_review_merged,HR-026,A request to stand is not itself a stable alliance; the reported 52 groups/individuals are not a verified roster.,,confirmed_observed_action,human_checked,accept,项目负责人,2026-07-20,request；临时请求 collective,“52 团体和个人”不是组织名单；不等于稳定联盟,docs/human_review_return_HR026_election_batch24_v1.md
R9EC003,R9GE2014,2014,2014 Okinawa gubernatorial election,campaign,2014-10-09,2014-10-09,day,ひやみかち うまんちゅの会 女性局,none,candidate_campaign_body,okinawa_local,endorsement,women_public_assembly,endorsement_mobilizer,女性大集会,那覇市内,candidate_person,翁長雄志,Henoko;women;peace,Held a women-focused public assembly explicitly calling for the candidate's victory.,E2,R9EC_S005,human_review_merged,HR-026,Single party-media source; do not convert 29 participating groups into registry actors or a stable coalition.,,confirmed_observed_action,human_checked,accept,项目负责人,2026-07-20,endorsement；campaign event node,单一党派媒体 E2；29 团体不进入 registry,docs/human_review_return_HR026_election_batch24_v1.md
R9EC004,R9GE2014,2014,2014 Okinawa gubernatorial election,pre_campaign,2014-08-12,2014-11-15,bounded_window,ゆんたくるー,none,informal_youth_group,okinawa_local,observation,field_learning_bus_tour,youth_civic_learning_organizer,県知事選前の辺野古・高江フィールド学習バス,辺野古／高江／若者対話,public_issue_and_election_context,基地問題と県知事選,Henoko;Takae;youth_civic_education,Organized a youth field-learning and peer-dialogue bus activity before the election.,E3,R9EC_S006,human_review_merged,HR-026,"The dates bound formation and pre-election activity, not an exact tour day; no turnout or vote effect is claimed.",,confirmed_observed_action,human_checked,accept,项目负责人,2026-07-20,observation；青年现场学习／同辈对话,只有 bounded window，没有精确 tour 日期；不推断选票效果,docs/human_review_return_HR026_election_batch24_v1.md
R9EC005,R9GE2014,2014,2014 Okinawa gubernatorial election,post_result,2014-11-19,2014-11-19,day,新日本婦人の会,none,organization_outside_registry / national_body,japan_domestic,observation,organization_statement,post_result_interpreter,県知事選結果に関する談話,organization_website,election_result_and_government,2014 election result / Japanese government,anti_base;post_result_interpretation,Published an organizational interpretation and self-reported nationwide/Okinawa member activity.,E4,R9EC_S007,human_review_merged,HR-026,Self-report supports the statement and claimed participation only; it cannot establish participation scale or causal effect.,"Issuer is 新日本婦人の会中央本部; statement date 2014-11-19 and web publication date 2014-11-21. Okinawa-branch activity is only the national body's self-report, not an A115 event role.",confirmed_observed_action,human_checked,accept_with_revision,项目负责人,2026-07-20,国家级组织的 observation／选后解释,不 crosswalk 到 A115；冲绳县本部活动只作为国家组织自报,docs/human_review_return_HR026_election_batch24_v1.md
R9EC006,R9GE2018,2018,2018 Okinawa gubernatorial election,pre_campaign,2018-07-27,2018-07-27,day,辺野古新基地を造らせないオール沖縄会議,none,mixed_civic_political_network,okinawa_local,issue_campaign,emergency_public_rally,organizer,埋立承認撤回支持の緊急集会,沖縄県民広場,incumbent_governor_policy_act,翁長知事の埋立承認撤回表明,Henoko;local_autonomy;legal,Held a rally and adopted an appeal supporting the announced revocation.,E3,R9EC_S009,human_review_merged,HR-026,Policy-act support is not coded as candidate endorsement and is not evidence of electoral effect.,,confirmed_observed_action,human_checked,accept,项目负责人,2026-07-20,issue_campaign；支持知事行政行为,不是候选 endorsement；不推断选举效果,docs/human_review_return_HR026_election_batch24_v1.md
R9EC007,R9GE2018,2018,2018 Okinawa gubernatorial election,pre_campaign,2018-08-11,2018-08-11,day,辺野古新基地を造らせないオール沖縄会議,none,mixed_civic_political_network,okinawa_local,issue_campaign,prefectural_public_assembly,organizer,土砂投入を許さない8.11県民大会,奥武山公園陸上競技場,national_government_policy,辺野古土砂投入／新基地建設,Henoko;anti_base;peace,Convened an issue rally and memorial after Governor Onaga's death.,E4,R9EC_S010,human_review_merged,HR-026,Election proximity does not make this a candidate endorsement; participant counts and political effects are excluded.,,confirmed_observed_action,human_checked,accept,项目负责人,2026-07-20,issue_campaign；反土砂投入／追悼语境,临近选举不改变动作类型；排除人数与效果,docs/human_review_return_HR026_election_batch24_v1.md
R9EC008,R9GE2018,2018,2018 Okinawa gubernatorial election,pre_campaign,2018-08-23,2018-08-23,day,県政与党等の調整会議,none,temporary_mixed_selection_coalition,mixed,request,candidate_selection_meeting,candidate_request_body,玉城デニー氏への出馬要請,沖縄市／調整会議,candidate_person,玉城デニー,Henoko;governance;candidate_selection,Selected Tamaki and formally requested that he stand.,E3,R9EC_S011,human_review_merged,HR-026,"This temporary party-labor-business council is an event node, not an NGO or stable alliance.",,confirmed_observed_action,human_checked,accept,项目负责人,2026-07-20,request；temporary mixed event node,8 月 23 日只确认正式请求，当时尚未确认接受,docs/human_review_return_HR026_election_batch24_v1.md
R9EC009,R9GE2018,2018,2018 Okinawa gubernatorial election,pre_campaign,2018-09-05,2018-09-05,day,#みんなごと 若者が考える（沖縄県）知事選,none,informal_student_civic_project,okinawa_local,public_meeting,candidate_public_debate,civic_learning_organizer,県知事候補者2名による公開討論会と振り返り,public_debate / student learning,candidate_event_nodes,候補者1／候補者2,candidate_policy;youth_civic_education,Observed a two-candidate debate and held a structured post-debate clarification session.,E4,R9EC_S012,human_review_merged,HR-026,The source masks candidate names; generic candidate nodes are retained and neutrality is not independently audited.,,confirmed_observed_action,human_checked,accept,项目负责人,2026-07-20,public_meeting；civic-learning role,候选人匿名；不声称中立性已独立审核,docs/human_review_return_HR026_election_batch24_v1.md
R9EC010,R9GE2018,2018,2018 Okinawa gubernatorial election,campaign,2018-09-13,2018-09-13,day,#みんなごと 若者が考える（沖縄県）知事選,none,informal_student_civic_project,okinawa_local,request,public_policy_workshop,policy_proposal_drafter,公開ワークショップ：知事候補者への政策提言案作成,public workshop / newspaper and SNS recruitment,candidate_event_nodes,県知事候補者,youth_policy_agenda;civic_education,Held a public workshop to draft policy proposals for gubernatorial candidates.,E4,R9EC_S012,human_review_merged,HR-026,"Request is a coarse aggregation class only; drafting is confirmed, but delivery, receipt, response and candidate uptake are not established.",The source reports 34 participants; this is not a reach or effect metric.,confirmed_observed_action,human_checked,accept_with_revision,项目负责人,2026-07-20,粗类保留 request，role=policy_proposal_drafter,只确认起草提言案；不写交付、接受、候选 uptake,docs/human_review_return_HR026_election_batch24_v1.md
R9EC011,R9GE2018,2018,2018 Okinawa gubernatorial election,campaign,2018-09-12,2018-09-19,day_range,#みんなごと 若者が考える（沖縄県）知事選,none,informal_student_civic_project,okinawa_local,observation,newspaper_policy_comparison,public_information_producer,新聞企画：候補者政策比較と政策提言の公開,琉球新報紙面／SNS,candidate_event_nodes,県知事候補者,candidate_policy;youth_civic_education,Published a candidate-policy comparison on 9/12 and the project's learning process and policy proposals on 9/19.,E4,R9EC_S012,human_review_merged,HR-026,"Information production is confirmed; readership, independent neutrality certification, persuasion, turnout and vote effects are not.",,confirmed_observed_action,human_checked,accept_with_revision,项目负责人,2026-07-20,日期改为 9/12–9/19：先比较候选政策，再公开政策提言,不声称阅读量、中立性认证、说服或效果,docs/human_review_return_HR026_election_batch25_v1.md
R9EC012,R9GE2018,2018,2018 Okinawa gubernatorial election,post_result,2018-10-03,2018-10-03,day,新日本婦人の会,none,organization_outside_registry / national_body,japan_domestic,observation,organization_statement,post_result_interpreter,県知事選結果に関する声明,organization_website / PDF,election_result_and_government,2018 election result / Japanese government,anti_base;post_result_interpretation,Published a post-result interpretation and self-reported organization-wide support activity.,E4,R9EC_S013,human_review_merged,HR-026,Self-report supports only the organization's stated activity; it cannot identify scale or effect.,Issuer unit is 新日本婦人の会中央常任委員会; do not crosswalk to A115. Organization-wide activity remains a self-report without scale or causal proof.,confirmed_observed_action,human_checked,accept_with_revision,项目负责人,2026-07-20,国家组织；署名中央常任委员会；不 crosswalk A115,组织自报全国行动不证明规模或因果,docs/human_review_return_HR026_election_batch25_v1.md
R9EC013,R9GE2022,2022,2022 Okinawa gubernatorial election,pre_campaign,2022-04-09,2022-04-09,day,沖縄の輝く未来をつくる女性たちの会,none,ad_hoc_event_collective,okinawa_local,request,candidate_entry_request_gathering,requesting_collective,女性団体有志による玉城知事出馬要請,那覇市教育福祉会館,candidate_person,玉城デニー,Henoko;women;children;governance,Held a gathering and requested that the incumbent stand for re-election.,E3,R9EC_S015,human_review_merged,HR-026,The ad hoc body remains event-only; membership and continuity are not inferred.,,confirmed_observed_action,human_checked,accept,项目负责人,2026-07-20,request；具名 ad hoc collective,玉城当时只说考虑；不推断成员名单或持续性,docs/human_review_return_HR026_election_batch25_v1.md
R9EC014,R9GE2022,2022,2022 Okinawa gubernatorial election,pre_campaign,2022-07-29,2022-07-29,day,全日本民主医療機関連合会,none,organization_outside_registry,japan_domestic,endorsement,national_online_support_meeting,endorsement_mobilizer,沖縄県知事選勝利で基地のない平和で誇りある沖縄を,online / 436 reported access points,candidate_person,玉城デニー,Henoko;peace;healthcare_network,Convened a nationwide online meeting explicitly calling for Tamaki's re-election.,E4,R9EC_S016,human_review_merged,HR-026,"Reported access points do not equal persons, voters or persuasion; no electoral effect is inferred.",,confirmed_observed_action,human_checked,accept,项目负责人,2026-07-20,国家组织 endorsement,436 个接入点不是人数、选民或效果,docs/human_review_return_HR026_election_batch25_v1.md
R9EC015,R9GE2022,2022,2022 Okinawa gubernatorial election,pre_campaign,2022-07-30,2022-07-30,day,辺野古新基地を造らせないオール沖縄会議,none,mixed_civic_political_network,okinawa_local,issue_campaign,online_prefectural_assembly,organizer,復帰50年！新たな基地負担を許さない県民大会,online broadcast,national_government_policy,新基地負担／辺野古設計変更,Henoko;anti_base;local_autonomy,"Convened an online issue assembly supporting non-approval of the Henoko design change and connecting remains-in-fill, PFAS, base life-safety, human-rights and autonomy issues.",E4,R9EC_S017;R9EC_S018,human_review_merged,HR-026,Organizer-framed issue campaign in an election-adjacent context; political actors disputed whether it functioned as an election rally; the official statement contains no explicit candidate endorsement.,,confirmed_observed_action,human_checked,accept_with_revision,项目负责人,2026-07-20,保留 issue_campaign，增加 election-adjacent contested reception,原始声明无连任号召；政治评价不等于组织目的,docs/human_review_return_HR026_election_batch25_v1.md
R9EC016,R9GE2022,2022,2022 Okinawa gubernatorial election,pre_campaign,2022-08-01,2022-08-01,day,新日本婦人の会,none,organization_outside_registry / national_body,japan_domestic,endorsement,organization_campaign_statement,endorsement_mobilizer,二度と戦場にしない平和で誇りある豊かな沖縄を,organization website / newspaper,candidate_person,玉城デニー,Henoko;anti_war;welfare;women,Published an explicit re-election call and requests for nationwide support and diffusion.,E4,R9EC_S019,human_review_merged,HR-026,"Observable endorsement only; audience reach, compliance and vote effects are not established.",National-body action; do not crosswalk to A115. Fundraising appears only as a campaign call and creates no amount or recipient relation.,confirmed_observed_action,human_checked,accept_with_revision,项目负责人,2026-07-20,国家组织的明确 endorsement；不 crosswalk A115,全国声援、扩散与募金号召不证明执行或效果,docs/human_review_return_HR026_election_batch25_v1.md
R9EC017,R9GE2022,2022,2022 Okinawa gubernatorial election,pre_campaign,2022-08-01,2022-08-31,month,『沖縄県知事選2022県民有志からのアンケート』実行委員会,none,ad_hoc_event_collective,okinawa_local,observation,candidate_questionnaire,multi_issue_observer,県知事候補3名への26テーマ74問アンケート,questionnaire / online publication,candidate_event_nodes,佐喜真淳／下地幹郎／玉城デニー,climate;energy;PFAS;sexual_minorities;governance,Administered an August 2022 questionnaire of 26 themes and 74 questions to all three candidates and announced discussion based on the results.,E3,R9EC_S020,human_review_merged,HR-026,The original answer sheets were not located; do not compare candidate answers or transfer named individuals' roles to A051 or other organizations.,,confirmed_observed_action,human_checked,accept_with_revision,项目负责人,2026-07-20,确认问卷实施和基于结果的活动；删去“完整答卷已公开”暗示,原始答卷未找到；个人角色不转移给 A051 等组织,docs/human_review_return_HR026_election_batch25_v1.md
R9EC018,R9GE2022,2022,2022 Okinawa gubernatorial election,campaign,2022-09-08,2022-09-10,day_range,『沖縄県知事選2022県民有志からのアンケート』実行委員会,none,ad_hoc_event_collective,okinawa_local,public_meeting,online_talk_series,public_deliberation_organizer,候補者アンケートを基にしたオンライントーク,online / Punga Ponga (limited in-person seats on 9/10),public_and_candidate_positions,県知事選の争点,climate;energy;PFAS;sexual_minorities;leadership,Announced two public talks for 9/8 and 9/10 based on the candidate questionnaire.,E3,R9EC_S020,human_review_merged,HR-026,The available source is a pre-event announcement and no post-event record was found; exclude this row from confirmed-held event counts.,online_exhausted; retain as an announced public-meeting record only.,announced_not_occurrence_verified,human_checked,accept_with_revision,项目负责人,2026-07-20,改成 announced／scheduled public meetings；不写 held,无会后证据；不进入已举行事件计数,docs/human_review_return_HR026_election_batch25_v1.md
R9EC019,R9GE2022,2022,2022 Okinawa gubernatorial election,pre_campaign,2022-08-13,2022-08-13,day,主催者未確認,none,unidentified_organizer_event_record,okinawa_local,endorsement,women_hybrid_support_meeting,endorsement_mobilizer,沖縄知事選必勝へ女性集会,那覇市内／online,candidate_person,玉城デニー,Henoko;women;welfare;poverty,Held a women-focused hybrid gathering explicitly calling for Tamaki's re-election.,E2,R9EC_S021,human_review_merged,HR-026,"The endorsement event is reported, but the organizer is unidentified; do not actorize the event label, infer membership, or construct a stable women's alliance.",online_exhausted; E2 single party-media event record.,confirmed_observed_action,human_checked,accept_with_revision,项目负责人,2026-07-20,接受 event-level endorsement；主办方保持 unidentified,不作为 actor、不进入组织数或稳定妇女联盟,docs/human_review_return_HR026_election_batch25_v1.md
