proposal_id,source_title,publisher,source_date,url,source_type,primary_record_type,archive_priority,evidence_level,claim_status,locator,excerpt,supports,central_source_status,interpretation_limit,observed_at,review_status,package_scope,frontend_eligibility
SP001,Private Organizations,Marine Corps Community Services Okinawa,last updated 2026-08-01,https://www.okinawa.usmc-mccs.org/more/private-organizations,official military roster,current authorization roster,high,E4,candidate_official_roster,Overview and active/suspended/inactive lists,MCIPAC reports oversight of more than 90 self-sustaining private organizations.,service-universe sweep; roster status,proposal only,"The roster covers Okinawa, Camp Fuji and MCAS Iwakuni and is not an Okinawa-only NGO census.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP002,Kadena Private Organizations,Kadena Force Support Squadron,current page; accessed 2026-08-19,https://kadenafss.com/private-organizations,official installation guidance,private-organization rules page,high,E4,candidate_official_context,Private organization requirements and resale exceptions,The page describes private organizations as self-sustaining non-federal entities.,KOSC/OESC institutional context,proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP003,Kadena Instruction 34-223,Kadena Air Base,2024-02-05,https://kadenafss.com/wp-content/uploads/2024/08/OI-34-223-1-PO-Program-5Feb24.pdf,official military order,private-organization governance order,high,E4,candidate_official_context,Private organization program; resale authorization,The order identifies KESC/OESC thrift and KOSC Gift Corner resale exceptions.,Kadena club status and oversight boundary,proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP004,USO Okinawa Area Office,USO,current page; accessed 2026-08-19,https://okinawa.uso.org/oao,organization official page,office/staff/sponsor page,high,E4,candidate_organization_record,Staff and sponsor sections,The page lists Okinawa staff and current partner tiers.,"USO identity, staff and sponsor roster",proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP005,American Engineering Corporation strengthens 52-year partnership,USO Okinawa,2025-11-17,https://okinawa.uso.org/stories/336,organization news,sponsorship announcement,high,E4,candidate_organization_record,Check amount and partner history,"USO reports a 16,000-dollar AEC sponsorship.",AEC-USO flow; partnership narrative,proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP006,USO Okinawa community Easter event,USO Okinawa,2015-04-18,https://okinawa.uso.org/stories/6,organization news,event narrative,medium,E4,candidate_discourse_source,Henoko/Nago community event,"The story uses bonds, trust and friendship language.",legitimation L1 observation,proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP007,Futenma English discussion program,USO Okinawa,2017-08-18,https://okinawa.uso.org/stories/41,organization news,event narrative,medium,E4,candidate_discourse_source,Culture-bridge and friendship passages,The program is described as bridging cultures.,legitimation L1 observation,proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP008,Camp Hansen preschool community event,USO Okinawa,2019-11-07,https://okinawa.uso.org/stories/84,organization news,event narrative,medium,E4,candidate_discourse_source,Center manager quotation,The story frames the event as maintaining local relationships.,legitimation L1 observation,proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP009,U.S.–Japan service-member event,USO Okinawa,current story; accessed 2026-08-19,https://okinawa.uso.org/stories/270,organization news,event narrative,medium,E4,candidate_discourse_source,Unity and shared-purpose framing,"The story emphasizes unity, respect and shared purpose.",legitimation L1 observation,proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP010,AWWA nonprofit record,ProPublica Nonprofit Explorer / IRS filing,FY ending 2024-05,https://projects.propublica.org/nonprofits/organizations/980227149,IRS-derived filing interface,Form 990-EZ,high,E4,candidate_primary_record,Organization summary and FY2024 filing,"The record identifies EIN, exempt status, officers and annual totals.",AWWA identity and officers,proposal only,Use as an interface to an IRS filing; verify the underlying filing image/XML before central merge.,2026-08-19,ai_seeded,research_only,excluded_research_only
SP011,NOSCO nonprofit record,ProPublica Nonprofit Explorer / IRS filing,FY ending 2025-06,https://projects.propublica.org/nonprofits/organizations/980210979,IRS-derived filing interface,Form 990,high,E4,candidate_primary_record,FY2025 filing and officers,"The record reports current officers, mission and annual totals.","NOSCO identity, people and finance",proposal only,Verify underlying IRS filing fields before central merge.,2026-08-19,ai_seeded,research_only,excluded_research_only
SP012,NOSCO FY2025 Schedule I,ProPublica Nonprofit Explorer / IRS filing,FY ending 2025-06,https://projects.propublica.org/nonprofits/full_text/202533199349301708/IRS990ScheduleI,IRS-derived filing,Form 990 Schedule I,high,E4,candidate_primary_record,Scholarship entries,"Ten scholarship pledges total 20,000 dollars.",NOSCO scholarship flow,proposal only,"The entries are individual scholarships, not organization relations.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP013,KOSC nonprofit record,ProPublica Nonprofit Explorer / IRS filing,FY ending 2025-05,https://projects.propublica.org/nonprofits/organizations/980214323,IRS-derived filing interface,Form 990,high,E4,candidate_primary_record,FY2025 filing and officers,"The filing reports officers, grants and scholarship activity.","KOSC identity, people and finance",proposal only,Verify underlying IRS filing fields before central merge.,2026-08-19,ai_seeded,research_only,excluded_research_only
SP014,KOSC FY2025 Schedule I,ProPublica Nonprofit Explorer / IRS filing,filed 2026-01-11; FY ending 2025-05,https://projects.propublica.org/nonprofits/full_text/202630129349300153/IRS990ScheduleI,IRS-derived filing,Form 990 Schedule I,high,E4,candidate_primary_record,"AWWA, scholarship and Kadena-member entries",The schedule reports named and aggregate assistance categories.,KOSC-AWWA and scholarship candidates,proposal only,Human review must resolve the AWWA crosswalk and unusual Fall 2025 label.,2026-08-19,ai_seeded,research_only,excluded_research_only
SP015,OESC nonprofit record,ProPublica Nonprofit Explorer / IRS filing,FY ending 2025-06,https://projects.propublica.org/nonprofits/organizations/980346507,IRS-derived filing interface,Form 990,high,E4,candidate_primary_record,"FY2025 filing, mission and officers","The filing links thrift proceeds to giving, scholarships and spouse employment.","OESC identity, people and program",proposal only,Verify underlying IRS filing fields before central merge.,2026-08-19,ai_seeded,research_only,excluded_research_only
SP016,OESC FY2025 Schedule I,ProPublica Nonprofit Explorer / IRS filing,FY ending 2025-06,https://projects.propublica.org/nonprofits/full_text/202513109349302911/IRS990ScheduleI,IRS-derived filing,Form 990 Schedule I,high,E4,candidate_primary_record,AWWA and scholarship entries,"The schedule reports 8,479 dollars to AWWA and a scholarship aggregate.",OESC-AWWA candidate flow,proposal only,"The filing supports a candidate transfer, not political influence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP017,MOSCO nonprofit record,ProPublica Nonprofit Explorer / IRS filing,FY ending 2025-05,https://projects.propublica.org/nonprofits/organizations/460598583,IRS-derived filing interface,Form 990,high,E4,candidate_primary_record,FY2025 summary and officers,The record reports annual totals and a treasurer.,MOSCO current continuity and person role,proposal only,Verify underlying IRS filing fields before central merge.,2026-08-19,ai_seeded,research_only,excluded_research_only
SP018,ACGO nonprofit record,ProPublica Nonprofit Explorer / IRS filing,latest filing FY ending 2018-05,https://projects.propublica.org/nonprofits/organizations/261170858,IRS-derived filing interface,historical filing series,high,E4,unresolved_current_status,Filing history and current-status warning,The public filing series ends in 2018.,ACGO continuity gap,proposal only,No dissolution date or successor relation may be inferred from missing later filings.,2026-08-19,ai_seeded,research_only,excluded_research_only
SP019,Marine Gift Shop nonprofit record,ProPublica Nonprofit Explorer / IRS filing,FY ending 2025-06,https://projects.propublica.org/nonprofits/organizations/980016061,IRS-derived filing interface,Form 990,high,E4,identity_status_conflict,FY2025 filing and current-status warning,The record shows current sales and officers while flagging exempt-list status.,Marine Gift Shop identity and people,proposal only,Resolve the apparent roster/filing/exempt-list conflict before actor addition.,2026-08-19,ai_seeded,research_only,excluded_research_only
SP020,Marine Thrift Shop nonprofit record,ProPublica Nonprofit Explorer / IRS filing,FY ending 2024-12,https://projects.propublica.org/nonprofits/organizations/383924106,IRS-derived filing interface,Form 990,high,E4,candidate_primary_record,FY2024 filing summary and officers,The record identifies a 501(c)(3) thrift-shop organization and current filing totals.,Marine Thrift Shop identity and officers,proposal only,Verify underlying IRS filing fields before central merge.,2026-08-19,ai_seeded,research_only,excluded_research_only
SP021,Marine Thrift Shop Okinawa,Marine Thrift Shop Okinawa,current page; accessed 2026-08-19,https://marinethriftshopokinawa.org/,organization official page,mission and program site,high,E4,candidate_organization_record,Mission and program links,The shop describes grants to military families and local Okinawa organizations.,candidate identity and function,proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP022,Marine Thrift Shop Board,Marine Thrift Shop Okinawa,current page; accessed 2026-08-19,https://marinethriftshopokinawa.org/board-members/,organization official page,current board roster,high,E4,candidate_organization_record,Board Members,"The page lists officers, board members and an operations manager.",person-role candidates,proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP023,Marine Thrift Shop Grants,Marine Thrift Shop Okinawa,2023 list; accessed 2026-08-19,https://marinethriftshopokinawa.org/grants/,organization official page,recipient list,high,E4,candidate_organization_record,2023 American and Japanese grant recipients,The page lists named recipient programs and organizations.,recipient candidates,proposal only,Amounts are not itemized for most recipients and English labels need identity crosswalks.,2026-08-19,ai_seeded,research_only,excluded_research_only
SP024,Marine Thrift Shop Outreach,Marine Thrift Shop Okinawa,2025 initiatives; accessed 2026-08-19,https://marinethriftshopokinawa.org/outreach/,organization official page,current initiative list,high,E4,candidate_organization_record,American and Okinawan initiatives,"The page lists pantry, AWWA and Okinawan outreach channels.",recipient and program relations,proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP025,Marine Thrift Shop donates through Lions Clubs,DVIDS / MCIPAC public affairs,2024-02-22,https://www.dvidshub.net/news/printable/465683,official military public-affairs story,dated donation report,high,E4,candidate_military_public_affairs_record,Donation and 2023 giving summary,"The account reports a 10,000-dollar transfer and prior-year giving totals.",resource flows and recipients,proposal only,The account is a military public-affairs source and does not independently establish recipient outcomes or legitimacy.,2026-08-19,ai_seeded,research_only,excluded_research_only
SP026,Neighborhood Pantry – Camp Butler,Marine Thrift Shop Okinawa,current page; accessed 2026-08-19,https://marinethriftshopokinawa.org/neighborhood-pantry-camp-butler/,organization official page,program page,high,E4,candidate_program_record,Eligibility and distribution locations,The pantry serves eligible military-community members at Foster and Kinser.,program identity and service population,proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP027,Neighborhood Pantry expands to Camp Kinser,MCIPAC,2024-08-14,https://www.mcipac.marines.mil/Media-Room/News/Article/3871746/neighborhood-pantry-expands-to-camp-kinser/,official military public-affairs story,dated program report,high,E4,candidate_military_public_affairs_record,"Expansion, leadership and supply totals",The story identifies leadership and the Kinser expansion.,"program identity, people and service scale",proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP028,North Island Okinawa Spouses Club About Us,NIOSC,current page; accessed 2026-08-19,https://www.niosc.org/about-us,organization official page,mission and membership description,high,E4,candidate_organization_record,Mission and About Us,The club describes multi-service spouse membership and Okinawa philanthropy.,NIOSC candidate identity and discourse,proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP029,American Red Cross Overseas Military Community Support,American Red Cross,current page; accessed 2026-08-19,https://www.redcross.org/get-help/military-families/overseas-military-community-support.html,organization official page,service description and response example,high,E4,candidate_organization_record,"Eligibility, services and Okinawa typhoon example",The page describes overseas services and Okinawa disaster assistance.,Red Cross service presence and aggregate flow,proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP030,NMCRS Okinawa location,Navy-Marine Corps Relief Society,current page; accessed 2026-08-19,https://www.nmcrs.org/locations/okinawa-japan,organization official page,location and service page,high,E4,candidate_organization_record,"Address, hours and services",The page lists the Camp Foster office and assistance programs.,NMCRS service presence,proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP031,Torii Station emergency assistance,Military OneSource,current page; accessed 2026-08-19,https://installations.militaryonesource.mil/military-installation/torii-station/base-essentials/emergency-assistance,official military service directory,installation service listing,medium,E4,candidate_official_service_record,Army Emergency Relief,The listing identifies an AER office and assistance types.,AER Okinawa service candidate,proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP032,Kadena emergency assistance,Military OneSource,current page; accessed 2026-08-19,https://installations.militaryonesource.mil/military-installation/kadena-ab/base-essentials/emergency-assistance,official military service directory,installation service listing,medium,E4,candidate_official_service_record,Air & Space Forces Aid Society and Red Cross,The listing locates AFAS and Red Cross services at Kadena.,AFAS and Red Cross service presence,proposal only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP033,AWWA celebrates 40 years of giving,DVIDS / Marine Corps public affairs,2012-04-23,https://www.dvidshub.net/news/87854/awwa-celebrates-40-years-giving,official military public-affairs story,dated organizational history,high,E4,candidate_military_public_affairs_record,"Membership, Uruma donation and goodwill quotation",The story describes AWWA coordination and a welfare-vehicle donation.,"historical membership, recipient and L1 discourse",proposal only,"Use for reported events and quotations, not as independent evidence of recipient attitudes.",2026-08-19,ai_seeded,research_only,excluded_research_only
SP034,AWWA member-club page,NOSCO,current page; accessed 2026-08-19,https://nosco.wildapricot.org/awwa,organization official page,network self-description,high,E4,candidate_organization_record,Member list and mission narrative,The page names four current clubs but elsewhere refers to five.,AWWA current structure and L1 discourse,proposal only,The internal count inconsistency and ACGO transition require human review.,2026-08-19,ai_seeded,research_only,excluded_research_only
SP035,Neighborhood Pantry Camp Butler expands to Camp Kinser video,DVIDS / MCIPAC,2024-08,https://www.dvidshub.net/video/933952/neighborhood-pantry-camp-butler-expands-camp-kinser,official military public-affairs video,dated program/leadership record,medium,E4,candidate_military_public_affairs_record,Video description and interview identification,The video identifies the pantry director during the Kinser expansion.,Neighborhood Pantry leadership,proposal only,Leadership identification is dated to the production; it is not a current 2026 board roster.,2026-08-19,ai_seeded,research_only,excluded_research_only
SP036,TEDxUMGC Okinawa organizer profile,TEDxUMGC Okinawa,2025,https://tedxumgcokinawa.com/,event organization page,dated organizer biography,medium,E3,candidate_secondary_role_source,Organizer biography,The biography identifies Vincent Toth as NIOSC president.,NIOSC leadership lead,proposal only,Use as a dated second-tier lead; confirm against a NIOSC board or filing record.,2026-08-19,ai_seeded,research_only,excluded_research_only
SP037,Marine Gift Shop placeholder site,Marine Gift Shop,accessed 2026-08-19,https://marinegiftshop.org/,organization domain,placeholder landing page,low,E3,negative_identity_context,Landing page,The site currently publishes no substantive mission or board information.,negative search and continuity gap,proposal only,The domain alone does not establish organizational status or governance.,2026-08-19,ai_seeded,research_only,excluded_research_only
