task_id,object_id,canonical_name,status,finding_type,year,amount,currency,source_title,source_url,evidence_level,report_use,missing_fields,archive_status,notes
T1-A,X004,American Welfare & Works Association,found_partial,recipient_program,2020,,,NOSCO - American Welfare & Works Association (AWWA),https://nosco.wildapricot.org/awwa,E4,yes_cautious,"complete annual named-recipient table; award dates and amounts by recipient",existing_source,"Official member-club page confirms monthly review of applications from American and Okinawan organizations and examples of funded items; examples are not a recipient-year table."
T1-A,X005,Naval Officers' Spouses' Club of Okinawa (NOSCO),found_partial,legal_and_function,2024,,,NOSCO - About Us,https://nosco.wildapricot.org/About-Us,E4,yes,"complete annual named-recipient table; donation amounts; Schedule I detail",pending_archive,"Official page confirms formal name, charitable/educational role, Fleet Gift Shop revenue model, AWWA membership, and service to both American military and local Japanese communities."
T1-A,X005,Naval Officers' Spouses' Club of Okinawa (NOSCO),found_partial,co_in_kind_donation,2025,,USD,U.S. Navy Sailors Help Okinawan Childcare Center Beat the Heat,https://www.dvidshub.net/news/546868/us-navy-sailors-help-okinawan-childcare-center-beat-heat,E3,yes_cautious,"recipient legal name; item value; NOSCO share of joint contribution",archived,"NOSCO joined CFAO/VP-9/CPOA in donating three industrial cooling fans to an after-school childcare center in Heshikiya; do not attribute all items to NOSCO alone."
T1-A,X006,Kadena Officers' Spouses' Club (KOSC),found_partial,legal_and_financial_filings,2025,397579,USD,Kadena Officers Spouses Club - Nonprofit Explorer,https://projects.propublica.org/nonprofits/organizations/980214323,E4,yes_cautious,"named grants in latest Schedule I; scholarship recipient names; AWWA split",existing_source,"IRS-derived filing page confirms EIN 98-0214323, 501(c)(4) status and FY2025 filing; current official charity page only aggregates scholarships plus AWWA, so the recipient split remains unresolved."
T1-A,X007,Okinawa Enlisted Spouses' Club (OESC),found_partial,open_application_program,2026,,,Charitable Fund Request - OESC,https://www.okinawaesc.com/charitable,E4,yes,"complete annual named-recipient table beyond USO; award decisions and amounts",pending_archive,"Official page confirms a charitable-fund application channel and private nonprofit status; it does not publish awards."
T1-A,X007,Okinawa Enlisted Spouses' Club (OESC),found_partial,community_service_spending,2015,6000,USD,Enlisted families surprised by Random Acts of Kindness,https://www.dvidshub.net/news/185107/enlisted-families-surprised-random-acts-kindness,E3,yes_cautious,"individual recipient list not appropriate/public; audited program total",pending_archive,"DVIDS reports more than USD 6,000 spent on small purchases for hundreds of military families in 2015; this is service spending, not grants to named organizations."
T1-D,A003,ジュゴンネットワーク沖縄,found_identity_online_exhausted_legal_finance,public_activity_and_officer,2019,,,沖縄県による制度での辺野古・大浦湾の保全を求める要望書,https://www.nacsj.or.jp/statement/50673/,E4,yes,"legal status; founding date; current officers; financial and annual reports",pending_archive,"Independent NGO primary source names the group and secretary-general 細川太郎. Exact-name searches in the Cabinet Office NPO portal returned no corporation record; treat as a civic group unless local/internal records show otherwise."
T1-D,A012,宮古島いのちの水を守ろう！,found_event_identity_online_exhausted_legal_finance,event_executive_committee,2016,,,陸自配備阻止訴え 宮古で集会 市民、地下水保全求め,https://ryukyushimpo.jp/news/entry-296563.html,E3,yes_cautious,"whether a continuing organization existed beyond the 6/11 event; legal status; later officers; finance",archived,"The source identifies 宮古島いのちの水を守ろう！6・11自衛隊配備を止める市民集会 and its executive committee, not a clearly persistent corporation. Registry naming should be reviewed separately."
T1-D,A017,「台湾有事」を起こさせない・沖縄対話プロジェクト,found,formation_and_governance,2022,,,規約 - 沖縄対話プロジェクト,https://okinawataiwa.net/index.php/about-us/about_terms/,E4,yes,"financial statements; post-project continuity after stated initial period",pending_archive,"Official rules give the full name, English name, purpose, address, conveners/executive members and establishment date 2022-10-15; it is a project/executive body, not an NPO corporation."
T1-D,X010,特定非営利活動法人沖縄NGOセンター,found,legal_status_and_reports,2024,,,内閣府 NPO法人ポータル 法人詳細,https://www.npo-homepage.go.jp/npoportal/detail/047021403,E4,yes,"none for 2020-2024 statutory reports; contract instruments remain useful for payment timing",pending_archive,"Portal confirms NPO certification 2009-05-14, representative 新垣誠, corporation number 7360005003047, purpose, and downloadable 2020-2024 reports."
T1-D,X010,特定非営利活動法人沖縄NGOセンター,found,annual_financials,2024,28165241,JPY,2024年度事業報告書等,https://www.npo-homepage.go.jp/npoportal/document/047021403/hokoku/2024700/2024%E5%B9%B4%E5%BA%A6%E4%BA%8B%E6%A5%AD%E5%A0%B1%E5%91%8A%E6%9B%B8%E7%AD%89.pdf,E4,yes,"payer-by-payer cash receipt reconciliation",archived,"FY2024 operating revenue was JPY 28,165,241; commissioned-project revenue shown in the activity statement was JPY 27,609,635. Do not equate the total with one government payer."
T1-E,X010,特定非営利活動法人沖縄NGOセンター,found,MOFA_commission_program_cost,2024,2894000,JPY,2024年度事業報告書等,https://www.npo-homepage.go.jp/npoportal/document/047021403/hokoku/2024700/2024%E5%B9%B4%E5%BA%A6%E4%BA%8B%E6%A5%AD%E5%A0%B1%E5%91%8A%E6%9B%B8%E7%AD%89.pdf,E4,yes,"contract award document; payment-date reconciliation",archived,"Annual report lists NGO相談員（外務省委託） with annual project cost JPY 2,894,000 and 490 users/participants; balance-sheet detail separately lists an MOFA receivable of JPY 412,413."
T1-E,X010,特定非営利活動法人沖縄NGOセンター,found,Okinawa_City_commission_program_cost,2024,16040000,JPY,2024年度事業報告書等,https://www.npo-homepage.go.jp/npoportal/document/047021403/hokoku/2024700/2024%E5%B9%B4%E5%BA%A6%E4%BA%8B%E6%A5%AD%E5%A0%B1%E5%91%8A%E6%9B%B8%E7%AD%89.pdf,E4,yes,"contract award document; payment-date reconciliation",archived,"Annual report lists Okinawa City-commissioned Koza International Plaza management at JPY 16,040,000; balance-sheet detail separately lists an Okinawa City receivable of JPY 1,392,307."
T1-E,X010,特定非営利活動法人沖縄NGOセンター,found,Okinawa_Prefecture_commission_program_cost,2024,5530000,JPY,2024年度事業報告書等,https://www.npo-homepage.go.jp/npoportal/document/047021403/hokoku/2024700/2024%E5%B9%B4%E5%BA%A6%E4%BA%8B%E6%A5%AD%E5%A0%B1%E5%91%8A%E6%9B%B8%E7%AD%89.pdf,E4,yes,"contract award document; payment-date reconciliation",archived,"Annual report lists the Okinawa Prefecture-commissioned multicultural coexistence policy-conference support project at JPY 5,530,000; balance-sheet detail separately lists an Okinawa Prefecture receivable of JPY 3,038,265."
T1-E,X011,JICA沖縄,found,JICA_commission,2019,,,2019年度 JICA教師海外研修（九州・沖縄）報告書,https://www.jica.go.jp/domestic/kyushu/activities/kaihatsu/__icsFiles/afieldfile/2025/03/27/report_2019.pdf,E4,yes,"contract amount",archived,"JICA Okinawa report identifies ONC as the contractor for the program/report. This is a project-specific commissioned relation, distinct from festival co-participation."
T1-E,X010,特定非営利活動法人沖縄NGOセンター,found,MOFA_current_designation,2026,,,外務省 NGO相談員リスト 令和8年度,https://www.mofa.go.jp/mofaj/gaiko/oda/about/shimin/pagew_000001_00006.html,E4,yes,"FY2026 amount and contract instrument",archive_failed_mofa_403,"MOFA lists ONC as the Okinawa NGO consultant in FY2026, supporting continuity beyond the FY2025 list already in the source log."
S020,A012,宮古島いのちの水を守ろう！,found,resolved_source_url,2016,,,陸自配備阻止訴え 宮古で集会 市民、地下水保全求め,https://ryukyushimpo.jp/news/entry-296563.html,E3,yes_cautious,"persistent organization identity beyond event committee",archived,"Resolves the inferred URL. The old placeholder year 2018 was wrong; article publication is 2016-06-12."
