claim_id,report_locator,module,claim_type,claim_text,report_excerpt,report_cited_source_ids,audit_support_source_ids,audit_support_formal_tables,evidence_level_or_layer,review_layer,source_id_check,formal_table_check,numeric_check_status,reported_value,verified_value,publish_status,limitations,audit_note,hr031_group
RCA001,L008;P004,foundation,quantitative,118 actors；222 actor–issue；129 actor–place；43 relation；49 evidence notes；67 AEV；169 coaction；6 cases／27 roles。,本研究考察复归后、尤其是 1998 年以后公开资料中可追踪的冲绳民间组织、社会运动团体与 NGO/NPO，如何把基地与军事设施争议转译为环境保护、生活安全、地方自治、法律程序、人权、和平及国际倡议等问题。当前底库包括 118 个组织级 actor、295 条来源、222 条组织—议题关系、129 条组织—地点候选／人审关系、43 条支持／资助／委托／服务／非资金关系、49 条正式 evidence note、67 条 actor—event—venue 记录、三次名单的 169 条事件参与观察，以及 6 个案件／程序和 27 条人审角色。HR-013 将 A111 冲绳县女性团体联络协议会纳入，并按范围勘误移出 A094，registry 净数仍为 118，比方案 120 下限少 2。A087–A093、A095–A101 仍只完成 E4 身份级安全合并；九个仅有 E2 一次署名线索的名称仅保留为事件级未核参与者。S199–S247 的 49 条来源完成上一波合并；下一波又以 provisional、`ai_seeded` 口径加入 S248–S294 共 47 条，40 条归档成功、7 条失败。S295 是 HR-011 定位修订后单独补入并归档的 YWCA 供稿页，不改变 S248–S294 波次口径，也不作为独立组织身份二源。新增来源仅建立可追溯索引，不批准候选 actor、选举角色、污染／健康因果、劳工效果或关系解释。该底库不是“复归后冲绳全部 NGO”的总体名录，而是由公开网页、组织声明、官方资料、法律文件、地方新闻与项目材料驱动的议题相关样本。,S199;S200;S201;S202;S203;S204;S205;S206;S207;S208;S209;S210;S211;S212;S213;S214;S215;S216;S217;S218;S219;S220;S221;S222;S223;S224;S225;S226;S227;S228;S229;S230;S231;S232;S233;S234;S235;S236;S237;S238;S239;S240;S241;S242;S243;S244;S245;S246;S247;S248;S249;S250;S251;S252;S253;S254;S255;S256;S257;S258;S259;S260;S261;S262;S263;S264;S265;S266;S267;S268;S269;S270;S271;S272;S273;S274;S275;S276;S277;S278;S279;S280;S281;S282;S283;S284;S285;S286;S287;S288;S289;S290;S291;S292;S293;S294;S295,,data/interim/01_actor_registry_initial_v0.csv;data/interim/07_actor_issue_edges_initial_v0.csv;data/interim/08_actor_place_edges_initial_v0.csv;data/interim/15_funding_or_support_edges_sample_v0.csv;data/interim/06_evidence_notes_v0.csv;data/interim/09_actor_event_venue_edges_v0.csv;data/interim/25_coaction_event_participation_v0.csv;data/interim/17_legal_policy_procedure_cases_v0.csv;data/interim/18_legal_policy_actor_roles_v0.csv,mixed E2–E4,formal table count,pass,pass,match,"{""actor_issue"":222,""actor_place"":129,""actors"":118,""aev"":67,""coaction"":169,""evidence_notes"":49,""legal_cases"":6,""legal_roles"":27,""relations"":43}","{""actor_issue"":222,""actor_place"":129,""actors"":118,""aev"":67,""coaction"":169,""evidence_notes"":49,""legal_cases"":6,""legal_roles"":27,""relations"":43}",safe,,,
RCA002,L008;P004,foundation,quantitative,Source log contains 295 sources.,本研究考察复归后、尤其是 1998 年以后公开资料中可追踪的冲绳民间组织、社会运动团体与 NGO/NPO，如何把基地与军事设施争议转译为环境保护、生活安全、地方自治、法律程序、人权、和平及国际倡议等问题。当前底库包括 118 个组织级 actor、295 条来源、222 条组织—议题关系、129 条组织—地点候选／人审关系、43 条支持／资助／委托／服务／非资金关系、49 条正式 evidence note、67 条 actor—event—venue 记录、三次名单的 169 条事件参与观察，以及 6 个案件／程序和 27 条人审角色。HR-013 将 A111 冲绳县女性团体联络协议会纳入，并按范围勘误移出 A094，registry 净数仍为 118，比方案 120 下限少 2。A087–A093、A095–A101 仍只完成 E4 身份级安全合并；九个仅有 E2 一次署名线索的名称仅保留为事件级未核参与者。S199–S247 的 49 条来源完成上一波合并；下一波又以 provisional、`ai_seeded` 口径加入 S248–S294 共 47 条，40 条归档成功、7 条失败。S295 是 HR-011 定位修订后单独补入并归档的 YWCA 供稿页，不改变 S248–S294 波次口径，也不作为独立组织身份二源。新增来源仅建立可追溯索引，不批准候选 actor、选举角色、污染／健康因果、劳工效果或关系解释。该底库不是“复归后冲绳全部 NGO”的总体名录，而是由公开网页、组织声明、官方资料、法律文件、地方新闻与项目材料驱动的议题相关样本。,S199;S200;S201;S202;S203;S204;S205;S206;S207;S208;S209;S210;S211;S212;S213;S214;S215;S216;S217;S218;S219;S220;S221;S222;S223;S224;S225;S226;S227;S228;S229;S230;S231;S232;S233;S234;S235;S236;S237;S238;S239;S240;S241;S242;S243;S244;S245;S246;S247;S248;S249;S250;S251;S252;S253;S254;S255;S256;S257;S258;S259;S260;S261;S262;S263;S264;S265;S266;S267;S268;S269;S270;S271;S272;S273;S274;S275;S276;S277;S278;S279;S280;S281;S282;S283;S284;S285;S286;S287;S288;S289;S290;S291;S292;S293;S294;S295,,data/interim/05_source_log_initial_v0.csv,mixed,mechanical count,pass,pass,match,"{""sources"":295}","{""sources"":295}",safe,,,
RCA003,L008;P004,foundation,acceptance,"HR-013 replaced A094 with A111; registry remains 118, two below the 120 minimum.",本研究考察复归后、尤其是 1998 年以后公开资料中可追踪的冲绳民间组织、社会运动团体与 NGO/NPO，如何把基地与军事设施争议转译为环境保护、生活安全、地方自治、法律程序、人权、和平及国际倡议等问题。当前底库包括 118 个组织级 actor、295 条来源、222 条组织—议题关系、129 条组织—地点候选／人审关系、43 条支持／资助／委托／服务／非资金关系、49 条正式 evidence note、67 条 actor—event—venue 记录、三次名单的 169 条事件参与观察，以及 6 个案件／程序和 27 条人审角色。HR-013 将 A111 冲绳县女性团体联络协议会纳入，并按范围勘误移出 A094，registry 净数仍为 118，比方案 120 下限少 2。A087–A093、A095–A101 仍只完成 E4 身份级安全合并；九个仅有 E2 一次署名线索的名称仅保留为事件级未核参与者。S199–S247 的 49 条来源完成上一波合并；下一波又以 provisional、`ai_seeded` 口径加入 S248–S294 共 47 条，40 条归档成功、7 条失败。S295 是 HR-011 定位修订后单独补入并归档的 YWCA 供稿页，不改变 S248–S294 波次口径，也不作为独立组织身份二源。新增来源仅建立可追溯索引，不批准候选 actor、选举角色、污染／健康因果、劳工效果或关系解释。该底库不是“复归后冲绳全部 NGO”的总体名录，而是由公开网页、组织声明、官方资料、法律文件、地方新闻与项目材料驱动的议题相关样本。,S199;S200;S201;S202;S203;S204;S205;S206;S207;S208;S209;S210;S211;S212;S213;S214;S215;S216;S217;S218;S219;S220;S221;S222;S223;S224;S225;S226;S227;S228;S229;S230;S231;S232;S233;S234;S235;S236;S237;S238;S239;S240;S241;S242;S243;S244;S245;S246;S247;S248;S249;S250;S251;S252;S253;S254;S255;S256;S257;S258;S259;S260;S261;S262;S263;S264;S265;S266;S267;S268;S269;S270;S271;S272;S273;S274;S275;S276;S277;S278;S279;S280;S281;S282;S283;S284;S285;S286;S287;S288;S289;S290;S291;S292;S293;S294;S295,,data/interim/01_actor_registry_initial_v0.csv;outputs/hr013_online_wave_integration_v1/,E4,HR-013 human decision,pass,pass,not_applicable,,,safe,"Registry is a bounded research sample, not a census.",,
RCA004,L008;P004,foundation,evidence_boundary,"Fourteen actors remain identity-only and nine E2 names remain event-only, not registry actors.",本研究考察复归后、尤其是 1998 年以后公开资料中可追踪的冲绳民间组织、社会运动团体与 NGO/NPO，如何把基地与军事设施争议转译为环境保护、生活安全、地方自治、法律程序、人权、和平及国际倡议等问题。当前底库包括 118 个组织级 actor、295 条来源、222 条组织—议题关系、129 条组织—地点候选／人审关系、43 条支持／资助／委托／服务／非资金关系、49 条正式 evidence note、67 条 actor—event—venue 记录、三次名单的 169 条事件参与观察，以及 6 个案件／程序和 27 条人审角色。HR-013 将 A111 冲绳县女性团体联络协议会纳入，并按范围勘误移出 A094，registry 净数仍为 118，比方案 120 下限少 2。A087–A093、A095–A101 仍只完成 E4 身份级安全合并；九个仅有 E2 一次署名线索的名称仅保留为事件级未核参与者。S199–S247 的 49 条来源完成上一波合并；下一波又以 provisional、`ai_seeded` 口径加入 S248–S294 共 47 条，40 条归档成功、7 条失败。S295 是 HR-011 定位修订后单独补入并归档的 YWCA 供稿页，不改变 S248–S294 波次口径，也不作为独立组织身份二源。新增来源仅建立可追溯索引，不批准候选 actor、选举角色、污染／健康因果、劳工效果或关系解释。该底库不是“复归后冲绳全部 NGO”的总体名录，而是由公开网页、组织声明、官方资料、法律文件、地方新闻与项目材料驱动的议题相关样本。,S199;S200;S201;S202;S203;S204;S205;S206;S207;S208;S209;S210;S211;S212;S213;S214;S215;S216;S217;S218;S219;S220;S221;S222;S223;S224;S225;S226;S227;S228;S229;S230;S231;S232;S233;S234;S235;S236;S237;S238;S239;S240;S241;S242;S243;S244;S245;S246;S247;S248;S249;S250;S251;S252;S253;S254;S255;S256;S257;S258;S259;S260;S261;S262;S263;S264;S265;S266;S267;S268;S269;S270;S271;S272;S273;S274;S275;S276;S277;S278;S279;S280;S281;S282;S283;S284;S285;S286;S287;S288;S289;S290;S291;S292;S293;S294;S295,,data/interim/01_actor_registry_initial_v0.csv;data/interim/25_coaction_event_participation_v0.csv,E2/E4 mixed,HR-013/015 boundary,pass,pass,not_applicable,,,safe,Do not use identity-only actors for deterministic classification or relations.,,
RCA005,L008;P004,foundation,source_archive,S199–S247 is the prior 49-source wave; S248–S294 adds 47 provisional/ai-seeded sources with 40 archived and 7 failed; S295 is one separately added and archived HR-011 locator correction.,本研究考察复归后、尤其是 1998 年以后公开资料中可追踪的冲绳民间组织、社会运动团体与 NGO/NPO，如何把基地与军事设施争议转译为环境保护、生活安全、地方自治、法律程序、人权、和平及国际倡议等问题。当前底库包括 118 个组织级 actor、295 条来源、222 条组织—议题关系、129 条组织—地点候选／人审关系、43 条支持／资助／委托／服务／非资金关系、49 条正式 evidence note、67 条 actor—event—venue 记录、三次名单的 169 条事件参与观察，以及 6 个案件／程序和 27 条人审角色。HR-013 将 A111 冲绳县女性团体联络协议会纳入，并按范围勘误移出 A094，registry 净数仍为 118，比方案 120 下限少 2。A087–A093、A095–A101 仍只完成 E4 身份级安全合并；九个仅有 E2 一次署名线索的名称仅保留为事件级未核参与者。S199–S247 的 49 条来源完成上一波合并；下一波又以 provisional、`ai_seeded` 口径加入 S248–S294 共 47 条，40 条归档成功、7 条失败。S295 是 HR-011 定位修订后单独补入并归档的 YWCA 供稿页，不改变 S248–S294 波次口径，也不作为独立组织身份二源。新增来源仅建立可追溯索引，不批准候选 actor、选举角色、污染／健康因果、劳工效果或关系解释。该底库不是“复归后冲绳全部 NGO”的总体名录，而是由公开网页、组织声明、官方资料、法律文件、地方新闻与项目材料驱动的议题相关样本。,S199;S200;S201;S202;S203;S204;S205;S206;S207;S208;S209;S210;S211;S212;S213;S214;S215;S216;S217;S218;S219;S220;S221;S222;S223;S224;S225;S226;S227;S228;S229;S230;S231;S232;S233;S234;S235;S236;S237;S238;S239;S240;S241;S242;S243;S244;S245;S246;S247;S248;S249;S250;S251;S252;S253;S254;S255;S256;S257;S258;S259;S260;S261;S262;S263;S264;S265;S266;S267;S268;S269;S270;S271;S272;S273;S274;S275;S276;S277;S278;S279;S280;S281;S282;S283;S284;S285;S286;S287;S288;S289;S290;S291;S292;S293;S294;S295,,data/interim/05_source_log_initial_v0.csv;source_docs/source_archive/source_archive_manifest.csv,source metadata,mechanical archive status,pass,pass,match,"{""max_source_id"":295,""post_s247"":48,""s199_s247"":49,""s248_s294_archived"":40,""s248_s294_failed"":7,""s295_archived"":1,""s295_present"":1}","{""max_source_id"":295,""post_s247"":48,""s199_s247"":49,""s248_s294_archived"":40,""s248_s294_failed"":7,""s295_archived"":1,""s295_present"":1}",safe,"Source inclusion approves metadata only, not candidate actors, relations or interpretations.",,
RCA006,L008;P004,foundation,scope_boundary,"The database is an issue-relevant public-source sample, not a census of all post-reversion Okinawa NGOs.",本研究考察复归后、尤其是 1998 年以后公开资料中可追踪的冲绳民间组织、社会运动团体与 NGO/NPO，如何把基地与军事设施争议转译为环境保护、生活安全、地方自治、法律程序、人权、和平及国际倡议等问题。当前底库包括 118 个组织级 actor、295 条来源、222 条组织—议题关系、129 条组织—地点候选／人审关系、43 条支持／资助／委托／服务／非资金关系、49 条正式 evidence note、67 条 actor—event—venue 记录、三次名单的 169 条事件参与观察，以及 6 个案件／程序和 27 条人审角色。HR-013 将 A111 冲绳县女性团体联络协议会纳入，并按范围勘误移出 A094，registry 净数仍为 118，比方案 120 下限少 2。A087–A093、A095–A101 仍只完成 E4 身份级安全合并；九个仅有 E2 一次署名线索的名称仅保留为事件级未核参与者。S199–S247 的 49 条来源完成上一波合并；下一波又以 provisional、`ai_seeded` 口径加入 S248–S294 共 47 条，40 条归档成功、7 条失败。S295 是 HR-011 定位修订后单独补入并归档的 YWCA 供稿页，不改变 S248–S294 波次口径，也不作为独立组织身份二源。新增来源仅建立可追溯索引，不批准候选 actor、选举角色、污染／健康因果、劳工效果或关系解释。该底库不是“复归后冲绳全部 NGO”的总体名录，而是由公开网页、组织声明、官方资料、法律文件、地方新闻与项目材料驱动的议题相关样本。,S199;S200;S201;S202;S203;S204;S205;S206;S207;S208;S209;S210;S211;S212;S213;S214;S215;S216;S217;S218;S219;S220;S221;S222;S223;S224;S225;S226;S227;S228;S229;S230;S231;S232;S233;S234;S235;S236;S237;S238;S239;S240;S241;S242;S243;S244;S245;S246;S247;S248;S249;S250;S251;S252;S253;S254;S255;S256;S257;S258;S259;S260;S261;S262;S263;S264;S265;S266;S267;S268;S269;S270;S271;S272;S273;S274;S275;S276;S277;S278;S279;S280;S281;S282;S283;S284;S285;S286;S287;S288;S289;S290;S291;S292;S293;S294;S295,,docs/phase1_scheme_acceptance_audit_v1.md,methodological,report scope,pass,pass,not_applicable,,,safe,No population denominator.,,
RCA007,L010;P005,R01/R02,interpretive_synthesis,"Base controversies are repeatedly translated into ecology, safety, autonomy, legal procedure and international advocacy languages.",一期材料支持三项阶段判断。第一，基地问题在组织层面并非孤立标签：公开行动经常借助生态与生物多样性、生活与健康安全、地方自治和住民投票、法律程序以及国际机构可识别的语言重新表达。第二，这种转译具有显著地点差异。边野古／大浦湾集中呈现生态—法律—国际倡议路径；嘉手纳／普天间更突出噪音、日常安全和诉讼；石垣、宫古与与那国则更多围绕自卫队部署、住民投票、地下水、避难及“前线化”风险展开。第三，共同声明、共同要请、诉讼、公投和意见广告属于不同的行动方式。现有资料可以证明特定 actor 在特定事件中的公开角色，但不能据此推断长期、稳定的组织联盟。,,,outputs/R01_R02_actor_issue_v1/issue_cooccurrence_v1.csv;outputs/R06_R07_R11_pathways_v1/r06_pathway_comparison_v0.csv,mixed candidate/human,interpretive synthesis,pass,pass,not_applicable,,,revise,Use sample-bounded wording; 163/222 actor–issue edges remain candidate.,,translation
RCA008,L010;P005,R03/R04,interpretive_synthesis,"Henoko/Oura, Kadena/Futenma and Sakishima show distinct issue framings.",一期材料支持三项阶段判断。第一，基地问题在组织层面并非孤立标签：公开行动经常借助生态与生物多样性、生活与健康安全、地方自治和住民投票、法律程序以及国际机构可识别的语言重新表达。第二，这种转译具有显著地点差异。边野古／大浦湾集中呈现生态—法律—国际倡议路径；嘉手纳／普天间更突出噪音、日常安全和诉讼；石垣、宫古与与那国则更多围绕自卫队部署、住民投票、地下水、避难及“前线化”风险展开。第三，共同声明、共同要请、诉讼、公投和意见广告属于不同的行动方式。现有资料可以证明特定 actor 在特定事件中的公开角色，但不能据此推断长期、稳定的组织联盟。,,,outputs/R03_spatial_dossier_v1/actor_place_semantic_summary_v1.csv;outputs/R04_sakishima_frame_corpus_v0/entity_frame_safe_matrix_v0.csv,mixed candidate/human,interpretive synthesis,pass,pass,not_applicable,,,revise,Place edges are not a prevalence measure; R4 online evidence is institution-heavy.,,spatial
RCA009,L010;P005,R05/R07,relation_boundary,"Co-signing, requests, litigation, referenda and opinion advertisements are distinct action forms; event roles do not prove stable alliances.",一期材料支持三项阶段判断。第一，基地问题在组织层面并非孤立标签：公开行动经常借助生态与生物多样性、生活与健康安全、地方自治和住民投票、法律程序以及国际机构可识别的语言重新表达。第二，这种转译具有显著地点差异。边野古／大浦湾集中呈现生态—法律—国际倡议路径；嘉手纳／普天间更突出噪音、日常安全和诉讼；石垣、宫古与与那国则更多围绕自卫队部署、住民投票、地下水、避难及“前线化”风险展开。第三，共同声明、共同要请、诉讼、公投和意见广告属于不同的行动方式。现有资料可以证明特定 actor 在特定事件中的公开角色，但不能据此推断长期、稳定的组织联盟。,,,data/interim/09_actor_event_venue_edges_v0.csv;outputs/R05_R07_heterogeneous_repertoire_v1/repertoire_event_action_venue_units_v1.csv,human_checked + analytical seeds separated,HR-015/formal action layer,pass,pass,not_applicable,,,safe,No alliance inference from co-participation.,,
RCA010,L012;P006,R10/R11,function_boundary,Administrative/international-cooperation and base-community service actors are separate observation layers; function does not establish political stance or a funding chain.,本报告同时保留两个独立观察层。其一是冲绳 NGO 中心（ONC）等国际合作／多文化共生行政协作 actor；其二是 USO、军属配偶俱乐部和慈善网络等基地社区服务 actor。它们有助于说明冲绳基地社会的民间组织生态并不只有抗争组织，但现有证据不支持据其服务对象、委托或赞助关系推断政治立场，也不支持把尚无合同、财报或正式项目报告的关系写成“资金链”。,,,outputs/R10_administrative_collaboration_v0/mechanism_matrix_v0.csv;outputs/R06_R07_R11_pathways_v1/r11_external_entry_matrix_v0.csv,mixed,formal boundary,pass,pass,not_applicable,,,safe,Sensitive financial relations still require relation-level human review.,,
