origin_type,origin_key,subject_id,source_id,normalized_url,source_log_state,source_review_status,relation_or_claim_approved,evidence_boundary
"HR-013 supplied URL, attribution corrected",UHR013-C011-FOUNDATION-HOME,C011,S199,https://www.okinawajosei.org/,integrated_or_existing,ai_seeded,no,"The site belongs to おきなわ女性財団, not 沖縄県女性団体連絡協議会; do not label it C011's official site."
HR-013 human-reviewed source,UHR013-C011-OT,C011,S200,https://www.okinawatimes.co.jp/articles/-/1474162,integrated_or_existing,human_checked,no,Event-level mobilization; does not create stable alliance edges among participating groups.
HR-013 human-reviewed source,UHR013-C011-RS,C011,S201,https://ryukyushimpo.jp/national/entry-3299439.html,integrated_or_existing,human_checked,no,"Use the historical base-removal action as a dated event, not proof of an unchanged alliance structure."
HR-013 human-reviewed source,UHR013-C010,C010,S202,https://www.himeyuri.or.jp/establish/foundation,integrated_or_existing,human_checked,no,Background war-memory node only; do not infer an anti-base position or relation.
HR-013 human-reviewed source,UHR013-C034,C034,S203,https://ocrcc.sakura.ne.jp/,integrated_or_existing,human_checked,no,Background administrative/coral platform; membership or public collaboration does not imply an anti-base stance.
HR-013 human-reviewed candidate lead,UHR013-MIYAKO-GW,MGR-candidate,S204,https://miyakojima-tikasui.com/,integrated_or_existing,human_checked,no,Candidate lead only; does not resolve C015 identity and does not authorize registry entry.
registry_expansion_gate_v1,GSP001,C010,S202,https://www.himeyuri.or.jp/establish/foundation,integrated_or_existing,ai_seeded,no,Approves identity/continuity only; does not imply base-politics stance.
registry_expansion_gate_v1,GSP002,C010,S205,https://www.himeyuri.or.jp/wp/wp-content/uploads/dayori-new-073_20240531.pdf,integrated_or_existing,ai_seeded,no,Use for peace/education programming; overseas exhibition is not automatically international advocacy.
registry_expansion_gate_v1,GSP003,C011,S206,https://www.gender.go.jp/research/kenkyu/suishinjokyo/2024/pdf/rep/10.pdf,integrated_or_existing,ai_seeded,no,Network membership does not create stable alliance edges.
registry_expansion_gate_v1,GSP004,C011,S207,https://www.pref.okinawa.jp/kurashikankyo/danjo/1021609/1027355/1027407/1027458.html,integrated_or_existing,ai_seeded,no,Dedup evidence: C011 and A094 are separately named current organizations.
registry_expansion_gate_v1,GSP005,C011,S208,https://www.okinawajosei.org/support.php,integrated_or_existing,ai_seeded,no,"This publisher is not C011 itself; use as independent program record, not organizational self-description."
registry_expansion_gate_v1,GSP006,C011,S209,https://www.pref.okinawa.jp/heiwakichi/kichi/1017255/1017256/1017262.html,integrated_or_existing,ai_seeded,no,Documents one direct issue action; do not infer a stable coalition with the other listed organizations.
registry_expansion_gate_v1,GSP007,C015,S210,https://www.miyakomainichi.com/news/post-79534,integrated_or_existing,ai_seeded,no,Name appears in a quoted 基地配備 form; preserve as alias evidence pending human canonical decision.
registry_expansion_gate_v1,GSP008,C015,S113,https://www.miyakomainichi.com/news/post-82976,integrated_or_existing,ai_seeded,no,Existing S113 can be reused; joint action is not a stable alliance and the two organizations must not be merged.
registry_expansion_gate_v1,GSP009,C015,S211,https://www.min-iren.gr.jp/news-press/genki/20180731_35632.html,integrated_or_existing,ai_seeded,no,"Independent organizational mention; publisher has an advocacy position, so use for continuity and attributed statement only."
registry_expansion_gate_v1,GSP010,C015,S212,https://ryukyushimpo.jp/news/entry-892189.html,integrated_or_existing,ai_seeded,no,Participation/remarks at one event do not establish alliance ties.
registry_expansion_gate_v1,GSP011,C029,S213,https://www.npo-homepage.go.jp/npoportal/detail/047024579,integrated_or_existing,ai_seeded,no,Legal continuity does not prove substantive current activity.
registry_expansion_gate_v1,GSP012,C029,S214,https://www.npo-homepage.go.jp/npoportal/document/047024579/hokoku/2024700/2024%E5%B9%B4%E5%BA%A6%E4%BA%8B%E6%A5%AD%E5%A0%B1%E5%91%8A%E6%9B%B8%E7%AD%89.pdf,integrated_or_existing,ai_seeded,no,Negative continuity evidence; it must be carried into any actor note.
registry_expansion_gate_v1,GSP013,C029,S215,https://iwj.co.jp/wj/open/archives/177154,integrated_or_existing,ai_seeded,no,An event organizer role is not proof of continued post-2014 activity or a stable alliance.
registry_expansion_gate_v1,GSP014,C030,S216,https://www.npo-homepage.go.jp/npoportal/gyosei-print/047024571,integrated_or_existing,ai_seeded,no,Current dissolution status blocks silent use as a current actor.
