source_id,source_type,title,year,service_actor_ids,accountability_actor_ids,overlap_status,interpretation_limit,package_scope,package_claim_status,frontend_eligibility
S003,ngo_statement,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,2010,,A003;A005;A006,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,2015,,A004;A021;A022;A023;A024;A025;A027;A028;A029,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S005,ngo_statement,Peace Boat statement on Henoko emergency NGO declaration,2015,,A007,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S006,international_advocacy,OEJP 71 organizations MMC request,2020,,A001;A020,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S007,academic_article,The Plight of the Okinawa Dugong,2020,,A001;A002;A020,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S008,local_news,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,2020,,A001;A019,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S009,legal_international,Earthjustice dugong litigation explainer,2014,,A009,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S010,local_news,与那国町住民投票 自衛隊配備 結果は「賛成」多数,2015,,A014,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S015,party_news,与那国に自衛隊いらない／配備反対の意見広告呼びかけ,2012,,A015,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S016,local_news,石垣自衛隊配備 初の市民討論会,2016,,A010,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S017,local_news,石垣陸自配備 市民が工事中止要請,2020,,A010,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S018,local_news,石垣市 住民投票条例案 市議会で否決,2019,,A011,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S019,local_news,有効署名１万４千筆超　２０日に条例制定請求　住民投票、来月の議会で審議　石垣陸自配備,2018,,A011,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S020,local_news,陸自配備阻止訴え 宮古で集会 市民 地下水保全求め,2016,,A012,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S021,party_news,ミサイル基地いらない 宮古島住民連絡会 結成集会,2016,,A013,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S022,organization_site,沖縄対話プロジェクト 公式ページ,2023,,A017,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S023,local_news,ノーモア沖縄戦 命どぅ宝の会 結成,2022,,A018,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S024,organization_site,台湾有事に備え 南西諸島の軍事化に懸念,2023,,A018,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S025,official_referendum,辺野古米軍基地建設のための埋立ての賛否を問う県民投票 結果,2019,,A051,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S026,local_news,嘉手納爆音訴訟 第三次 那覇地裁沖縄支部判決,2017,,A052,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S027,local_news,普天間爆音訴訟 第二次 那覇地裁判決,2016,,A053,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S028,local_news,高江ヘリパッド建設 住民らが抗議,2016,,A060,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S029,party_news,島ぐるみ会議 辺野古新基地反対で連帯,2015,,A059,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S031,organization_site,沖縄平和運動センター 公式,2026,,A047;A058,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S032,organization_site,新外交イニシアティブ（ND）公式サイト,2026,,A066,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S033,academic_article,Tanji Miyume: Myth Protest and Struggle in Okinawa,2006,,A056;A064,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S034,organization_site,沖縄意見広告運動 全国紙に一面広告,2010,,A057,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S036,local_news,南西諸島ピースネット 結成,2015,,A065,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S037,ngo_statement,沖縄弁護士会 辺野古新基地建設に関する会長声明・決議,2017,,A050,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S038,organization_site,一坪反戦地主会 軍用地契約拒否運動,1996,,A048;A063,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S039,academic_article,基地・軍隊を許さない行動する女たちの会 結成（Akibayashi）,1995,,A049,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S040,magazine_news,辺野古土砂搬入反対全国連絡協議会 結成,2015,,A067,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S041,organization_site,AWWA / OESC / NOSCO official sites and DVIDS reports,2024,X004;X017,,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S042,local_official,名護市民投票 基地建設反対が多数,1997,,A068,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S047,official_data,沖縄防衛局 辺野古新基地建設事業 環境影響評価書,2012,,A069,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S048,organization_site,Veterans for Peace Ryukyu/Okinawa Chapter Kokusai,2024,,A070,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S049,organization_site,ヘリ基地反対協議会 公式サイト,2026,,A019,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S050,encyclopedia,ヘリ基地反対協議会 Wikipedia,2026,,A019,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S052,organization_blog,与那国イソバの会 ブログ,2026,,A016,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S053,news,OESC donates $3250 to USO Okinawa,2025,X007,,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S054,nonprofit_record,OESC ProPublica Nonprofit Explorer,2026,X007,,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S055,organization_site,NOSCO AWWA page,2026,X004;X005;X016,,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S057,organization_site,ジュゴン保護キャンペーンセンター公式サイト,2026,,A002,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S058,ngo_directory,IUCN member page: Save the Dugong Campaign Center,2026,,A002,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S059,ngo_directory,GEOC団体情報: ジュゴン保護キャンペーンセンター,2019,,A002,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S060,legal_international,Earthjustice 2003 Okinawa Dugong lawsuit press release,2003,,A076;A086,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S064,ngo_statement,NGO非戦ネット 辺野古県民投票結果の尊重を求める声明,2019,,A008,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S065,organization_site,NGO非戦ネット 公式サイト,2026,,A008,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S066,ngo_report,アーユス NGO非戦ネット 2015 活動紹介,2015,,A008,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S067,ngo_statement,JVC NGO非戦ネット OSA反対声明 2023,2023,,A008,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
