review_item_id,task_id,record_id,election_year,actor_name,action_type_candidate,event_name,source_proposal_ids,review_question,publishable_if_accept,required_boundary,decision,human_reviewer,review_date,review_note,approved_formulation,scope_boundary,decision_source_report
HR026-01,HR-026,R9EC001,2014,沖縄『建白書』を実現し未来を拓く島ぐるみ会議,issue_campaign,島ぐるみ会議結成大会,R9EC_S002,"Should this remain an issue campaign rather than an endorsement, and is the election-adjacent wording sufficiently bounded?",Held a founding assembly to rebuild a long-term anti-base issue platform.,The source explicitly says the body was not directly election-purpose; do not code endorsement or vote mobilization.,accept_with_revision,项目负责人,2026-07-20,确认举行；issue_campaign；crosswalk=A059；使用正式全称 | 边界：S249 是预告，需补 QAB 当日报道；明确不是直接知事选目的,确认举行；issue_campaign；crosswalk=A059；使用正式全称,S249 是预告，需补 QAB 当日报道；明确不是直接知事选目的,docs/human_review_return_HR026_election_batch24_v1.md
HR026-02,HR-026,R9EC002,2014,翁長雄志さんを沖縄県知事に送る女性要請団,request,女性団体による翁長雄志氏出馬要請,R9EC_S003;R9EC_S004,"Does the record support a request to the stated target, and is proposal drafting distinguished from delivery/acceptance?",Publicly requested that Onaga enter the gubernatorial race.,A request to stand is not itself a stable alliance; the reported 52 groups/individuals are not a verified roster.,accept,项目负责人,2026-07-20,request；临时请求 collective | 边界：“52 团体和个人”不是组织名单；不等于稳定联盟,request；临时请求 collective,“52 团体和个人”不是组织名单；不等于稳定联盟,docs/human_review_return_HR026_election_batch24_v1.md
HR026-03,HR-026,R9EC003,2014,ひやみかち うまんちゅの会 女性局,endorsement,女性大集会,R9EC_S005,"Does the cited record support explicit candidate endorsement, and is the actor name/entity boundary publishable as written?",Held a women-focused public assembly explicitly calling for the candidate's victory.,Single party-media source; do not convert 29 participating groups into registry actors or a stable coalition.,accept,项目负责人,2026-07-20,endorsement；campaign event node | 边界：单一党派媒体 E2；29 团体不进入 registry,endorsement；campaign event node,单一党派媒体 E2；29 团体不进入 registry,docs/human_review_return_HR026_election_batch24_v1.md
HR026-04,HR-026,R9EC004,2014,ゆんたくるー,observation,県知事選前の辺野古・高江フィールド学習バス,R9EC_S006,Does the record support the bounded observation/information role without turning it into endorsement or effect?,Organized a youth field-learning and peer-dialogue bus activity before the election.,"The dates bound formation and pre-election activity, not an exact tour day; no turnout or vote effect is claimed.",accept,项目负责人,2026-07-20,observation；青年现场学习／同辈对话 | 边界：只有 bounded window，没有精确 tour 日期；不推断选票效果,observation；青年现场学习／同辈对话,只有 bounded window，没有精确 tour 日期；不推断选票效果,docs/human_review_return_HR026_election_batch24_v1.md
HR026-05,HR-026,R9EC005,2014,新日本婦人の会,observation,県知事選結果に関する談話,R9EC_S007,Does the record support the bounded observation/information role without turning it into endorsement or effect?,Published an organizational interpretation and self-reported nationwide/Okinawa member activity.,Self-report supports the statement and claimed participation only; it cannot establish participation scale or causal effect.,accept_with_revision,项目负责人,2026-07-20,国家级组织的 observation／选后解释 | 边界：不 crosswalk 到 A115；冲绳县本部活动只作为国家组织自报,国家级组织的 observation／选后解释,不 crosswalk 到 A115；冲绳县本部活动只作为国家组织自报,docs/human_review_return_HR026_election_batch24_v1.md
HR026-06,HR-026,R9EC006,2018,辺野古新基地を造らせないオール沖縄会議,issue_campaign,埋立承認撤回支持の緊急集会,R9EC_S009,"Should this remain an issue campaign rather than an endorsement, and is the election-adjacent wording sufficiently bounded?",Held a rally and adopted an appeal supporting the announced revocation.,Policy-act support is not coded as candidate endorsement and is not evidence of electoral effect.,accept,项目负责人,2026-07-20,issue_campaign；支持知事行政行为 | 边界：不是候选 endorsement；不推断选举效果,issue_campaign；支持知事行政行为,不是候选 endorsement；不推断选举效果,docs/human_review_return_HR026_election_batch24_v1.md
HR026-07,HR-026,R9EC007,2018,辺野古新基地を造らせないオール沖縄会議,issue_campaign,土砂投入を許さない8.11県民大会,R9EC_S010,"Should this remain an issue campaign rather than an endorsement, and is the election-adjacent wording sufficiently bounded?",Convened an issue rally and memorial after Governor Onaga's death.,Election proximity does not make this a candidate endorsement; participant counts and political effects are excluded.,accept,项目负责人,2026-07-20,issue_campaign；反土砂投入／追悼语境 | 边界：临近选举不改变动作类型；排除人数与效果,issue_campaign；反土砂投入／追悼语境,临近选举不改变动作类型；排除人数与效果,docs/human_review_return_HR026_election_batch24_v1.md
HR026-08,HR-026,R9EC008,2018,県政与党等の調整会議,request,玉城デニー氏への出馬要請,R9EC_S011,"Does the record support a request to the stated target, and is proposal drafting distinguished from delivery/acceptance?",Selected Tamaki and formally requested that he stand.,"This temporary party-labor-business council is an event node, not an NGO or stable alliance.",accept,项目负责人,2026-07-20,request；temporary mixed event node | 边界：8 月 23 日只确认正式请求，当时尚未确认接受,request；temporary mixed event node,8 月 23 日只确认正式请求，当时尚未确认接受,docs/human_review_return_HR026_election_batch24_v1.md
HR026-09,HR-026,R9EC009,2018,#みんなごと 若者が考える（沖縄県）知事選,public_meeting,県知事候補者2名による公開討論会と振り返り,R9EC_S012,"Does the source support this public-meeting role without implying neutrality, persuasion or candidate uptake beyond the record?",Observed a two-candidate debate and held a structured post-debate clarification session.,The source masks candidate names; generic candidate nodes are retained and neutrality is not independently audited.,accept,项目负责人,2026-07-20,public_meeting；civic-learning role | 边界：候选人匿名；不声称中立性已独立审核,public_meeting；civic-learning role,候选人匿名；不声称中立性已独立审核,docs/human_review_return_HR026_election_batch24_v1.md
HR026-10,HR-026,R9EC010,2018,#みんなごと 若者が考える（沖縄県）知事選,request,公開ワークショップ：知事候補者への政策提言案作成,R9EC_S012,"Does the record support a request to the stated target, and is proposal drafting distinguished from delivery/acceptance?",Held a 34-person public workshop to draft policy proposals for candidates.,Drafting a proposal is coded as a request candidate only; delivery/acceptance by each candidate is not established.,accept_with_revision,项目负责人,2026-07-20,粗类保留 request，role=policy_proposal_drafter | 边界：只确认起草提言案；不写交付、接受、候选 uptake,粗类保留 request，role=policy_proposal_drafter,只确认起草提言案；不写交付、接受、候选 uptake,docs/human_review_return_HR026_election_batch24_v1.md
HR026-11,HR-026,R9EC011,2018,#みんなごと 若者が考える（沖縄県）知事選,observation,新聞企画：候補者政策比較と政策提言の公開,R9EC_S012,Does the record support the bounded observation/information role without turning it into endorsement or effect?,Published a comparison of candidate positions and the project's policy proposals.,"Information production is observable; readership, persuasion, turnout and vote effects are not.",accept_with_revision,项目负责人,2026-07-20,日期改为 9/12–9/19：先比较候选政策，再公开政策提言 | 边界：不声称阅读量、中立性认证、说服或效果,日期改为 9/12–9/19：先比较候选政策，再公开政策提言,不声称阅读量、中立性认证、说服或效果,docs/human_review_return_HR026_election_batch25_v1.md
HR026-12,HR-026,R9EC012,2018,新日本婦人の会,observation,県知事選結果に関する声明,R9EC_S013,Does the record support the bounded observation/information role without turning it into endorsement or effect?,Published a post-result interpretation and self-reported organization-wide support activity.,Self-report supports only the organization's stated activity; it cannot identify scale or effect.,accept_with_revision,项目负责人,2026-07-20,国家组织；署名中央常任委员会；不 crosswalk A115 | 边界：组织自报全国行动不证明规模或因果,国家组织；署名中央常任委员会；不 crosswalk A115,组织自报全国行动不证明规模或因果,docs/human_review_return_HR026_election_batch25_v1.md
HR026-13,HR-026,R9EC013,2022,沖縄の輝く未来をつくる女性たちの会,request,女性団体有志による玉城知事出馬要請,R9EC_S015,"Does the record support a request to the stated target, and is proposal drafting distinguished from delivery/acceptance?",Held a gathering and requested that the incumbent stand for re-election.,The ad hoc body remains event-only; membership and continuity are not inferred.,accept,项目负责人,2026-07-20,request；具名 ad hoc collective | 边界：玉城当时只说考虑；不推断成员名单或持续性,request；具名 ad hoc collective,玉城当时只说考虑；不推断成员名单或持续性,docs/human_review_return_HR026_election_batch25_v1.md
HR026-14,HR-026,R9EC014,2022,全日本民主医療機関連合会,endorsement,沖縄県知事選勝利で基地のない平和で誇りある沖縄を,R9EC_S016,"Does the cited record support explicit candidate endorsement, and is the actor name/entity boundary publishable as written?",Convened a nationwide online meeting explicitly calling for Tamaki's re-election.,"Reported access points do not equal persons, voters or persuasion; no electoral effect is inferred.",accept,项目负责人,2026-07-20,国家组织 endorsement | 边界：436 个接入点不是人数、选民或效果,国家组织 endorsement,436 个接入点不是人数、选民或效果,docs/human_review_return_HR026_election_batch25_v1.md
HR026-15,HR-026,R9EC015,2022,辺野古新基地を造らせないオール沖縄会議,issue_campaign,復帰50年！新たな基地負担を許さない県民大会,R9EC_S017;R9EC_S018,"Should this remain an issue campaign rather than an endorsement, and is the election-adjacent wording sufficiently bounded?",Convened an online issue meeting on base burden and the design-change dispute.,"Organizer framing is issue campaign, while political actors disputed whether it functioned as an election rally; HR-026 must decide wording.",accept_with_revision,项目负责人,2026-07-20,保留 issue_campaign，增加 election-adjacent contested reception | 边界：原始声明无连任号召；政治评价不等于组织目的,保留 issue_campaign，增加 election-adjacent contested reception,原始声明无连任号召；政治评价不等于组织目的,docs/human_review_return_HR026_election_batch25_v1.md
HR026-16,HR-026,R9EC016,2022,新日本婦人の会,endorsement,二度と戦場にしない平和で誇りある豊かな沖縄を,R9EC_S019,"Does the cited record support explicit candidate endorsement, and is the actor name/entity boundary publishable as written?",Published an explicit re-election call and requests for nationwide support and diffusion.,"Observable endorsement only; audience reach, compliance and vote effects are not established.",accept_with_revision,项目负责人,2026-07-20,国家组织的明确 endorsement；不 crosswalk A115 | 边界：全国声援、扩散与募金号召不证明执行或效果,国家组织的明确 endorsement；不 crosswalk A115,全国声援、扩散与募金号召不证明执行或效果,docs/human_review_return_HR026_election_batch25_v1.md
