actor_id,canonical_name,conflict_type,selected_url,alternative_urls_or_refs,recommended_action,status
A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,multiple_plausible_domains,http://www.sdcc.jp/,http://www.sdcc.jp/; https://iucn.org/our-union/members/iucn-members/save-dugong-campaign-center; https://www.geoc.jp/rashinban/dantai_detail_591.html,Human reviewer should confirm which domain is organization-owned and current.,open_candidate
A011,石垣市住民投票を求める会,rejected_archive_mismatch,,S051 resolves to an unrelated domain and must not support A011.,Retain as candidate and resolve through field-level human review before default frontend publication.,open_candidate
A040,Forum for Protection of Public Interest (Pro Public),multiple_plausible_domains,https://propublic.org/,https://propublic.org/; https://www.foei.org/member-groups/nepal/,Human reviewer should confirm which domain is organization-owned and current.,open_candidate
A046,Pro Natura,multiple_plausible_domains,https://iucn.org/our-union/members/iucn-members/pro-natura-friends-earth-switzerland,https://iucn.org/our-union/members/iucn-members/pro-natura-friends-earth-switzerland; https://www.foei.org/member-groups/switzerland/,Human reviewer should confirm which domain is organization-owned and current.,open_candidate
A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),parent_page_only,https://www.veteransforpeace.org/who-we-are/2025-online-business-meeting/resolution-2025-1-us-military-expansion-and-environmental-destruction-okinawa,The selected Veterans For Peace page names VFP-ROCK but is not a dedicated chapter website.,Retain as candidate and resolve through field-level human review before default frontend publication.,open_candidate
A086,Turtle Island Restoration Network,direct_site_missing_from_actor_refs,https://seaturtles.org/,"The direct TIRN site is supported elsewhere in the source log (S228), not in the actor's central source_refs.",Retain as candidate and resolve through field-level human review before default frontend publication.,open_candidate
A104,普天間基地爆音訴訟弁護団,parent_network_page_only,https://www.kogai-net.com/sokai-document/document38/38-200/38-223/,"The legal-team page is hosted by the national pollution-lawyers network, not an independent team site.",Retain as candidate and resolve through field-level human review before default frontend publication.,open_candidate
A107,沖縄YWCA,parent_page_only,https://www.ywca.or.jp/kaze/0214news-2/,The selected page is Japan YWCA's profile of Okinawa YWCA.,Retain as candidate and resolve through field-level human review before default frontend publication.,open_candidate
A109,第4次嘉手納基地爆音差止訴訟弁護団,related_case_page_only,https://kadena-bakuon.jp/,"The selected page belongs to the plaintiff association and establishes the case context, not an independent legal-team site.",Retain as candidate and resolve through field-level human review before default frontend publication.,open_candidate
A114,全日本港湾労働組合沖縄地方本部,parent_page_only,https://www.zenkowan.org/wp-content/uploads/2025/06/%E6%B2%96%E7%B8%84%E5%9C%B0%E6%96%B9%E3%80%80%E6%AF%94%E5%98%89%E5%8B%81%E5%B8%8C.pdf,"The selected item is a national union-hosted Okinawa branch report, not a branch homepage.",Retain as candidate and resolve through field-level human review before default frontend publication.,open_candidate
A115,新日本婦人の会沖縄県本部,parent_page_only,https://www.shinfujin.gr.jp/about/organization,"The selected page establishes the national association's prefectural structure, not an Okinawa headquarters homepage.",Retain as candidate and resolve through field-level human review before default frontend publication.,open_candidate
X001,USO Okinawa,unresolved_legacy_source_ref,https://okinawa.uso.org/,X001,Keep the legacy reference for provenance; add a central S-id only after source-log review.,open_candidate
X002,Phoenix Corporation / Phoenix Park Hotel,unresolved_legacy_source_ref,,X002,Keep the legacy reference for provenance; add a central S-id only after source-log review.,open_candidate
X003,American Engineering Corporation AEC,unresolved_legacy_source_ref,https://www.aec-japan.co.jp/,X003,Keep the legacy reference for provenance; add a central S-id only after source-log review.,open_candidate
X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),multiple_plausible_domains,https://nosco.wildapricot.org/awwa,https://nosco.wildapricot.org/awwa; https://www.facebook.com/AmericanWelfareandWorksAssociation/,Human reviewer should confirm which domain is organization-owned and current.,open_candidate
X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),related_page_vs_independent_site,https://nosco.wildapricot.org/awwa,Selected NOSCO's AWWA page; S041 is third-party and S073 is an official social account. No independent AWWA website is established.,Retain as candidate and resolve through field-level human review before default frontend publication.,open_candidate
X005,Naval Officers' Spouses' Club of Okinawa NOSCO,source_ref_page_mismatch,https://nosco.wildapricot.org/About-Us,"S055 is NOSCO's AWWA page, not NOSCO's About page; current NOSCO page is a new unarchived candidate.",Retain as candidate and resolve through field-level human review before default frontend publication.,open_candidate
X007,Okinawa Enlisted Spouses' Club (OESC),source_type_misclassification,https://www.okinawaesc.com/,S041 is a third-party Okinawa Hai article despite its historical organization_site label.,Retain as candidate and resolve through field-level human review before default frontend publication.,open_candidate
X008,American Red Cross Okinawa,unresolved_legacy_source_ref,https://okinawa.tricare.mil/About-Us/Employment-Opportunities/Volunteer-Red-Cross,X008,Keep the legacy reference for provenance; add a central S-id only after source-log review.,open_candidate
X009,Navy-Marine Corps Relief Society Okinawa,unresolved_legacy_source_ref,https://www.nmcrs.org/locations/okinawa-japan,X009,Keep the legacy reference for provenance; add a central S-id only after source-log review.,open_candidate
X010,沖縄NGOセンター,unresolved_legacy_source_ref,https://www.oki-ngo.org/,X010,Keep the legacy reference for provenance; add a central S-id only after source-log review.,open_candidate
X011,JICA沖縄,unresolved_legacy_source_ref,https://www.jica.go.jp/domestic/okinawa/index.html,X011,Keep the legacy reference for provenance; add a central S-id only after source-log review.,open_candidate
X012,TOMODACHI Initiative,unresolved_legacy_source_ref,https://www.usjapancouncil.org/tomodachi/,X012,Keep the legacy reference for provenance; add a central S-id only after source-log review.,open_candidate
X016,Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC),multiple_plausible_domains,https://www.moscoki.com/,https://nosco.wildapricot.org/awwa; https://www.moscoki.com/,Human reviewer should confirm which domain is organization-owned and current.,open_candidate
X017,Army Community Group of Okinawa (ACGO),no_current_official_page,,Exact-name search found registry/news traces but no qualifying current organization-owned page.,Retain as candidate and resolve through field-level human review before default frontend publication.,open_candidate
