role_id,case_id,stage_id,actor_id,entity_id,entity_name,entity_kind,role_type,role_scope,source_refs,evidence_level,review_status,needs_local_retrieval,interpretation_limit,notes
R9R001,R9C_NAGO_1997,R9ST001,A068,,名護市民投票推進協議会,registry_actor_mapping_pending,initiative_and_signature_organizer,1997 direct-request process,R9S001,E4,needs_human_review,no,官方事件名与A068现规范名不一致；改名、alias或拆分由人工决定。,
R9R002,R9C_NAGO_1997,R9ST001,,R9E001,宮城康博,individual,formal_request_representative,1997 direct-request initiation,R9S001,E4,accepted,no,个人角色不建立person registry，也不自动转嫁给A068以外的组织。,
R9R003,R9C_NAGO_1997,R9ST002,,R9E002,名護市選挙管理委員会,government_body,signature_verifier_and_vote_administrator,signature and vote stages,R9S001;R9S022,E4,accepted,no,制度执行角色，不是运动 actor。,
R9R004,R9C_NAGO_1997,R9ST003,,R9E003,名護市議会,council,ordinance_decision_body,council ordinance stage,R9S001,E4,accepted,no,记录议决，不把议会整体写成公民组织盟友或对手。,
R9R005,R9C_NAGO_1997,R9ST006,,R9E004,比嘉鉄也,individual,mayor_and_post_result_decision_maker,post-result executive stage,R9S002,E4,accepted,no,个人行政决定不转写为任何组织角色。,
R9R006,R9C_YONAGUNI_2015,R9ST007,A015,,与那国自衛隊配備反対意見広告実行委員会,registry_actor,opinion_ad_committee,2012 public-opinion mobilization,R9S034,E2,needs_human_review,yes,单一政党媒体来源；Yaeyama/Ishigaki主导与Yonaguni目标地点必须区分，不与A014合并。,
R9R007,R9C_YONAGUNI_2015,R9ST010,A014,,住民投票を成功させるための実行委員会,registry_actor,opposition_campaign_committee,2015 referendum campaign,R9S032,E2,needs_human_review,yes,只确认事件期公开名称与反对侧运动角色；不得写成正式发起者或实施者。,
R9R008,R9C_YONAGUNI_2015,R9ST010,,R9E005,上地国生,individual,reported_committee_chair,2015 campaign,R9S032,E2,needs_human_review,yes,同期媒体称委员长；个人角色不替代A014组织身份、成员与持续性证据。,
R9R009,R9C_YONAGUNI_2015,R9ST008,,R9E006,与那国町議会,council,ordinance_decision_body,ordinance and amendments,R9S005,E3,accepted,yes,现依据为大学法规数据库，需町议会原始记录。,
R9R010,R9C_YONAGUNI_2015,R9ST011,,R9E007,与那国町選挙管理委員会,government_body,vote_administrator,vote stage,R9S005,E3,accepted,yes,制度角色来自条例文本；投票结果表仍待当地调取。,
R9R011,R9C_YONAGUNI_2015,R9ST013,,R9E008,外間守吉,individual,mayor_and_post_result_interpreter,post-result stage,R9S006,E4,accepted,no,町长解释不是全体町民共识。,
R9R012,R9C_PREF_2019,R9ST014,A051,,「辺野古」県民投票の会,registry_actor,initiative_signature_and_direct_request_organizer,initiative through direct request,R9S030;R9S031,E4,accepted,no,"33名请求代表和92,848名签名者不自动等于组织成员。",
R9R013,R9C_PREF_2019,R9ST014,,R9E009,元山仁士郎,individual,organization_representative_and_direct_request_representative,initiative through direct request,R9S030;R9S031,E4,accepted,no,个人代表角色不替代组织全体成员或持续性证据。,
R9R014,R9C_PREF_2019,R9ST014,,R9E010,安里長従,individual,organization_deputy_representative_and_direct_request_representative,initiative through direct request,R9S030;R9S031,E4,accepted,no,只限官方记录的事件期角色。,
R9R015,R9C_PREF_2019,R9ST014,,R9E011,中村昌樹,individual,organization_affiliate_and_direct_request_representative,initiative through direct request,R9S030;R9S031,E4,accepted,no,使用官方记录所载身份，不外推组织职衔。,
R9R016,R9C_PREF_2019,R9ST016,,R9E012,33名条例制定請求代表者,resident_collective,formal_request_representatives,direct request,R9S031,E4,accepted,no,请求代表集合不是A051成员名册。,
R9R017,R9C_PREF_2019,R9ST017,,R9E013,沖縄県議会,council,ordinance_decision_body,ordinance and amendment,R9S010;R9S011,E4,accepted,no,议会是制度转换场域，不是公民组织。,
R9R018,R9C_PREF_2019,R9ST019,,R9E014,沖縄県知事・県民投票事務局,government_body,executive_vote_administration_and_result_notifier,implementation and notification,R9S012,E4,accepted,no,行政执行与公民发起分开编码。,
R9R019,R9C_PREF_2019,R9ST015,,R9E015,県内市町村選挙管理委員会,government_collective,signature_verification_and_local_execution,signature and vote stages,R9S013;R9S012,E4,accepted,no,市町村在实施争议中的选择不同，不能写成单一政治立场。,
R9R020,R9C_ISHIGAKI_2018_2024,R9ST021,A011,,石垣市住民投票を求める会,registry_actor,signature_and_referendum_campaign_organizer,2018 public campaign,R9S020;R9S029,E3,needs_human_review,yes,组织不自动等于27名请求代表、全部签名居民或法院原告；S051不可用。,
R9R021,R9C_ISHIGAKI_2018_2024,R9ST022,,R9E016,27名の実施請求代表者,resident_collective,formal_request_representatives,direct request,R9S015,E4,accepted,no,法院程序事实不建立与A011成员的逐一映射。,
R9R022,R9C_ISHIGAKI_2018_2024,R9ST022,,R9E017,中山義隆・石垣市長,individual,request_receiver_and_first_bill_submitter,direct request and first council bill,R9S015;R9S023,E4,accepted,no,只记录程序行为；第二次条例案不是市长提交。,
R9R023,R9C_ISHIGAKI_2018_2024,R9ST024,,R9E018,石垣市議会の条例案提出議員,councillor_collective,second_ordinance_proposers,2019-06-17 councillor bill,R9S024,E4,accepted,no,市议员提案不能写成运动方直接提交，也不证明与A011稳定组织关系。,
R9R024,R9C_ISHIGAKI_2018_2024,R9ST023,,R9E019,石垣市議会,council,ordinance_decision_body,two rejections and 2021 amendment,R9S023;R9S024;R9S025,E4,accepted,no,记录具体议决，不把议会整体写成稳定阵营。,
R9R025,R9C_ISHIGAKI_2018_2024,R9ST025,,R9E020,第一訴訟の個人原告（請求代表者・署名者）,individual_plaintiff_collective,individual_plaintiffs,mandatory-order chain,R9S015,E4,accepted,no,法院匿名化个人；不得转嫁为A011组织原告角色。,
R9R026,R9C_ISHIGAKI_2018_2024,R9ST025,,R9E021,石垣市,government_body,defendant,mandatory-order chain,R9S015,E4,accepted,no,法律当事人角色不同于运动 actor 分类。,
