matrix_row_id,case_id,case_short_label,case_name,place,jurisdiction,channel_type,procedure_type,start_date,end_or_decision_date,target_actor_or_institution,controversy_translation,procedural_entry,role_id,entity_ref,entity_boundary,entity_kind,actor_name,role,role_family,side,target_or_recipient,observed_procedure_output,relief_or_disposition,result_component_1,result_component_2,result_boundary,case_source_refs,role_source_refs,case_evidence_level,role_evidence_level,case_review_status,role_review_status,human_decision,case_interpretation_limit,role_interpretation_limit
R8M001,R8C01,边野古／大浦湾儒艮,Okinawa Dugong v. Rumsfeld / Center for Biological Diversity v. Esper,Henoko; Oura Bay,United States; N.D. California; Ninth Circuit,international_legal,APA review of NHPA Section 402 compliance,2003-09-25,2020-05-06,U.S. Department of Defense,基地建设与儒艮影响 → 海外文化财程序义务,美国 NHPA §402／APA 联邦司法审查,R8R001,A045,registered_actor,registered_actor,Center for Biological Diversity,plaintiff,plaintiff,claimant,U.S. Department of Defense,形成 Section 402 可审查程序标准与公开记录,2020 年维持 DoD 胜诉；没有停止工程,程序产出：确认 Section 402 适用并形成可审查标准,最终处分：DoD 的 take-into-account 合规判断获维持,程序标准／信息生产与最终救济结果必须并列；不是阻止工程的政策效果。,S093;S128;S129,S128;S129,E4,E4,human_checked,human_checked,accept,HR-014 human check: the procedural route and information-production effect are accepted even though plaintiffs did not stop construction. Party roles are case-specific: A020 is a plaintiff and A009 is counsel here; A002 and A019 remain non-parties and must not inherit a plaintiff role from associated people or advocacy activity.,Party role is case-specific and does not by itself prove a stable alliance.
R8M002,R8C01,边野古／大浦湾儒艮,Okinawa Dugong v. Rumsfeld / Center for Biological Diversity v. Esper,Henoko; Oura Bay,United States; N.D. California; Ninth Circuit,international_legal,APA review of NHPA Section 402 compliance,2003-09-25,2020-05-06,U.S. Department of Defense,基地建设与儒艮影响 → 海外文化财程序义务,美国 NHPA §402／APA 联邦司法审查,R8R002,A086,registered_actor,registered_actor,Turtle Island Restoration Network,plaintiff,plaintiff,claimant,U.S. Department of Defense,形成 Section 402 可审查程序标准与公开记录,2020 年维持 DoD 胜诉；没有停止工程,程序产出：确认 Section 402 适用并形成可审查标准,最终处分：DoD 的 take-into-account 合规判断获维持,程序标准／信息生产与最终救济结果必须并列；不是阻止工程的政策效果。,S093;S128;S129,S128,E4,E4,human_checked,human_checked,accept,HR-014 human check: the procedural route and information-production effect are accepted even though plaintiffs did not stop construction. Party roles are case-specific: A020 is a plaintiff and A009 is counsel here; A002 and A019 remain non-parties and must not inherit a plaintiff role from associated people or advocacy activity.,Party role is case-specific.
R8M003,R8C01,边野古／大浦湾儒艮,Okinawa Dugong v. Rumsfeld / Center for Biological Diversity v. Esper,Henoko; Oura Bay,United States; N.D. California; Ninth Circuit,international_legal,APA review of NHPA Section 402 compliance,2003-09-25,2020-05-06,U.S. Department of Defense,基地建设与儒艮影响 → 海外文化财程序义务,美国 NHPA §402／APA 联邦司法审查,R8R003,A020,registered_actor,registered_actor,日本環境法律家連盟（JELF）,plaintiff,plaintiff,claimant,U.S. Department of Defense,形成 Section 402 可审查程序标准与公开记录,2020 年维持 DoD 胜诉；没有停止工程,程序产出：确认 Section 402 适用并形成可审查标准,最终处分：DoD 的 take-into-account 合规判断获维持,程序标准／信息生产与最终救济结果必须并列；不是阻止工程的政策效果。,S093;S128;S129,S128;S062,E4,E4,human_checked,human_checked,accept,HR-014 human check: the procedural route and information-production effect are accepted even though plaintiffs did not stop construction. Party roles are case-specific: A020 is a plaintiff and A009 is counsel here; A002 and A019 remain non-parties and must not inherit a plaintiff role from associated people or advocacy activity.,"HR-014: A020 is a named plaintiff in this Dugong case, not counsel. This case-specific plaintiff role does not transfer to Awase or other litigation."
R8M004,R8C01,边野古／大浦湾儒艮,Okinawa Dugong v. Rumsfeld / Center for Biological Diversity v. Esper,Henoko; Oura Bay,United States; N.D. California; Ninth Circuit,international_legal,APA review of NHPA Section 402 compliance,2003-09-25,2020-05-06,U.S. Department of Defense,基地建设与儒艮影响 → 海外文化财程序义务,美国 NHPA §402／APA 联邦司法审查,R8R004,A076,registered_actor,registered_actor,ジュゴン保護基金委員会（Save the Dugong Foundation）,plaintiff,plaintiff,claimant,U.S. Department of Defense,形成 Section 402 可审查程序标准与公开记录,2020 年维持 DoD 胜诉；没有停止工程,程序产出：确认 Section 402 适用并形成可审查标准,最终处分：DoD 的 take-into-account 合规判断获维持,程序标准／信息生产与最终救济结果必须并列；不是阻止工程的政策效果。,S093;S128;S129,S128;S062,E4,E4,human_checked,human_checked,accept,HR-014 human check: the procedural route and information-production effect are accepted even though plaintiffs did not stop construction. Party roles are case-specific: A020 is a plaintiff and A009 is counsel here; A002 and A019 remain non-parties and must not inherit a plaintiff role from associated people or advocacy activity.,Distinct from A002 SDCC.
R8M005,R8C01,边野古／大浦湾儒艮,Okinawa Dugong v. Rumsfeld / Center for Biological Diversity v. Esper,Henoko; Oura Bay,United States; N.D. California; Ninth Circuit,international_legal,APA review of NHPA Section 402 compliance,2003-09-25,2020-05-06,U.S. Department of Defense,基地建设与儒艮影响 → 海外文化财程序义务,美国 NHPA §402／APA 联邦司法审查,R8R005,A009,registered_actor,registered_actor,Earthjustice,counsel,counsel,claimant,U.S. Department of Defense,形成 Section 402 可审查程序标准与公开记录,2020 年维持 DoD 胜诉；没有停止工程,程序产出：确认 Section 402 适用并形成可审查标准,最终处分：DoD 的 take-into-account 合规判断获维持,程序标准／信息生产与最终救济结果必须并列；不是阻止工程的政策效果。,S093;S128;S129,S062,E4,E4,human_checked,human_checked,accept,HR-014 human check: the procedural route and information-production effect are accepted even though plaintiffs did not stop construction. Party roles are case-specific: A020 is a plaintiff and A009 is counsel here; A002 and A019 remain non-parties and must not inherit a plaintiff role from associated people or advocacy activity.,HR-014: Earthjustice is counsel in this case and is not a named plaintiff.
R8M006,R8C01,边野古／大浦湾儒艮,Okinawa Dugong v. Rumsfeld / Center for Biological Diversity v. Esper,Henoko; Oura Bay,United States; N.D. California; Ninth Circuit,international_legal,APA review of NHPA Section 402 compliance,2003-09-25,2020-05-06,U.S. Department of Defense,基地建设与儒艮影响 → 海外文化财程序义务,美国 NHPA §402／APA 联邦司法审查,R8R006,A002,registered_actor,registered_actor,ジュゴン保護キャンペーンセンター（SDCC）,non_party,non_party,support_context,U.S. Department of Defense,形成 Section 402 可审查程序标准与公开记录,2020 年维持 DoD 胜诉；没有停止工程,程序产出：确认 Section 402 适用并形成可审查标准,最终处分：DoD 的 take-into-account 合规判断获维持,程序标准／信息生产与最终救济结果必须并列；不是阻止工程的政策效果。,S093;S128;S129,S128;S062,E4,E4,human_checked,human_checked,accept,HR-014 human check: the procedural route and information-production effect are accepted even though plaintiffs did not stop construction. Party roles are case-specific: A020 is a plaintiff and A009 is counsel here; A002 and A019 remain non-parties and must not inherit a plaintiff role from associated people or advocacy activity.,HR-014: A002 remains a non-party here. The negative role prevents a false plaintiff label and does not deny advocacy outside the case.
R8M007,R8C01,边野古／大浦湾儒艮,Okinawa Dugong v. Rumsfeld / Center for Biological Diversity v. Esper,Henoko; Oura Bay,United States; N.D. California; Ninth Circuit,international_legal,APA review of NHPA Section 402 compliance,2003-09-25,2020-05-06,U.S. Department of Defense,基地建设与儒艮影响 → 海外文化财程序义务,美国 NHPA §402／APA 联邦司法审查,R8R007,A019,registered_actor,registered_actor,ヘリ基地反対協議会,non_party,non_party,support_context,U.S. Department of Defense,形成 Section 402 可审查程序标准与公开记录,2020 年维持 DoD 胜诉；没有停止工程,程序产出：确认 Section 402 适用并形成可审查标准,最终处分：DoD 的 take-into-account 合规判断获维持,程序标准／信息生产与最终救济结果必须并列；不是阻止工程的政策效果。,S093;S128;S129,S093;S128,E4,E3,human_checked,human_checked,accept,HR-014 human check: the procedural route and information-production effect are accepted even though plaintiffs did not stop construction. Party roles are case-specific: A020 is a plaintiff and A009 is counsel here; A002 and A019 remain non-parties and must not inherit a plaintiff role from associated people or advocacy activity.,HR-014: A019 remains a non-party. An associated individual's personal role must not be transferred to the organization.
R8M008,R8C02,边野古／大浦湾 EIA,Futenma Replacement Facility Henoko environmental impact assessment procedure,Henoko; Oura Bay,Japan; Okinawa Prefecture,EIA_administrative,method statement; draft EIA; corrected final EIA; formal environmental comments,2004-06-10,2013-02-12,Okinawa Defense Bureau; Minister of Defense; Minister of Environment; Governor of Okinawa,基地建设与生态影响 → 调查、预测、减缓充分性,日本 EIA 方法书／补正评价书正式意见,R8R008,A004,registered_actor,registered_actor,日本自然保護協会（NACSJ）,commenter,commenter,commenting_organization,Okinawa Defense Bureau; national and prefectural officials,NACSJ 的科学批评进入正式行政记录,补正 EIA 完成；不证明意见被采纳或工程停止,程序产出：2004／2013 正式意见进入 EIA 阶段,程序边界：行政机关完成并公布补正评价书,commenter、事业者和审查／收件机关不可合并；提交意见不等于采纳。,S130;S131;S132,S131;S132,E4,E4,human_checked,human_checked,accept,"HR-014 human check: the EIA procedure and NACSJ's dated commenter role are accepted. The existence of the procedure does not prove that every civic actor used it, and a formal comment does not establish that the proponent or review authority adopted the comment.",Formal comments prove procedural use not acceptance by the proponent.
R8M009,R8C02,边野古／大浦湾 EIA,Futenma Replacement Facility Henoko environmental impact assessment procedure,Henoko; Oura Bay,Japan; Okinawa Prefecture,EIA_administrative,method statement; draft EIA; corrected final EIA; formal environmental comments,2004-06-10,2013-02-12,Okinawa Defense Bureau; Minister of Defense; Minister of Environment; Governor of Okinawa,基地建设与生态影响 → 调查、预测、减缓充分性,日本 EIA 方法书／补正评价书正式意见,R8R009,P8E001,provisional_procedural_node,public_institution,Okinawa Defense Bureau,procedure_proponent,proponent,respondent_or_proponent,Public; Okinawa Prefecture,NACSJ 的科学批评进入正式行政记录,补正 EIA 完成；不证明意见被采纳或工程停止,程序产出：2004／2013 正式意见进入 EIA 阶段,程序边界：行政机关完成并公布补正评价书,commenter、事业者和审查／收件机关不可合并；提交意见不等于采纳。,S130;S131;S132,S130,E4,E4,human_checked,human_checked,accept,"HR-014 human check: the EIA procedure and NACSJ's dated commenter role are accepted. The existence of the procedure does not prove that every civic actor used it, and a formal comment does not establish that the proponent or review authority adopted the comment.",Government proponent is a procedural node not a civic actor.
R8M010,R8C02,边野古／大浦湾 EIA,Futenma Replacement Facility Henoko environmental impact assessment procedure,Henoko; Oura Bay,Japan; Okinawa Prefecture,EIA_administrative,method statement; draft EIA; corrected final EIA; formal environmental comments,2004-06-10,2013-02-12,Okinawa Defense Bureau; Minister of Defense; Minister of Environment; Governor of Okinawa,基地建设与生态影响 → 调查、预测、减缓充分性,日本 EIA 方法书／补正评价书正式意见,R8R010,P8E002,provisional_procedural_node,public_institution,Governor of Okinawa,comment_recipient_and_review_authority,institutional_recipient,institutional_recipient,Okinawa Defense Bureau,NACSJ 的科学批评进入正式行政记录,补正 EIA 完成；不证明意见被采纳或工程停止,程序产出：2004／2013 正式意见进入 EIA 阶段,程序边界：行政机关完成并公布补正评价书,commenter、事业者和审查／收件机关不可合并；提交意见不等于采纳。,S130;S131;S132,S130;S131,E4,E4,human_checked,human_checked,accept,"HR-014 human check: the EIA procedure and NACSJ's dated commenter role are accepted. The existence of the procedure does not prove that every civic actor used it, and a formal comment does not establish that the proponent or review authority adopted the comment.",Receipt/review role is not evidence that the governor adopted the NGO's conclusions.
