edge_id,actor_id,actor_name,actor_class,actor_origin_type,actor_review_status,place_id,place_name_original,place_name_registry,place_type,place_region,place_name_integrity,relation_basis_original,semantic_candidate_v1,semantic_candidate_zh,semantic_classification_basis,semantic_confidence,semantic_freeze_status,semantic_review_status,source_ref_original,evidence_level_original,edge_review_status_original,edge_review_layer,analysis_inclusion,claim_status,graph_eligibility,approved_formulation,confirmed_scope,missing_scope,dossier_place,interpretation_limit,notes_original
AP001,A001,Okinawa Environmental Justice Project,international_advocacy_actor,mixed_or_network,ai_seeded,P002,Henoko,Henoko,site,Nago,match,OEJP/MMC Henoko advocacy,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S006;S007;S008,E4,ai_seeded,candidate_edge,active,,,,,,,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,Core place.
AP002,A001,Okinawa Environmental Justice Project,international_advocacy_actor,mixed_or_network,ai_seeded,P003,Oura Bay,Oura Bay,site,Nago,match,OEJP/MMC dugong/Oura Bay advocacy,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S006;S007;S008,E4,ai_seeded,candidate_edge,active,,,,,,,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,Core place.
AP003,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,international_advocacy_actor,japan_domestic,human_revised,P002,Henoko,Henoko,site,Nago,match,Dugong protection campaign and Henoko/Oura Bay advocacy context,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S007;S057;S058;S059,E4,human_revised,human_reviewed_edge,active,,,,,,,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,HR-001 confirms advocacy focus; not a lawsuit plaintiff relation.
AP004,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,international_advocacy_actor,japan_domestic,human_revised,P003,Oura Bay,Oura Bay,site,Nago,match,Dugong habitat and advocacy context,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S007;S057;S058;S059,E4,human_revised,human_reviewed_edge,active,,,,,,,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,HR-001 confirms advocacy focus; not a lawsuit plaintiff relation.
AP005,A003,ジュゴンネットワーク沖縄,local_civic_actor,okinawa_local,needs_second_source,P001,Okinawa Prefecture,Okinawa Prefecture,prefecture,Okinawa,match,2010 WWF signatory context,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",human_confirmed,human_frozen,human_revised,S003,E3,human_revised,human_reviewed_edge,active,supported_bounded,administrative_record,A003 ジュゴンネットワーク沖縄→P001 unclear；执行 accept_with_revision：site_presence,A003 ジュゴンネットワーク沖縄→P001 unclear；执行 accept_with_revision：site_presence,"No headquarters, branch, alliance, political stance or causal effect beyond the approved place semantic.",,独立材料证明该组织长期在冲绳海域调查，并以组织身份参加政府交涉；不再仅靠 2010 共同署名,Okinawa network actor.
AP006,A003,ジュゴンネットワーク沖縄,local_civic_actor,okinawa_local,needs_second_source,P002,Henoko,Henoko,site,Nago,match,2010 WWF Henoko statement,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S003,E3,needs_second_source,candidate_edge,active,,,,,,,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,Place issue.
AP007,A004,日本自然保護協会,domestic_japan_ngo,japan_domestic,ai_seeded,P002,Henoko,Henoko,site,Nago,match,2015 NACSJ statement,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S004,E4,ai_seeded,candidate_edge,active,,,,,,,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,Statement place.
AP008,A004,日本自然保護協会,domestic_japan_ngo,japan_domestic,ai_seeded,P003,Oura Bay,Oura Bay,site,Nago,match,2015 NACSJ statement,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S004,E4,ai_seeded,candidate_edge,active,,,,,,,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,Statement place.
AP009,A005,WWFジャパン,domestic_japan_ngo,japan_domestic,ai_seeded,P002,Henoko,Henoko,site,Nago,match,2010 WWF statement,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S003,E4,ai_seeded,candidate_edge,active,,,,,,,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,Statement place.
AP010,A006,グリーンピース・ジャパン,domestic_japan_ngo,japan_domestic,ai_seeded,P002,Henoko,Henoko,site,Nago,match,2010 WWF statement,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S003,E4,ai_seeded,candidate_edge,active,,,,,,,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,Statement place.
