review_sensitivity_id,subset,actor_count,actor_issue_layer,edge_count_in_subset,x_measure,y_measure,spearman_rho,diagnostic_role,layer_review_boundary,proxy_boundary,crosswalk_boundary,research_status,claim_status,review_status,frontend_eligibility,central_writeback,interpretation_limit
PFH1R001,all_current_actors,121,active_283,283,linked_source_count,active_actor_issue_degree,0.401,construction_diagnostic,141 reviewed + 142 candidate edges,includes sources used by the actor-issue outcome,9 unresolved legacy-token actors retained,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Review-layer sensitivity of the encoded actor--issue object only; review selection is endogenous and documentation proxies do not measure staff capacity.
PFH1R002,all_current_actors,121,active_283,283,registry_source_count,active_actor_issue_degree,0.34,primary_registry_proxy,141 reviewed + 142 candidate edges,identity-layer S-source refs only,9 unresolved legacy-token actors retained,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Review-layer sensitivity of the encoded actor--issue object only; review selection is endogenous and documentation proxies do not measure staff capacity.
PFH1R003,all_current_actors,121,active_283,283,non_issue_linked_source_count,active_actor_issue_degree,0.078,primary_outcome_excluded_proxy,141 reviewed + 142 candidate edges,all linked S-sources minus actor-issue support sources,9 unresolved legacy-token actors retained,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Review-layer sensitivity of the encoded actor--issue object only; review selection is endogenous and documentation proxies do not measure staff capacity.
PFH1R004,all_current_actors,121,reviewed_141,141,linked_source_count,reviewed_actor_issue_degree,0.626,construction_diagnostic,120 human_checked + 21 human_revised edges,includes sources used by the actor-issue outcome,9 unresolved legacy-token actors retained,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Review-layer sensitivity of the encoded actor--issue object only; review selection is endogenous and documentation proxies do not measure staff capacity.
PFH1R005,all_current_actors,121,reviewed_141,141,registry_source_count,reviewed_actor_issue_degree,0.518,primary_registry_proxy,120 human_checked + 21 human_revised edges,identity-layer S-source refs only,9 unresolved legacy-token actors retained,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Review-layer sensitivity of the encoded actor--issue object only; review selection is endogenous and documentation proxies do not measure staff capacity.
PFH1R006,all_current_actors,121,reviewed_141,141,non_issue_linked_source_count,reviewed_actor_issue_degree,0.322,primary_outcome_excluded_proxy,120 human_checked + 21 human_revised edges,all linked S-sources minus actor-issue support sources,9 unresolved legacy-token actors retained,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Review-layer sensitivity of the encoded actor--issue object only; review selection is endogenous and documentation proxies do not measure staff capacity.
PFH1R007,all_current_actors,121,candidate_142,142,linked_source_count,candidate_actor_issue_degree,-0.351,construction_diagnostic,110 ai_seeded + 5 needs_local_retrieval + 27 needs_second_source edges,includes sources used by the actor-issue outcome,9 unresolved legacy-token actors retained,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Review-layer sensitivity of the encoded actor--issue object only; review selection is endogenous and documentation proxies do not measure staff capacity.
PFH1R008,all_current_actors,121,candidate_142,142,registry_source_count,candidate_actor_issue_degree,-0.309,primary_registry_proxy,110 ai_seeded + 5 needs_local_retrieval + 27 needs_second_source edges,identity-layer S-source refs only,9 unresolved legacy-token actors retained,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Review-layer sensitivity of the encoded actor--issue object only; review selection is endogenous and documentation proxies do not measure staff capacity.
PFH1R009,all_current_actors,121,candidate_142,142,non_issue_linked_source_count,candidate_actor_issue_degree,-0.322,primary_outcome_excluded_proxy,110 ai_seeded + 5 needs_local_retrieval + 27 needs_second_source edges,all linked S-sources minus actor-issue support sources,9 unresolved legacy-token actors retained,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Review-layer sensitivity of the encoded actor--issue object only; review selection is endogenous and documentation proxies do not measure staff capacity.
PFH1R010,resolved_reference_actors_only,112,active_283,273,linked_source_count,active_actor_issue_degree,0.37,construction_diagnostic,141 reviewed + 142 candidate edges,includes sources used by the actor-issue outcome,9 unresolved legacy-token actors excluded,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Review-layer sensitivity of the encoded actor--issue object only; review selection is endogenous and documentation proxies do not measure staff capacity.
