venue_id,venue_label,venue_group,definition,include_examples,exclude_examples,phase1_use,notes
V001,local_conflict_site,field_site,Physical site where conflict or on-site action is anchored.,Henoko; Oura Bay; Takae,A statement that merely mentions the place,R3/R4/R7,Site presence must be distinguished from advocacy target.
V002,public_statement_forum,civic_public_communication,Organization-hosted public statement or co-signatory publication venue.,WWF Japan statement page; NACSJ emergency statement,Stable coalition or permanent organization,R5/R6/R7,Co-signing records one event only.
V003,petition_or_request_submission,administrative_advocacy,"Formal request, petition or submission directed to an institution.",request letter; petition; administrative submission,Informal social-media support,R5/R7,Use with a named target institution where available.
V004,us_federal_advisory_or_scientific_body,international_institution,"U.S. federal advisory, scientific or expert institution receiving an Okinawa-related request.",U.S. Marine Mammal Commission,U.S. federal court,R6/R7,Venue and target may be the same institution.
V005,us_federal_court,legal_judicial,U.S. federal judicial venue for litigation.,Northern District of California; Ninth Circuit,Japanese court or an NGO legal statement,R6/R7/R8,"Party, counsel and non-party roles must remain distinct."
V006,japan_or_local_court,legal_judicial,Japanese national or local judicial venue.,Naha District Court; Fukuoka High Court Naha Branch,Administrative hearing or referendum,R7/R8,Needed for noise and environmental litigation expansion.
V007,prefectural_referendum,electoral_referendum,Prefecture-wide referendum process and official vote.,2019 Henoko prefectural referendum,Municipal referendum,R7/R9,"Separate initiator, electorate, administration and campaign roles."
V008,municipal_referendum,electoral_referendum,"Municipal referendum, direct-request or referendum-ordinance process.",Nago; Ishigaki; Yonaguni referendum processes,Prefecture-wide referendum,R7/R9,A referendum drive and a completed vote are different stages.
V009,newspaper_or_public_opinion_ad,media_public_opinion,Paid or organized opinion-advertising/public-opinion venue.,Yaeyama opinion advertisement,Routine news coverage,R7/R9,Publication outlet and committee identity still require local confirmation where noted.
V010,local_government_administration,administrative_government,"Prefectural or municipal administrative venue for commissions, collaboration or requests.",Okinawa Prefecture; Okinawa City,Movement coalition,R7/R10,Project cost is not automatically a contract payment.
V011,national_ministry_or_agency,administrative_government,Japanese national ministry or agency venue.,MOFA NGO consultant program,U.S. federal body,R7/R10,"Designation, commission and funding must be coded separately."
V012,environmental_assessment_or_policy_procedure,legal_administrative_procedure,"Environmental impact, permit or policy procedure outside ordinary litigation.",EIA; administrative review; policy consultation,Court lawsuit,R4/R7/R8,Seed taxonomy only; current actor-event rows do not yet cover this venue.
V013,transnational_ngo_advocacy_forum,transnational_civic,Cross-border NGO network or advocacy forum.,international NGO signatory network; conservation network,Intergovernmental or judicial institution,R6/R7/R11,Network appearance does not prove stable alliance.
V014,un_or_international_human_rights_mechanism,international_institution,UN or comparable international human-rights mechanism.,UN treaty body; special procedure,International NGO website,R6/R7/R8,Seed taxonomy only; no current event row mapped.
V015,public_policy_meeting_or_forum,civic_policy_forum,"Public meeting, symposium or policy forum where organizations address an audience or institution.",policy symposium; public briefing,Formal court or referendum,R7/R10/R11,Future expansion venue.
V016,service_charity_program_site,service_charity,"Program or facility venue for service, welfare or charity activity.",USO center; childcare center; welfare facility,Political stance or movement alliance,R7/R11,Observed service function does not imply political alignment.
