evidence_id,object_type,object_id,claim,source_id,evidence_summary_or_short_quote,source_locator,evidence_level,reviewer_status,notes,review_decision,human_reviewer,review_date,review_task_id,locator_status,interpretation_limit
EN0001,actor_issue_edge,AI001,OEJP links dugong protection to the Henoko dispute.,S006,The OEJP material presents Okinawa dugong protection as the subject of a civil-society request concerning Henoko/Oura Bay.,source_docs/source_archive/S006/raw_post.html — request/report description and participant material,E4,human_checked,Primary action page; wording is a short paraphrase.,accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0002,actor_issue_edge,AI002,OEJP used a U.S. federal institutional route.,S006,The material records a request/report directed to the U.S. Marine Mammal Commission.,source_docs/source_archive/S006/raw_post.html — request/report description and participant material,E4,human_checked,,accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0003,actor_place_edge,AP001,OEJP advocacy concerns Henoko.,S006,The request material identifies the Henoko base-construction context.,source_docs/source_archive/S006/raw_post.html — request/report description and participant material,E4,human_checked,,accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0004,actor_place_edge,AP002,OEJP advocacy concerns Oura Bay dugong habitat.,S006,The request material connects the dugong issue with the Oura Bay/Henoko habitat context.,source_docs/source_archive/S006/raw_post.html — request/report description and participant material,E4,human_checked,,accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0005,actor_issue_edge,AI008,NACSJ framed Henoko through biodiversity and marine protection.,S004,The emergency statement centers protection of the Henoko sea and lists participating NGOs.,source_docs/source_archive/S004/raw.html — emergency statement and 31-organization list,E4,human_checked,Statement participation does not prove stable alliance.,accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0006,actor_issue_edge,AI010,WWF Japan hosted a dugong/Henoko joint statement.,S003,WWF Japan published the 2010 statement opposing construction in dugong habitat at Henoko.,source_docs/source_archive/S003/raw.html — article body and organization list,E4,human_checked,,accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0007,actor_issue_edge,AI046,A019 has an on-site anti-base role at Henoko.,S049,The organization site describes the Henoko sit-in and maritime action history.,source_docs/source_archive/S049/raw.html — organization history and activity description,E4,human_checked,Upstream edge and this evidence note were human-reviewed under HR-015.,accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0008,actor_place_edge,AP026,A019 is publicly documented at the Henoko action site.,S049,The official site places the organization’s continuing activity at Henoko.,source_docs/source_archive/S049/raw.html — organization history and activity description,E4,human_checked,,accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0009,actor_issue_edge,AI128,The Kadena plaintiffs used litigation over aircraft-noise harm.,S026,The report covers the third Kadena noise-lawsuit judgment and claims for noise damage.,source_docs/source_archive/S026/raw.html — third Kadena noise-lawsuit judgment article,E3,human_checked,"News report, not primary judgment.",accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0010,actor_issue_edge,AI129,Kadena noise litigation expresses a daily-life and safety burden.,S026,The judgment report describes aircraft-noise damage claims by residents.,source_docs/source_archive/S026/raw.html — third Kadena noise-lawsuit judgment article,E3,human_checked,,accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0011,actor_issue_edge,AI131,The Futenma plaintiffs used litigation over aircraft-noise harm.,S027,The report covers the second Futenma noise-lawsuit judgment.,source_docs/source_archive/S027/raw.html — second Futenma noise-lawsuit judgment article,E3,human_checked,"News report, not primary judgment.",accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0012,actor_issue_edge,AI132,Futenma noise litigation expresses a daily-life and safety burden.,S027,The judgment report describes resident claims concerning base-aircraft noise.,source_docs/source_archive/S027/raw.html — second Futenma noise-lawsuit judgment article,E3,human_checked,,accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0013,actor_issue_edge,AI025,The Ishigaki group organized a referendum drive.,S018,The report identifies the referendum-ordinance process and its rejection by the city council.,source_docs/source_archive/S018/raw.html — council/referendum article body,E3,human_checked,,accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0014,actor_issue_edge,AI026,The Ishigaki drive used a local-autonomy/direct-request channel.,S019,"The report records 14,263 valid signatures and the direct-request procedure.",source_docs/source_archive/S019/raw.html — signature-count/direct-request article body,E3,human_checked,,accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0015,actor_issue_edge,AI028,Miyako deployment opposition was connected to groundwater protection.,S020,The article reports a Miyako rally calling both for stopping deployment and protecting groundwater.,source_docs/source_archive/S020/raw.html — Miyako rally and groundwater paragraph,E3,human_checked,Persistent organization identity still needs a second source.,accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0016,actor_issue_edge,AI030,The Miyako case translated deployment into a life-safety/water concern.,S020,Groundwater preservation appears as a public concern in the anti-deployment event.,source_docs/source_archive/S020/raw.html — Miyako rally and groundwater paragraph,E3,human_checked,,accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0017,actor_issue_edge,AI034,A Yonaguni referendum committee opposed JSDF deployment.,S069,The article identifies an opposition-side referendum committee and discusses the vote process.,source_docs/source_archive/S069/raw.html — referendum opposition-committee passage,E2,human_checked,Organization name/continuity requires local or primary confirmation.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,"E2 event-context evidence only; do not infer a stable organization, continuity, or a definite actor conclusion without local retrieval."
EN0018,actor_issue_edge,AI035,The Yonaguni case used referendum and local-autonomy framing.,S010,Mainstream local coverage confirms the municipal vote on JSDF deployment.,source_docs/source_archive/S010/raw.html — referendum result article body,E3,human_checked,"This source supports event context, not the committee’s full identity.",accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0019,actor_issue_edge,AI122,The Okinawa Bar Association used formal legal statements on Henoko.,S037,The association page collects president statements/resolutions concerning the Henoko new-base project.,source_docs/source_archive/S037/raw.html — Henoko president-statement/resolution page,E3,human_checked,,accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0020,actor_issue_edge,AI123,The bar-association intervention invokes prefectural decision and autonomy issues.,S037,The formal statements address the relationship between Henoko construction and Okinawa’s public/prefectural position.,source_docs/source_archive/S037/raw.html — Henoko president-statement/resolution page,E3,human_checked,,accept,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0021,actor_issue_edge,AI157,ND treats Okinawa base policy through legal and policy alternatives.,S032,The organization site presents research and policy advocacy on Okinawa base issues.,source_docs/source_archive/S032/raw.html — organization profile and Okinawa policy materials; exact page section needs pinpointing,E4,human_checked,Homepage-level locator is insufficient for a final evidence note.; HR-015: user requested no guessed page/section; exact locator remains pending.,revise,project_principal_user,2026-07-13,HR-015,needs_locator_revision,"Supports only the stated object and claim; do not infer a stable alliance, causal chain, or relationship beyond the cited evidence."
EN0022,event,EV2010_WWF_67,The 2010 source records a 67-group joint statement.,S003,The statement page contains a multi-organization participant list around Henoko/dugong protection.,source_docs/source_archive/S003/raw.html — article body and organization list,E4,human_checked,One-off co-signing only.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,The source supports publicly visible participation in this event only; co-occurrence or co-signing is not evidence of a stable alliance.
EN0023,event,EV2015_NACSJ_31,The 2015 source records a 31-NGO emergency statement.,S004,The statement page lists domestic and international NGO participants.,source_docs/source_archive/S004/raw.html — emergency statement and 31-organization list,E4,human_checked,One-off co-signing only.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,The source supports publicly visible participation in this event only; co-occurrence or co-signing is not evidence of a stable alliance.
EN0024,event,EV2020_OEJP_MMC_71,The 2020 source records a 71-organization request/report context.,S006,OEJP material documents a civil-society request to the Marine Mammal Commission and the participant context.,source_docs/source_archive/S006/raw_post.html — request/report description and participant material,E4,human_checked,Request participation does not establish stable alliance.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,The source supports publicly visible participation in this event only; co-occurrence or co-signing is not evidence of a stable alliance.
EN0025,actor_event_role,AEV0045,Center for Biological Diversity was a named plaintiff.,S129,The official Ninth Circuit opinion caption names the organization among Plaintiffs-Appellants.,"source_docs/source_archive/S129/raw.pdf — opinion p. 1 (PDF index 0), caption",E4,human_checked,HR-015 role and exact opinion locator confirmed against Ninth Circuit opinion No. 18-16836 (S129).,revise,project_principal_user,2026-07-13,HR-015,verified_exact_page,"Named organizational plaintiff role only; keep plaintiff, counsel, defendant, and non-party roles distinct."
EN0026,actor_event_role,AEV0046,Turtle Island Restoration Network was a named plaintiff.,S129,The official Ninth Circuit opinion caption names the organization among Plaintiffs-Appellants.,"source_docs/source_archive/S129/raw.pdf — opinion p. 1 (PDF index 0), caption",E4,human_checked,HR-015 role and exact opinion locator confirmed against Ninth Circuit opinion No. 18-16836 (S129).,revise,project_principal_user,2026-07-13,HR-015,verified_exact_page,"Named organizational plaintiff role only; keep plaintiff, counsel, defendant, and non-party roles distinct."
EN0027,actor_event_role,AEV0047,"JELF was a named plaintiff, not counsel.",S129,The official Ninth Circuit opinion caption names the organization among Plaintiffs-Appellants.,"source_docs/source_archive/S129/raw.pdf — opinion p. 1 (PDF index 0), caption",E4,human_checked,HR-015 role and exact opinion locator confirmed against Ninth Circuit opinion No. 18-16836 (S129).,revise,project_principal_user,2026-07-13,HR-015,verified_exact_page,"Named organizational plaintiff role only; keep plaintiff, counsel, defendant, and non-party roles distinct."
EN0028,actor_event_role,AEV0048,Save the Dugong Foundation was a named plaintiff.,S129,The official Ninth Circuit opinion caption names the organization among Plaintiffs-Appellants.,"source_docs/source_archive/S129/raw.pdf — opinion p. 1 (PDF index 0), caption",E4,human_checked,HR-015 role and exact opinion locator confirmed against Ninth Circuit opinion No. 18-16836 (S129).,revise,project_principal_user,2026-07-13,HR-015,verified_exact_page,"Named organizational plaintiff role only; keep plaintiff, counsel, defendant, and non-party roles distinct."
EN0029,actor_event_role,AEV0049,Earthjustice served as plaintiff-side counsel.,S129,The official Ninth Circuit opinion's counsel section names Earthjustice attorneys for Plaintiffs-Appellants.,"source_docs/source_archive/S129/raw.pdf — opinion p. 4 (PDF index 3), counsel section",E4,human_checked,HR-015 role and exact opinion locator confirmed against Ninth Circuit opinion No. 18-16836 (S129).,revise,project_principal_user,2026-07-13,HR-015,verified_exact_page,Counsel role only; counsel must not be recoded as a plaintiff or movement alliance.
