hr_id,decision_type,object_ids,object_name,proposed_decision,current_evidence,risk_if_wrong,principal_decision,principal_note,required_followup,url,locator,excerpt,source_date,evidence_level,claim_status,observed_at,review_status,package_scope,frontend_eligibility,interpretation_limit
SR-HR-001,actor_addition,SA010,Marine Thrift Shop Okinawa,add as service-side charity actor,official site + MCIPAC active roster + IRS-derived filing + dated military reporting,duplicates a program/shop or overstates autonomy,add_background_service_actor,新增 Marine Thrift Shop Okinawa 为基地社区服务背景 actor；canonical name=Marine Thrift Shop Okinawa；actor_class=base_community_service_actor；origin=us_origin；legal_status=us_501c3_nonprofit。只批准身份；不批准任何赠款、收款或 AWWA 关系边；不赋予亲反基地立场。,"confirm canonical name, actor class and local/national origin",https://marinethriftshopokinawa.org/,Mission; board; grants,Independent site and filing support organizational continuity.,current through FY2024,E4,awaiting_human_decision,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SR-HR-002,actor_addition,SA011,Marine Gift Shop,add only after status conflict is resolved,MCIPAC active roster + FY2025 filing + officers,current exempt status and relation to MOSCO/AWWA remain ambiguous,add_with_status_note,新增 Marine Gift Shop，并与 MOSCO、AWWA、Marine Thrift Shop 分开。现行 MCIPAC 名录和 FY2025 Form 990 支持持续运作；EIN 98-0016061 未见于 IRS 2026-08-11 EO BMF，当前联邦免税资格记 unresolved；历史章程不足以证明现行隶属，不新增结构边。,check IRS TEOS and MCIPAC authorization,https://projects.propublica.org/nonprofits/organizations/980016061,FY2025 filing and status warning,Current filing activity coexists with an exempt-list warning.,FY ending 2025-06,E4,awaiting_human_decision,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SR-HR-003,actor_or_program_node,SA012,Neighborhood Pantry – Camp Butler,retain as program node unless autonomy is confirmed,official program page + MCIPAC roster + 2024 leadership story,actorizes a project rather than an organization,add_actor,新增 Neighborhood Pantry – Camp Butler 为独立服务 actor。MCIPAC 将其单列为 ACTIVE private organization，且有具名负责人及 Foster/Kinser 两处持续服务；MTS 是捐赠和网页支持方、CARES 是协调框架、CLR-37 DRC office 是场地，均不编码为母组织；独立法人及税务状态未知。,"confirm governance, finances and legal status",https://marinethriftshopokinawa.org/neighborhood-pantry-camp-butler/,Program description,The pantry has a named program identity and two locations.,current page,E4,awaiting_human_decision,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SR-HR-004,actor_addition,SA013,NIOSC,add as background/service-side spouse club,official mission site + MCIPAC active roster,tax/legal status and current leadership incomplete,add_background_service_actor,新增 North Island Okinawa Spouses Club 为 base_spouse_club；origin=us_origin。North Island Officers Spouses Club 只作法律名或历史别名；官网 positive contribution 只作组织自述，不编码为地方接受或社会效果。,locate charter or filing,https://www.niosc.org/about-us,Mission and membership,The club describes current multi-service spouse activity and philanthropy.,accessed 2026-08-19,E4,awaiting_human_decision,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SR-HR-005,scope_boundary,SA014;SA015,AER Torii and AFAS Kadena,model as national actors with Okinawa service-presence records,official Military OneSource installation pages,inflates local NGO registry with national service organizations,national_actor_with_local_presence,AER 与 AFAS 均按 national actor with local presence 编码；Torii Station 和 Kadena 只建 service-presence或actor-place 记录并复用各自全国 actor ID，不另建冲绳地方法人。,apply one consistent national/local service-node rule,https://installations.militaryonesource.mil/military-installation/kadena-ab/base-essentials/emergency-assistance,Emergency assistance providers,Official directories confirm Okinawa service points.,accessed 2026-08-19,E4,awaiting_human_decision,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SR-HR-006,defer_or_add,SA016;SA017,Helping Japan International; OAO Civilian Welfare Council,defer pending independent identity/function source,current MCIPAC roster only,name-based actorization and wrong geography,defer_second_source,SA016 Helping Japan International 与 SA017 Okinawa Area Office Civilian Welfare Council 均 defer_second_source。HJI 法律身份已有 roster 与 IRS BMF 支持，但 HJI—HelpOki—冲绳功能桥接未证；OAO CWC 仍缺第二条一手身份或功能来源；不凭名称推定服务关系。,obtain authorization/charter or official site,https://www.okinawa.usmc-mccs.org/more/private-organizations,Active list,Roster entries lack a function description.,2026-08-01,E4,awaiting_human_decision,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SR-HR-007,lifecycle,SA009,ACGO,keep historical; no end date,filings through 2018; current roster absence; secondary departure lead,false dissolution or false current continuity,retain_historical_status_unknown,保留 Army Community Group of Okinawa 为 historical actor，current status unknown；FY2018 仅是 last-observed filing bound。当前 roster/BMF 缺席和历史自动撤销行均不证明解散；不设 end date，不认 successor。,seek AWWA/ACGO minutes or dated primary record,https://projects.propublica.org/nonprofits/organizations/261170858,Filing history,The filing series ends in 2018 without a dissolution record.,latest FY2018,E4,awaiting_human_decision,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SR-HR-008,funding_edge,RF001,"KOSC to AWWA, USD 2,580",accept after recipient-name and fiscal-period check,FY2025 Schedule I,misspelled endpoint or date-label error,defer_underlying_filing_or_crosswalk,2024-06-01—2025-05-31 Form 990 Schedule I Part III 个人援助表列有 American Womens Welfare Association 2580 美元，但无受款组织 EIN/地址且 Part IV line 21=No、line 22=Yes。名称可能对应 X004，申报结构却不支持组织间精确 flow；暂缓并保留 F025/F007 原边。,inspect underlying IRS form/XML and reconcile with F025,https://projects.propublica.org/nonprofits/full_text/202630129349300153/IRS990ScheduleI,AWWA entry,"The schedule lists 2,580 dollars for AWWA.",filed 2026-01-11,E4,awaiting_human_decision,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SR-HR-009,funding_edge,RF002,"OESC to AWWA, USD 8,479",accept after underlying-filing check,FY2025 Schedule I,incorrect payment semantics or endpoint,accept_new_dated_flow,接受 X007 OESC→X004 AWWA 的新有期组织 grant flow：USD 8479；amount_semantics=exact_reported；期间 2024-07-01—2025-06-30；申报日 2025-10-27。IRS Schedule I RecipientTable 明列 AWWA 名称、EIN 98-0227149 和金额；不推断下游用途、政治影响或其他年度关系。,inspect underlying IRS form/XML,https://projects.propublica.org/nonprofits/full_text/202513109349302911/IRS990ScheduleI,AWWA entry,"The schedule lists 8,479 dollars for AWWA.",FY ending 2025-06,E4,awaiting_human_decision,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SR-HR-010,structural_relation,SA010;X004,Marine Thrift Shop and AWWA,review current membership/contribution relation,shop site says member/contributor; military report describes AWWA role,"confuses membership, channel and annual payment",accept_membership_and_separate_channel_role,在 SA010 actor 获准基础上分别记录：X004 AWWA→SA010 MTS 的 network_membership；SA010→X004 的 contributing_member_to_grant_selection/distribution_channel。AWWA 不是 MTS 唯一或恒定渠道；不得合并成泛化合作、控制关系或稳定渠道；年度金额另建 flow。,separate affiliation from each annual flow,https://marinethriftshopokinawa.org/grants/,AWWA membership statement,The shop describes itself as an AWWA member and contributor.,accessed 2026-08-19,E4,awaiting_human_decision,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SR-HR-011,current_sponsor_edges,SA001,USO current sponsor roster,add only sponsors with dated tier and source snapshot,current USO office page names partner tiers,undated page drift and sponsorship interpreted as governance,accept_dated_sponsor_snapshot,接受 observed_at=2026-08-19 的定点快照。区域层 Matson、UMGC=Mission Partner；AIG Japan/AIG Auto Insurance=Community Partner。冲绳层 MBC=Platinum、X003 AEC=Silver、BILLABONG STORE Okinawa Rycom=Bronze。空层不造边；不由 tier 推断金额、起始日、治理、隶属或政治立场；既有 F034/F035/F002 不重复。,archive page and record observed date/tier,https://okinawa.uso.org/oao,Sponsors,"Current mission, community and tiered partners are named.",accessed 2026-08-19,E4,awaiting_human_decision,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
SR-HR-012,interpretive_gate,LC001-LC012,legitimation coding,publish L0 service facts and L1 discourse separately; keep L2 unconfirmed,six friendship/goodwill/relationship narratives plus service observations,turns charity into an assumed political effect,revise_gate_with_explicit_rule,采用 LEG0–LEG3 四级：LEG0=可核服务或转移事实；LEG1=行动方明示意图或公开叙事；LEG2=受益者、地方机构或独立媒体的接受、转述、抵制或重释，须记录反应对象和来源位置；LEG3=有重复、基线或比较设计的态度、行为或制度效果。当前 LC 表为 9 条 LEG1、3 条 LEG0；现有整行均不批准为效果结论；可另建 LEG2 research-only 候选，LEG3 仍为零；E0–E4 与 LEG 正交。,require recipient-side or audience evidence for L2,https://okinawa.uso.org/stories/6,Organizer relationship language,The sources contain relationship claims but no representative attitude measure.,2015-04-18 and later,E4,awaiting_human_decision,2026-08-19,ai_seeded,research_only,excluded_research_only,L0=service/transfer; L1=source narrative; L2=actual legitimating effect. Only L0/L1 are evidenced here.
SR-HR-013,recipient_identity_crosswalk,SR006;SR007;SR009;SR010,English-labelled Okinawan recipients,do not actorize until official Japanese identities are found,organization recipient pages,duplicate or mistranslated local organizations,SR006=defer_identity;SR007=accept_crosswalk_with_canonical_name;SR009=accept_crosswalk_with_canonical_name;SR010=accept_crosswalk_with_canonical_name,"SR006 暂缓：直接端更像 Kubasaki High School，NPO/ARU 是多跳下游标签，一般社団法人ある未完成身份和收款链桥接。SR007 规范为 沖縄小児在宅医療基金 てぃんさぐの会，任意団体，Tinsaku no Kai 为来源别名。SR009 规范为 Far East Council, Scouting America，复用 R_BSA_FAR_EAST，属于美国侧。SR010 规范为 一般社団法人Ｏｋｉ Ｈａｎｄｓ Ｏｋｉ Ｈｅａｒｔｓ，法人号 3360005006276；MTS 仅支持候选 outreach support/funding，不写 partnership。",Japanese NPO registry and recipient-site search,https://marinethriftshopokinawa.org/grants/,Japanese recipient list,Several recipient names are only available in English or transliteration.,2023 list,E4,awaiting_human_decision,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
