bridge_id,entity_key,identity_scope,actor_id,identity_group_id,canonical_name,origin_type,actor_class,event_count,event_ids,action_types,roles,first_year,last_year,relation_strength,evidence_basis,interpretation_limit
R5BR01,ACTOR:A022,registry_actor,A022,,NPO法人 ラムサール・ネットワーク日本,japan_domestic,domestic_japan_ngo,3,EV2010_WWF_67;EV2015_NACSJ_31;EV2020_OEJP_MMC_71,joint_statement;request_letter_and_civil_society_report,listed_endorser;listed_joint_statement_signatory;undersigned_request_participant,2010,2020,repeated_public_participation_3_events,S003;S004;S006,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR02,ACTOR:A002,registry_actor,A002,,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,japan_domestic,international_advocacy_actor,3,EV2010_WWF_67;EV2015_NACSJ_31;EV2020_OEJP_MMC_71,joint_statement;request_letter_and_civil_society_report,listed_endorser;listed_joint_statement_signatory;undersigned_request_participant,2010,2020,repeated_public_participation_3_events,S003;S004;S006,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR03,ACTOR:A004,registry_actor,A004,,日本自然保護協会,japan_domestic,domestic_japan_ngo,3,EV2010_WWF_67;EV2015_NACSJ_31;EV2020_OEJP_MMC_71,joint_statement;request_letter_and_civil_society_report,listed_endorser;listed_joint_statement_signatory;undersigned_request_participant,2010,2020,repeated_public_participation_3_events,S003;S004;S006,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR04,ACTOR:A032,registry_actor,A032,,Peace Philosophy Centre,international,international_advocacy_actor,2,EV2010_WWF_67;EV2015_NACSJ_31,joint_statement,listed_endorser;listed_joint_statement_signatory,2010,2015,repeated_public_participation_2_events,S003;S004,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR05,ACTOR:A005,registry_actor,A005,,WWFジャパン,japan_domestic,domestic_japan_ngo,2,EV2010_WWF_67;EV2015_NACSJ_31,joint_statement,listed_endorser;listed_joint_statement_signatory,2010,2015,repeated_public_participation_2_events,S003;S004,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR06,ACTOR:A006,registry_actor,A006,,グリーンピース・ジャパン,japan_domestic,domestic_japan_ngo,2,EV2010_WWF_67;EV2015_NACSJ_31,joint_statement,listed_endorser;listed_joint_statement_signatory,2010,2015,repeated_public_participation_2_events,S003;S004,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR07,ACTOR:A003,registry_actor,A003,,ジュゴンネットワーク沖縄,okinawa_local,local_civic_actor,2,EV2010_WWF_67;EV2020_OEJP_MMC_71,joint_statement;request_letter_and_civil_society_report,listed_endorser;undersigned_request_participant,2010,2020,repeated_public_participation_2_events,S003;S006,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR08,ACTOR:A007,registry_actor,A007,,ピースボート,japan_domestic,domestic_japan_ngo,2,EV2010_WWF_67;EV2015_NACSJ_31,joint_statement,listed_endorser;listed_joint_statement_signatory,2010,2015,repeated_public_participation_2_events,S003;S004,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR09,ACTOR:A026,registry_actor,A026,,ピース・ニュース,japan_domestic,media_or_advocacy_actor,2,EV2010_WWF_67;EV2015_NACSJ_31,joint_statement,listed_endorser;listed_joint_statement_signatory,2010,2015,repeated_public_participation_2_events,S003;S004,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR10,ACTOR:A062,registry_actor,A062,,日本湿地ネットワーク（JAWAN）,japan_domestic,domestic_japan_ngo,2,EV2010_WWF_67;EV2020_OEJP_MMC_71,joint_statement;request_letter_and_civil_society_report,listed_endorser;undersigned_request_participant,2010,2020,repeated_public_participation_2_events,S003;S006,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
