function_observation_id,relation_observation_id,fiscal_year,actor_id,actor_name,function_type,function_description,beneficiary_or_audience,place_or_facility,mechanism_context,financial_inference_allowed,political_stance_inference_allowed,source_refs,source_locators,evidence_level,review_status,interpretation_limit
R10FN001,R10R001,2019,X010,沖縄NGOセンター,international_cooperation_training,承担教师海外研修与报告制作,九州/冲绳教师与国际理解教育参与者,JICA 九州・冲绳项目,commission,no,no,S100,PDF p.103,E4,ai_seeded,
R10FN002,R10R004,2024,X010,沖縄NGOセンター,multilingual_consultation,每周六日提供多语言生活咨询并转介专业机构,外国居民及多语种服务使用者,Koza International Plaza,commission,no,no,R10S07;R10S09;R10S10,R10S07 PDF pp.5-6,E4,ai_seeded,
R10FN003,R10R004,2024,X010,沖縄NGOセンター,language_education,开设英语、西班牙语、中文、日语与越南语课程,冲绳市居民与外国居民,Koza International Plaza,commission,no,no,R10S07;R10S09;R10S10,R10S07 PDF pp.5-6,E4,ai_seeded,
R10FN004,R10R004,2024,X010,沖縄NGOセンター,international_exchange_service,举办多国籍居民交流会与文化活动,多国籍居民与本地居民,Koza International Plaza,commission,no,no,R10S07;R10S09;R10S10,R10S07 PDF pp.5-6,E4,ai_seeded,
R10FN005,R10R005,2024,X010,沖縄NGOセンター,multicultural_policy_support,运营多文化共生政策会议并整理建议,冲绳县政策部门、会议委员与在住外国人相关议题,冲绳县,C1 commission,no,no,S002;S099,S002 PDF p.59; S099 PDF p.3,E4,ai_seeded,
R10FN006,R10R005,2024,X010,沖縄NGOセンター,meeting_secretariat,ONC 人员在会议纪要中以事务局角色出现,政策会议参与者,万国津梁会议,role evidence attached to commission,no,no,R10S08,official meeting minutes,E4,ai_seeded,事务局功能不另造资金边。
R10FN007,R10R006,2024,X010,沖縄NGOセンター,ngo_consultation,提供国际协力与 ODA 市民参与相关咨询,NGO、市民与国际协力参与者,冲绳/日本,commission,no,no,S099,PDF p.2,E4,ai_seeded,
R10FN008,R10R007,2026,X010,沖縄NGOセンター,ngo_consultation,作为外务省指定 NGO 相談員持续提供咨询,NGO 与市民,冲绳/日本,designated role,no,no,S101,official FY2026 list,E4,ai_seeded,
R10FN009,R10R008,2024,A066,新外交イニシアティブ（ND）,base_policy_public_information,举办在冲美军基地问题研讨会并对外传播信息,县内外公众,冲绳县项目,C2 commission,no,no,S002;R10S11,S002 PDF p.1; R10S11 PDF p.1,E4,ai_seeded,
R10FN010,R10R009,2024,A088,冲绳和平协力中心,peace_education_exchange,组织冲绳、广岛、长崎及亚洲青年共同学习和平教育,青年参与者与公众,冲绳和平祈念资料馆项目,C2 commission,no,no,S002;R10S11,S002 PDF p.2; R10S11 PDF p.2,E4,ai_seeded,
