actor_id,canonical_name,issue_ids_all,issue_count_all,bridge_classification_v1,actor_review_status,review_question,review_decision,human_reviewer,review_date,review_notes,approved_formulation,scope_boundary,decision_source_report
A113,宜野湾ちゅら水会,I006;I007;I008;I011;I020,5,mixed_candidate_bridge,human_checked,现有来源是否足以将其写入跨议题组织正文，且是否需限制为事件性／案件性角色？,include_with_scope,项目负责人,2026-07-19,PFAS 居民采样／健康请求→市议会请愿、公害调停等程序；是单一污染风险的多渠道转译，不是五个独立议题 | 边界：bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,PFAS 居民采样／健康请求→市议会请愿、公害调停等程序；是单一污染风险的多渠道转译，不是五个独立议题,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md
A114,全日本港湾労働組合沖縄地方本部,I001;I002;I007;I019;I026,5,mixed_candidate_bridge,human_checked,现有来源是否足以将其写入跨议题组织正文，且是否需限制为事件性／案件性角色？,include_with_scope,项目负责人,2026-07-19,港湾劳动／罢工能力把基地、先岛军舰寄港与职业安全带入工作场所；多数政治议题边有事件时间 | 边界：bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,港湾劳动／罢工能力把基地、先岛军舰寄港与职业安全带入工作场所；多数政治议题边有事件时间,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md
A115,新日本婦人の会沖縄県本部,I001;I010;I019;I022;I023,5,mixed_candidate_bridge,human_checked,现有来源是否足以将其写入跨议题组织正文，且是否需限制为事件性／案件性角色？,include_with_scope,项目负责人,2026-07-19,县本部把女性／人权、军事性暴力、和平、边野古和公投动员连接；不得转移全国母体全部行动 | 边界：bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,县本部把女性／人权、军事性暴力、和平、边野古和公投动员连接；不得转移全国母体全部行动,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md
A047,沖縄平和運動センター,I001;I002;I003;I019,4,positioning_bridge,ai_seeded,现有来源是否足以将其写入跨议题组织正文，且是否需限制为事件性／案件性角色？,include_with_scope,项目负责人,2026-07-19,长期和平／反基地定位连接边野古与先岛反军事化；4 个标签有明显语义重叠 | 边界：bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,长期和平／反基地定位连接边野古与先岛反军事化；4 个标签有明显语义重叠,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md
A048,沖縄一坪反戦地主会,I001;I009;I011;I019,4,positioning_bridge,ai_seeded,现有来源是否足以将其写入跨议题组织正文，且是否需限制为事件性／案件性角色？,candidate_only,项目负责人,2026-07-19,土地拒租／收用程序确有反基地—法律—和平连接，但当前 actor 与关东 block 来源发生单位混淆 | 边界：bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,土地拒租／收用程序确有反基地—法律—和平连接，但当前 actor 与关东 block 来源发生单位混淆,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md
A052,嘉手納基地爆音差止訴訟原告団,I001;I007;I011;I021,4,case_or_institutional_bridge,human_checked,现有来源是否足以将其写入跨议题组织正文，且是否需限制为事件性／案件性角色？,include_with_scope,项目负责人,2026-07-19,仅作为嘉手纳各轮噪音诉讼的案件／原告团桥梁：噪音与生活损害→法律程序 | 边界：bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,仅作为嘉手纳各轮噪音诉讼的案件／原告团桥梁：噪音与生活损害→法律程序,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md
A053,普天間基地爆音訴訟団,I001;I007;I011;I021,4,case_or_institutional_bridge,human_checked,现有来源是否足以将其写入跨议题组织正文，且是否需限制为事件性／案件性角色？,include_with_scope,项目负责人,2026-07-19,仅作为普天间各轮噪音诉讼的案件／原告团桥梁：噪音与生活损害→法律程序 | 边界：bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,仅作为普天间各轮噪音诉讼的案件／原告团桥梁：噪音与生活损害→法律程序,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md
A112,宮古島地下水研究会,I006;I007;I008;I020,4,mixed_candidate_bridge,human_checked,现有来源是否足以将其写入跨议题组织正文，且是否需限制为事件性／案件性角色？,include_with_scope,项目负责人,2026-07-19,地下水研究／风险表达→水源保护、监测条例与市政回应；不证明自卫队设施污染 | 边界：bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,地下水研究／风险表达→水源保护、监测条例与市政回应；不证明自卫队设施污染,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md
A001,Okinawa Environmental Justice Project,I003;I004;I012,3,positioning_bridge,ai_seeded,现有来源是否足以将其写入跨议题组织正文，且是否需限制为事件性／案件性角色？,include_with_scope,项目负责人,2026-07-19,边野古—儒艮环境争议→美国海洋哺乳动物委员会；是国际制度翻译桥梁 | 边界：bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,边野古—儒艮环境争议→美国海洋哺乳动物委员会；是国际制度翻译桥梁,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md
A007,ピースボート,I001;I012;I019,3,mixed_candidate_bridge,ai_seeded,现有来源是否足以将其写入跨议题组织正文，且是否需限制为事件性／案件性角色？,include_with_scope,项目负责人,2026-07-19,长期 Okinawa project 把和平／反基地、环境传播与对美国社会的倡议连接；不由 NGO 身份自动生成国际边 | 边界：bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,长期 Okinawa project 把和平／反基地、环境传播与对美国社会的倡议连接；不由 NGO 身份自动生成国际边,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md
