"lit_id","authors","year","title","publication","source_type","theme","doi","stable_url","materials_method","main_finding","project_relationship","verification_note"
"L001","Maho Aikawa; Andrew L. Stewart","2026","Ambivalence in the Context of Competing Narratives: Exploration Through a Case of the US Military Base Issue in Okinawa","European Journal of Social Psychology 56(4):659–673","journal_article","legitimacy_narrative_attitudes","10.1002/ejsp.70069","https://commons.clarku.edu/faculty_psychology/988/","Survey of 172 Okinawan participants; exploratory factor analysis; latent profile analysis; mapping narrative profiles, behavioral responses, and social positions","Dominant and resistance narratives were often endorsed together; narrative profiles were significantly related to behavioral responses","Rejects a simple pro-/anti-US binary; supports keeping legitimation claims separate from behavior and measuring ambivalence","University repository record and DOI verified; do not reuse an internal subgroup percentage as if it described the full N=172"
"L002","宮西香穂里 (Kaori Miyanishi)","2012","沖縄軍人妻の研究","京都大学学術出版会","scholarly_book","garrison_society_family_service","","https://www.kyoto-up.or.jp/book.php?isbn=9784876982370","Cultural-anthropological fieldwork on U.S. Marine bases in Okinawa and surrounding communities; family support systems; community interaction; nine participant profiles","Military-family life, support institutions, spouse networks, good-neighbor activities, and local interaction reproduce an everyday social world around the bases while also containing conflict and ambivalence","Direct basis for treating spouse clubs, family services, and community contact as organizational infrastructure; does not prove their political effect","Publisher page, contents, ISBN 9784876982370, and issue date 2012-11 verified"
"L003","Masamichi S. Inoue","2004","‘We are Okinawans but of a different kind’: New/old social movements and the U.S. Military in Okinawa","Current Anthropology 45(1):85–104","journal_article","anti_base_social_movements","10.1086/379632","https://scholars.uky.edu/en/publications/we-are-okinawans-but-of-a-different-kind-newold-social-movements-/","Ethnographic analysis of the offshore-base dispute after the 1995 rape and of relations among movement agendas and participants","Okinawan mobilization combines historical continuity with contemporary diversity across ecology, peace, women, and human-rights agendas; class and material conditions remain central","Issue diversification is established scholarship; the database can add longitudinal actor, role, and relation evidence rather than claim discovery of diversity","University research portal and DOI verified"
"L004","Claudia Junghyun Kim","2021","Dugong v. Rumsfeld: social movements and the construction of ecological security","European Journal of International Relations 27(1):258–280","journal_article","transnational_environmental_accountability","10.1177/1354066120950013","https://journals.sagepub.com/doi/10.1177/1354066120950013","Comparative qualitative analysis of the Okinawa dugong and Jeju Gureombi as nonhuman movement symbols using movement and public materials","Movement actors constructed ecological security and turned local struggles into transnational causes, although symbolic resonance and diffusion were partial","The project can reconstruct the actor-role-venue-output pathway and compare institutional outcomes; environmental translation itself is not a new finding","SAGE article page and DOI verified"
"L005","Claudia Junghyun Kim","2023","Base Towns: Local Contestation of the U.S. Military in Korea and Japan","Oxford University Press","scholarly_book","base_town_mobilization","10.1093/oso/9780197665275.001.0001","https://academic.oup.com/book/44893","Fieldwork interviews, participant observation, and protest-event data for 20 U.S. bases in Korea and Japan, 2000–2015","Broad mobilization becomes possible when activists politicize quotidian disruption with locally resonant frames and local political allies; some strategies can also reinforce the presumed inevitability of U.S. presence","Makes local-damage framing and local political mediation prior findings; database contribution is organizational infrastructure, comparison, and typed mechanisms","Oxford Academic book page and DOI verified"
"L006","Andrew Yeo","2011","Activists, Alliances, and Anti-U.S. Base Protests","Cambridge University Press","scholarly_book","anti_base_networks_alliance_politics","10.1017/CBO9780511842344","https://www.cambridge.org/core/books/activists-alliances-and-antius-base-protests/7FB051506DD80F1042FDB25AACD8860D","Comparative case studies across the Philippines, Japan/Okinawa, Ecuador, Italy, and Korea; interviews with activists, politicians, and base officials","Movement networks affect mobilization, but protest outcomes depend heavily on elite and alliance security consensus","Supports modeling movement coalitions together with institutional constraints and avoiding a network-only explanation of base outcomes","Cambridge book page, contents, and DOI verified"
"L007","David Vine","2019","No Bases? Assessing the Impact of Social Movements Challenging US Foreign Military Bases","Current Anthropology 60(S19):S158–S172","journal_article","anti_base_outcomes","10.1086/701042","https://www.journals.uchicago.edu/doi/full/10.1086/701042","Seventeen years of multi-country research including participant observation, archives, and interviews in 14 countries and territories","Base movements can affect operations, deployments, political-economic relations, people, and other movements even when bases do not close; many pursue accountability and harm reduction rather than categorical anti-Americanism","Justifies an outcome ladder including disclosure, review, compensation, delay, and operating costs instead of a closure-only measure","Publisher full-text page and DOI verified"
"L008","Johanna O. Zulueta","2020","Transnational Identities on Okinawa’s Military Bases: Invisible Armies","Palgrave Macmillan","scholarly_book","garrison_society_labor_migration","10.1007/978-981-32-9787-6","https://link.springer.com/book/10.1007/978-981-32-9787-6","Ethnographic research on civilian USFJ employees, migration, identity, ethnicity, nationality, and capital, including Okinawan and Philippine-heritage returnees","The base is reproduced through civilian labor and transnational migration as well as through military personnel","Defines an important boundary: an NGO database captures only part of garrison reproduction and should identify labor/migration nodes as contextual or future layers","Springer book page and DOI verified"
"L009","Rebecca Forgash","2020","Intimacy across the Fencelines: Sex, Marriage, and the U.S. Military in Okinawa","Cornell University Press","scholarly_book","garrison_society_intimacy","10.7591/cornell/9781501750403.001.0001","https://academic.oup.com/cornell-scholarship-online/book/40461","Ethnographic and narrative analysis of U.S. service members and Okinawan spouses and families across race, gender, class, and military-civilian boundaries","Marriage, family, and intimacy are constitutive interfaces between the garrison and Okinawan society, not merely private background","Shows why public person-role links can be informative but why family relations require privacy and scope safeguards","Cornell Scholarship Online book page and DOI verified"
"L010","Michael A. Allen; Michael E. Flynn; Carla Martinez Machain; Andrew Stravers","2020","Outside the Wire: U.S. Military Deployments and Public Opinion in Host States","American Political Science Review 114(2):326–341","journal_article","military_presence_public_opinion","10.1017/S0003055419000868","https://www.cambridge.org/core/journals/american-political-science-review/article/abs/outside-the-wire-us-military-deployments-and-public-opinion-in-host-states/BEC8A7BA48C9CF5B82B100CCC4CFA56E","Cross-national survey data from 14 countries hosting U.S. forces","Contact with U.S. personnel and perceived economic benefits are associated with more favorable views of U.S. presence, people, and government","Provides a testable legitimation-mechanism hypothesis; the organization database can measure exposure infrastructure but not infer attitude effects","Cambridge journal page and DOI verified; association is not an Okinawa-specific causal estimate"
"L011","Takako Hikotani; Yusaku Horiuchi; Atsushi Tago","2023","Revisiting negative externalities of US military bases: the case of Okinawa","International Relations of the Asia-Pacific 23(2):325–349","journal_article","okinawa_public_opinion_externalities","10.1093/irap/lcac002","https://academic.oup.com/irap/article/23/2/325/6564247","Two pre-registered surveys fielded in August 2020: Japan national sample N=994 and Okinawa sample N=319; descriptive comparison and regression analysis","Okinawans have more contact and network benefits yet remain considerably more negative about bases concentrated in Okinawa, regardless of contact and economic benefits","Directly blocks any inference that service or contact automatically legitimates the local military presence; motivates recipient and attitude evidence","Oxford journal page, samples, publication history, and DOI verified; online publication 2022, issue year 2023"
"L012","Charmaine N. Willis","2025","Not Seeing the Forest for the Helicopters: UNESCO Recognition and Resistance to the US Military in Okinawa","Social Movement Studies:1–17","journal_article","international_environmental_accountability","10.1080/14742837.2025.2554609","https://digitalcommons.odu.edu/politicalscience_geography_pubs/99/","Interviews conducted 2019–2023 and other primary-source research on Yambaru activists and UNESCO recognition","Activists used Japan’s UNESCO nomination to expose military impacts and gain disclosure and an international channel, without securing removal or cessation","Offers a second international environmental pathway beyond the dugong case and a clean intermediate-outcome comparison","University repository and DOI verified"
"L013","Hideko Yoshimoto","2022","The United States’ Public Diplomacy and Psychological Warfare under the Jurisdiction","Academic Archives of Yamaguchi Prefectural University 15:235–248","departmental_bulletin_article","public_diplomacy_history","","https://ypir.lib.yamaguchi-u.ac.jp/yp/1695","Historical policy analysis of Eisenhower-era U.S. Okinawa policy, the National Security Council, Pentagon, and civilian-agency coordination","U.S. authorities institutionalized public diplomacy and psychological-warfare coordination to counter anti-U.S. sentiment in occupied Okinawa","Establishes a historical state strategy and suggests fields for public-diplomacy records; it is pre-1972 context, not evidence about current NGOs","University repository version of record, issue date, pages, and ISSN verified"
