actor_id,canonical_name,actor_class,origin_type,evidence_level,actor_review_status,scope_status,active_issue_edge_count,human_reviewed_issue_edge_count,anchor_issue_ids,active_anchor_issue_edge_count,human_reviewed_anchor_issue_edge_count,candidate_anchor_issue_edge_count,anchor_selection_evidence_status,all_active_issue_ids,active_place_ids,source_ids,non_source_refs,selection_rule,interpretation_limit,package_scope,package_claim_status,frontend_eligibility
A001,Okinawa Environmental Justice Project,international_advocacy_actor,mixed_or_network,E4,ai_seeded,,3,0,I003;I004,2,0,2,candidate_anchor_only,I003;I004;I012,P002;P003,S006;S007;S008,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,international_advocacy_actor,japan_domestic,E4,human_revised,,2,2,I004,1,1,0,at_least_one_human_reviewed_anchor,I004;I012,P002;P003,S007;S057;S058;S059,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A003,ジュゴンネットワーク沖縄,local_civic_actor,okinawa_local,E3,needs_second_source,,2,0,I004,1,0,1,candidate_anchor_only,I004;I005,P001;P002,S003,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A004,日本自然保護協会,domestic_japan_ngo,japan_domestic,E4,ai_seeded,,2,0,I003,1,0,1,candidate_anchor_only,I003;I005,P002;P003,S004,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A005,WWFジャパン,domestic_japan_ngo,japan_domestic,E4,ai_seeded,,2,0,I004,1,0,1,candidate_anchor_only,I004;I005,P002,S003,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A006,グリーンピース・ジャパン,domestic_japan_ngo,japan_domestic,E4,ai_seeded,,2,0,I001,1,0,1,candidate_anchor_only,I001;I005,P002,S003,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A007,ピースボート,domestic_japan_ngo,japan_domestic,E4,ai_seeded,,3,0,I001,1,0,1,candidate_anchor_only,I001;I012;I019,P002,S005,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A008,NGO非戦ネット,citizen_network,japan_domestic,E3,human_revised,,2,2,I001,1,1,0,at_least_one_human_reviewed_anchor,I001;I019,P001,S064;S065;S066;S067,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A009,Earthjustice,international_advocacy_actor,us_origin,E4,ai_seeded,,3,0,I004,1,0,1,candidate_anchor_only,I004;I011;I012,P002;P003,S009,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A010,石垣島に軍事基地をつくらせない市民連絡会,citizen_network,okinawa_local,E4,human_revised,,3,0,I002;I006,2,0,2,candidate_anchor_only,I002;I006;I009,P012,S016;S017,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A011,石垣市住民投票を求める会,citizen_group,okinawa_local,E4,human_checked,,3,0,I002;I010,2,0,2,candidate_anchor_only,I002;I009;I010,P012,S018;S019,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A012,宮古島いのちの水を守ろう！,citizen_group,okinawa_local,E3,needs_second_source,,3,0,I002;I006;I007,3,0,3,candidate_anchor_only,I002;I006;I007,P013,S020,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A013,ミサイル基地いらない宮古島住民連絡会,citizen_network,okinawa_local,E4,ai_seeded,,3,0,I002;I006;I007,3,0,3,candidate_anchor_only,I002;I006;I007,P013,S021,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A014,住民投票を成功させるための実行委員会,executive_committee,okinawa_local,E2,needs_local_retrieval,,2,0,I002,1,0,1,candidate_anchor_only,I002;I009,P011,S010;S069;S070;S071,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A015,与那国自衛隊配備反対意見広告実行委員会,executive_committee,okinawa_local,E2,needs_local_retrieval,,2,0,I002,1,0,1,candidate_anchor_only,I002;I009,P011,S015,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A016,与那国島の明るい未来を願うイソバの会,citizen_group,okinawa_local,E3,human_checked,,1,1,I002,1,1,0,at_least_one_human_reviewed_anchor,I002,P011,S052;S068,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
