"row_id","cycle","recipient_label_source","recipient_research_key","observed_item_or_function","amount_jpy","amount_semantics","duplicate_group","s002_crosswalk_status","source_key","claim_limit","review_status","package_scope","frontend_eligibility"
"H2OIWC001","2023-2024","CHA ASHIBI / ちゃーあしびー","cha_ashibi","","","not_itemized","","no_exact_label_match","H2P-S04","Named self-reported recipient; legal identity, award date and item are not stated on the visible roster.","ai_seeded","research_only","excluded_research_only"
"H2OIWC002","2023-2024","Kitanakagusuku Village Meeting to think about the place of children / 北中城村子どもの居場所を考える会","kitanakagusuku_children_place_group","","","not_itemized","","no_exact_label_match","H2P-S04","Named self-reported recipient; legal identity and item are unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC003","2023-2024","Cotonowa 福祉部","cotonowa_welfare_division","","","not_itemized","","no_exact_label_match","H2P-S04","A department label may be a subunit rather than an independent organization.","ai_seeded","research_only","excluded_research_only"
"H2OIWC004","2023-2024","Friends House / フレンズハウス","friends_house","","","not_itemized","","no_exact_label_match","H2P-S04","Repeated recipient label across years does not alone establish one continuous legal entity.","ai_seeded","research_only","excluded_research_only"
"H2OIWC005","2023-2024","O-kinawa / おーきな笑","okinawa_smile","","","not_itemized","","no_exact_label_match","H2P-S04","Name normalization is provisional.","ai_seeded","research_only","excluded_research_only"
"H2OIWC006","2023-2024","Kokoiro / ここいろ","kokoiro","","","not_itemized","","no_exact_label_match","H2P-S04","Name normalization is provisional.","ai_seeded","research_only","excluded_research_only"
"H2OIWC007","2023-2024","Sora Living Care / 生活介護そら","sora_living_care","","","not_itemized","","no_exact_label_match","H2P-S04","Service-site and operating-organization identity are unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC008","2023-2024","Airin-en Children's Home / 児童養護施設 愛隣園","airin_en_childrens_home","","","not_itemized","","candidate_exact_name_family_S002_R0497","H2P-S04","Crosswalk to the S002 legal operator is a candidate, not an automatic identity merge or payment relation.","ai_seeded","research_only","excluded_research_only"
"H2OIWC009","2023-2024","Okinawa Children's Future Network / おきなわ子ども未来ネットワーク","okinawa_children_future_network","","","not_itemized","","candidate_exact_name_family_S002_R0177_R0599","H2P-S04","Crosswalk requires legal-name confirmation; S002 project cost is not OIWC funding.","ai_seeded","research_only","excluded_research_only"
"H2OIWC010","2023-2024","Volunteer Rainbow / ボランティア レインボー","volunteer_rainbow","","","not_itemized","","no_exact_label_match","H2P-S04","Generic name needs independent identity evidence.","ai_seeded","research_only","excluded_research_only"
"H2OIWC011","2023-2024","Ainoie / あいのいえ","ainoie","","","not_itemized","","no_exact_label_match","H2P-S04","Generic name needs independent identity evidence.","ai_seeded","research_only","excluded_research_only"
"H2OIWC012","2023-2024","Yuimaalu Bento Project / 結いまある弁当プロジェクト","yuimaaru_bento_project","","","not_itemized","","no_exact_label_match","H2P-S04","Project label may not be an independent organization.","ai_seeded","research_only","excluded_research_only"
"H2OIWC013","2023-2024","Warabin / 笑びん","warabin","","","not_itemized","","no_exact_label_match","H2P-S04","Repeated recipient label across years does not alone establish one continuous legal entity.","ai_seeded","research_only","excluded_research_only"
"H2OIWC014","2021-2022","IPPO / いっぽ","ippo","Support for children and women in need","","not_itemized","","no_exact_label_match","H2P-S04","Mission text is OIWC's description, not an audited legal classification.","ai_seeded","research_only","excluded_research_only"
"H2OIWC015","2021-2022","Okinawa Joto Project / 沖縄上等プロジェクト","okinawa_joto_project","Youth shelter and children's place support","","not_itemized","","candidate_member_of_composite_S002_R0155","H2P-S04","S002 names a consortium containing this organization; do not assign the consortium's public program or project cost to the member.","ai_seeded","research_only","excluded_research_only"
"H2OIWC016","2021-2022","Aimaru / 愛まーる","aimaru","Volunteer food support for school-age children","","not_itemized","","no_exact_label_match","H2P-S04","Mission text is source description; legal identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC017","2021-2022","Warabin / 笑びん","warabin","Support for children from low-income families","","not_itemized","","no_exact_label_match","H2P-S04","Repeated label does not establish continuity.","ai_seeded","research_only","excluded_research_only"
"H2OIWC018","2021-2022","Niji no Mahoroba / 虹のまほろ場","niji_no_mahoroba","Family welfare","","not_itemized","","no_exact_label_match","H2P-S04","Legal identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC019","2021-2022","Michisu / みちすー","michisu","Volunteer support for children in Nago","","not_itemized","","no_exact_label_match","H2P-S04","Generic name and location require identity confirmation.","ai_seeded","research_only","excluded_research_only"
"H2OIWC020","2021-2022","Tomarigi / とまり木","tomarigi","Volunteer support for children and young adults in Nakijin","","not_itemized","","no_exact_label_match","H2P-S04","Generic name and location require identity confirmation.","ai_seeded","research_only","excluded_research_only"
"H2OIWC021","2019-2020","Worker's Home / ワーカーズホーム","workers_home","Support for people with disabilities","","not_itemized","","no_exact_label_match","H2P-S04","Do not crosswalk to the unrelated national Workers Co-op labels in S002.","ai_seeded","research_only","excluded_research_only"
"H2OIWC022","2019-2020","Okinawa Water Safety Association / 沖縄ウォーターセーフティ協会","okinawa_water_safety_association","Marine sports for people with disabilities","","not_itemized","","no_exact_label_match","H2P-S04","Legal identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC023","2019-2020","Friends House / フレンズハウス","friends_house","Support for people with disabilities","","not_itemized","","no_exact_label_match","H2P-S04","Repeated label does not establish continuity.","ai_seeded","research_only","excluded_research_only"
"H2OIWC024","2019-2020","Churasima Kikoe Support Association / 美ら島きこえ支援協会","churasima_kikoe_support","Support for people with hearing impairments","","not_itemized","","no_exact_label_match","H2P-S04","Legal identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC025","2019-2020","Kodonabu / 子どな部","kodonabu","Support for children from low-income families","","not_itemized","","no_exact_label_match","H2P-S04","Name normalization is provisional.","ai_seeded","research_only","excluded_research_only"
"H2OIWC026","2019-2020","Kanakana / カナカナ","kanakana","Support for children from low-income families","","not_itemized","","candidate_member_of_composite_S002_R0155","H2P-S04","S002 names a consortium containing an entity of the same label; identity and member scope require review.","ai_seeded","research_only","excluded_research_only"
"H2OIWC027","2019-2020","Sakura Shelter for mothers and children / さくら","sakura_shelter","Shelter for mothers and children","","not_itemized","","no_exact_label_match","H2P-S04","Generic shelter name needs operator identification.","ai_seeded","research_only","excluded_research_only"
"H2OIWC028","2019-2020","Warabin / 笑びん","warabin","Support for children from low-income families","","not_itemized","","no_exact_label_match","H2P-S04","Repeated label does not establish continuity.","ai_seeded","research_only","excluded_research_only"
"H2OIWC029","2019-2020","Wonder Land Animal Shelter / ワン！ダーランド","wonder_land_animal_shelter","Animal shelter","","not_itemized","","no_exact_label_match","H2P-S04","Legal identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC030","2019-2020","Cherubims Animal Garden / ケルビムアニマルガーデン","cherubims_animal_garden","Animal shelter","","not_itemized","","no_exact_label_match","H2P-S04","Legal identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC031","2019-2020","Okinawa Happy Tails / 沖縄ハッピーテイル","okinawa_happy_tails","Animal shelter","","not_itemized","","no_exact_label_match","H2P-S04","Legal identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC032","2019-2020","Okinawa Kodomo Mirai Project / 沖縄子ども未来プロジェクト（沖縄タイムス）","okinawa_kodomo_mirai_project_times","Support for low-income families and children","","not_itemized","","no_exact_label_match","H2P-S04","Do not merge with おきなわ子ども未来ネットワーク; the source describes an Okinawa Times project.","ai_seeded","research_only","excluded_research_only"
"H2OIWC033","2018-2019","Worker's Home","workers_home","Coffee bean roaster; coffee mill; sealer","","not_itemized","","no_exact_label_match","H2P-S04","Named in-kind support; item value and transfer date are not stated.","ai_seeded","research_only","excluded_research_only"
"H2OIWC034","2018-2019","Water Safety Association","okinawa_water_safety_association","Kayak for people with disabilities","","not_itemized","","no_exact_label_match","H2P-S04","Research normalization to the 2019-2020 label needs human identity review.","ai_seeded","research_only","excluded_research_only"
