partner_name_display_alias_machine,source_row_count,raw_source_literal_variant_count,raw_source_literal_variants,source_row_numbers,appears_in_top_partner_figure,normalization_scope,identity_merge_status,interpretation_limit
社会福祉法人沖縄県社会福祉協議会,20,3,社会福祉法人 沖縄 県社会福祉協議会 | 社会福祉法人 沖縄県社会福祉協議 会 | 社会福祉法人沖縄県 社会福祉協議会,60;61;62;63;64;65;66;67;71;79;80;81;82;83;163;191;292;314;317;521,yes,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
一般社団法人沖縄県医師会,10,3,一般社団法人 沖縄 県医師会 | 一般社団法人 沖縄県医師会 | 一般社団法人沖縄県 医師会,212;217;220;222;223;224;255;258;272;299,yes,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
公益財団法人沖縄県建設技術センター,10,2,公益財団法人 沖縄県建設技術セン ター | 公益財団法人沖縄県 建設技術センター,26;441;442;443;455;456;457;478;479;480,yes,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
公益社団法人沖縄県緑化推進委員会,9,3,公益社団法人 沖縄 県緑化推進委員会 | 公益社団法人 沖縄県緑化推進委員 会 | 公益社団法人沖縄県 緑化推進委員会,37;38;39;458;470;477;481;488;490,yes,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
NPO法人アンビシャス,6,2,NPO法人アンビシャス | ＮＰＯ法人アンビシャ ス,214;215;233;236;252;253,yes,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
一般社団法人沖縄県歯科医師会,6,2,一般社団法人 沖縄 県歯科医師会 | 一般社団法人沖縄県 歯科医師会,259;261;266;267;274;290,yes,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
一般社団法人沖縄県薬剤師会,6,3,一般社団法人 沖縄 県薬剤師会 | 一般社団法人 沖縄県薬剤師会 | 一般社団法人沖縄県 薬剤師会,225;226;227;228;289;590,yes,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
NPO法人レインボーハートokinawa,4,2,NPO法人 レインボー ハートokinawa | NPO法人レインボー ハートokinawa,204;466;499;591,no,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
一般社団法人沖縄県PTA連合会,4,3,一般社団法人 沖縄県PTA連合会 | 一般社団法人 沖縄県ＰＴＡ連合会 | 一般社団法人沖縄県 PTA連合会,533;535;550;593,no,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
公益社団法人沖縄県不動産鑑定士協会,4,2,公益社団法人 沖縄 県不動産鑑定士協会 | 公益社団法人 沖縄県不動産鑑定士 協会,22;23;24;25,no,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
