"claim_id","position_type","theme","claim","academic_support","current_project_evidence","permissible_current_wording","prohibited_inference","next_data_or_test"
"CP001","existing_scholarship","anti_base_movements","Post-1995 Okinawan mobilization combines ecology, peace, women, human-rights, and material/class agendas","L003;L005","Actor–issue and episode layers represent several of these agendas","Existing research has established movement diversification; the database can trace its organizational carriers","The database discovered issue diversification","Build temporal actor–issue and person–organization histories"
"CP002","existing_scholarship","local_framing","Quotidian disruptions and locally resonant frames can broaden base-related mobilization","L005","Sakishima, referendum, environmental, noise, and life-safety episodes","Everyday harms are established mobilizing frames; compare who carries each frame and where it enters institutions","Every local frame is strategically invented by NGOs or has the same effect","Compare positive, failed, and non-entry episodes"
"CP003","existing_scholarship","institutional_constraints","Movement networks matter, but alliance-security consensus and state institutions constrain outcomes","L006;L007","Six reviewed legal/policy cases and 13 translation episodes","Institutional entry can produce intermediate outcomes without changing the military project","Network structure alone causes success or failure","Code outcome ladders and competing institutional explanations"
"CP004","existing_scholarship","garrison_society","Family support, labor, migration, marriage, service, and community contact help reproduce the everyday base society","L002;L008;L009","Nine service/charity actors and initial service/donation/recipient records","The current organization layer observes part of garrison reproduction","NGOs alone reproduce the entire garrison or all participants support the base politically","Mark labor, family, and private relations as contextual or future layers"
"CP005","existing_scholarship","transnational_accountability","Environmental symbols and international institutions can carry Okinawa disputes beyond local venues, often producing partial or intermediate results","L004;L012","Dugong pathway, legal roles, and translation episodes","Internationalization can be reconstructed as actor-role-venue-output sequences","International entry necessarily stops a project or represents durable alliance","Add Yambaru/UNESCO episode and compare outputs"
"CP006","existing_scholarship","legitimation_attitudes","Contact and economic benefits are plausible attitude mechanisms across host states, but Okinawa-specific evidence does not show automatic local acceptance","L010;L011","Service and benefit infrastructure can be measured; attitudes cannot","Service/contact may be a legitimation pathway; its effect remains an empirical question","A donation, service, or contact event proves legitimacy for U.S. presence","Collect recipient response, media framing, and survey/interview evidence"
"CP007","existing_scholarship","narrative_ambivalence","Okinawans may endorse dominant and resistance narratives simultaneously","L001","Current database contains organizations and public actions, not individual narrative profiles","Political meaning may be mixed and ambivalent","Every actor or participant can be assigned a single pro-/anti-US position","Add discourse and audience-response evidence only at the appropriate unit"
"CP008","existing_scholarship","public_diplomacy","U.S. authorities have historically treated Okinawan attitudes and narratives as objects of public diplomacy and analysis","L013;L014","X013 and public-diplomacy leads exist, but named awards and effects remain incomplete","Public diplomacy is a historically documented governance strategy","Every U.S.-linked NGO is an instrument of psychological operations","Crosswalk NOFO, award, recipient, program, contract, and public narrative records"
"CP009","current_data_can_reproduce","bounded_ecologies","The current registry contains 17 U.S.-origin actors, including a nine-actor service/charity comparison subset and six U.S.-origin accountability actors","project registry; docs/us_presence_network_research_wave_v1.md","121 active actors and the documented comparison sets","The v1 database distinguishes two analytically useful U.S.-linked subsets","All U.S.-related civil organizations have been enumerated or fit one of two camps","Complete official-site directory and MCCS/private-organization universe"
"CP010","current_data_can_reproduce","cross_group_relations","Current bounded typed-dyadic, event, and R10 inputs encode no direct organization relation between the nine service actors and the 77-actor accountability comparison set","L018 as method caution; post-freeze H2 overlay","0/0/0 direct cross-group organization edges in the specified inputs","No direct cross-group organization edge is encoded in the bounded current inputs","The two social worlds have no shared people, recipients, informal ties, or real-world relationships","Build public person-role and full recipient networks; report missingness"
"CP011","current_data_can_reproduce","service_resource_examples","The database contains source-backed examples of umbrella affiliation, donations, sponsorship, service provision, and local recipients around the garrison","L002;L004;L011","AWWA/spouse-club affiliation, OESC–USO donation, USO sponsors, and selected recipient relations","These relations show organizational infrastructure for service and community mediation","The relations prove political support, donor control, or legitimacy effects","Complete years, amounts, purposes, recipient acknowledgements, and source types"
"CP012","current_data_can_reproduce","accountability_pathways","Reviewed case and episode tables can distinguish parties, counsel, supporters, venues, outputs, and substantive project change","L004;L006;L007;L012","Six reviewed cases, 27 roles, and 13 translation episodes","The project can compare institutional entry and intermediate outcomes at role level","Every participating organization is an ally, plaintiff, or effective veto player","Normalize outcome ladder and add non-entry controls"
"CP013","current_data_can_reproduce","visibility_bias","The observed actor–issue perimeter is highly dependent on a small source cluster","L018","Post-freeze H1 source-deletion result; S004 dominates three-source loss","Current encoded visibility and graph shape are source-dependent","High observed centrality equals high real-world influence","Run source-deletion, no-website, and identity-uncertainty sensitivity for every network layer"
"CP014","candidate_new_contribution","multiplex_network","A typed temporal multilayer network can connect accountability and garrison reproduction without collapsing relation semantics","L015;L016;L017","Planned person, resource, service, case/action, and affiliation layers","Candidate contribution: compare mechanisms and cross-layer brokerage in one locality","All relation types can be projected into one alliance or influence graph","Build five separate layers and allow only time-overlapping, reviewed projections"
"CP015","candidate_new_contribution","unit_of_analysis","Constraint, reproduction, mediation, public diplomacy, and legitimation should be coded at action/relation level rather than assigned as permanent actor identities","L001;L005;L016","Existing organizations can hold different roles across cases and times","Candidate contribution: mechanism-based classification with mixed and changing positions","An organization is inherently pro-base or anti-base based on one event","Create action-effect vocabulary with valid-time and case scope"
"CP016","candidate_new_contribution","legitimation_chain","Legitimation can be tested as a chain from public claim to resource/service delivery to audience response and attitude/policy effect","L001;L010;L011;L013;L014","Claim and service records exist; response/effect data are thin","Candidate contribution: separate and link legitimation claims, delivery, reception, and effects","Observed goodwill language or charitable transfer proves social acceptance","Collect paired claim, recipient, media, survey/interview, and policy-response records"
