review_item_id,object_type,object_ids,queue_role,formal_hr_dispatch_status,decision_scope,review_question,source_candidate_ids,recommended_options,ai_recommendation,risk_if_overread,human_decision,reviewer,review_date,revision_note,package_scope,claim_status,review_status,frontend_eligibility,central_writeback
NR05HR-A-H98_001,historical_anchor,H98_001,research_candidate_pool,not_dispatched,fact_date_source_relation_interpretation_boundary,Does the cited evidence support H98_001 with the stated source/event/activity/claim date separation and relation boundary?,NR05S001,accept;revise;defer_second_source;defer_local;reject,defer_or_accept_context_only,"This is not a census; no organization, alliance, prevalence or population edge is created. Does not establish conditions after 1998 or a single lineage from anti-base to all NGOs.",,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05HR-A-H98_002,historical_anchor,H98_002,research_candidate_pool,not_dispatched,fact_date_source_relation_interpretation_boundary,Does the cited evidence support H98_002 with the stated source/event/activity/claim date separation and relation boundary?,NR05S002;NR05S003;NR05S004,accept;revise;defer_second_source;defer_local;reject,accept_bounded,"Counts cover all certified NPO corporations, not this project's base-accountability actors. Certification count is not organizational activity, survival, issue orientation or causal professionalization.",,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05HR-A-H98_003,historical_anchor,H98_003,research_candidate_pool,not_dispatched,fact_date_source_relation_interpretation_boundary,Does the cited evidence support H98_003 with the stated source/event/activity/claim date separation and relation boundary?,NR05S005;NR05S006;NR05S007;NR05S031,accept;revise;defer_second_source;defer_local;reject,accept_bounded,Do not encode simple rename/same-actor continuity until charter and certification records are checked. No claim that the 1998 course article caused ONC's formation or that staff/membership stayed constant.,,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05HR-A-H98_004,historical_anchor,H98_004,research_candidate_pool,not_dispatched,fact_date_source_relation_interpretation_boundary,Does the cited evidence support H98_004 with the stated source/event/activity/claim date separation and relation boundary?,NR05S008;NR05S009,accept;revise;defer_second_source;defer_local;reject,accept_bounded,A litigation round is not a new actor and does not imply identical plaintiffs across dates. Central HR-012 remains authoritative; NR-05 does not reapprove cross-round continuity.,,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05HR-A-H98_005,historical_anchor,H98_005,research_candidate_pool,not_dispatched,fact_date_source_relation_interpretation_boundary,Does the cited evidence support H98_005 with the stated source/event/activity/claim date separation and relation boundary?,NR05S010;NR05S011,accept;revise;defer_second_source;defer_local;reject,accept_bounded,"Joint case presence is case-specific; A002 and A019 remain organizational non-parties. No stable alliance, causal pathway or role transfer to affiliated individuals/organizations.",,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05HR-A-H98_006,historical_anchor,H98_006,research_candidate_pool,not_dispatched,fact_date_source_relation_interpretation_boundary,Does the cited evidence support H98_006 with the stated source/event/activity/claim date separation and relation boundary?,NR05S012,accept;revise;defer_second_source;defer_local;reject,accept_bounded,The 913 applicants are not converted into an organization or registry actor. No link to a named organization without an application/case file.,,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05HR-A-H98_007,historical_anchor,H98_007,research_candidate_pool,not_dispatched,fact_date_source_relation_interpretation_boundary,Does the cited evidence support H98_007 with the stated source/event/activity/claim date separation and relation boundary?,NR05S013;NR05S014,accept;revise;defer_second_source;defer_local;reject,accept_bounded,Participants at the site are not automatically A019 members or partner organizations. Do not backfill the entire 2004-present site history into one unchanged organization.,,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05HR-A-H98_008,historical_anchor,H98_008,research_candidate_pool,not_dispatched,fact_date_source_relation_interpretation_boundary,Does the cited evidence support H98_008 with the stated source/event/activity/claim date separation and relation boundary?,NR05S015,accept;revise;defer_second_source;defer_local;reject,accept_bounded,"Formal comment does not imply alliance, project suspension or acceptance of the opinion. No generalized EIA role beyond the named submission.",,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05HR-A-H98_009,historical_anchor,H98_009,research_candidate_pool,not_dispatched,fact_date_source_relation_interpretation_boundary,Does the cited evidence support H98_009 with the stated source/event/activity/claim date separation and relation boundary?,NR05S016;NR05S017,accept;revise;defer_second_source;defer_local;reject,accept_bounded,A055 is not encoded as the named organizational plaintiff. First- and second-wave results and plaintiff sets remain separate.,,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05HR-A-H98_010,historical_anchor,H98_010,research_candidate_pool,not_dispatched,fact_date_source_relation_interpretation_boundary,Does the cited evidence support H98_010 with the stated source/event/activity/claim date separation and relation boundary?,NR05S018,accept;revise;defer_second_source;defer_local;reject,accept_bounded,"The diary confirms a request, not its full text, government response, outcome or alliance. No claim about uninterrupted branch activity before or after this date.",,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05HR-A-H98_011,historical_anchor,H98_011,research_candidate_pool,not_dispatched,fact_date_source_relation_interpretation_boundary,Does the cited evidence support H98_011 with the stated source/event/activity/claim date separation and relation boundary?,NR05S019,accept;revise;defer_second_source;defer_local;reject,accept_bounded,"Co-signing is not a stable alliance, membership, coordination edge or shared organization. No persistence before or after the statement.",,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05HR-A-H98_012,historical_anchor,H98_012,research_candidate_pool,not_dispatched,fact_date_source_relation_interpretation_boundary,Does the cited evidence support H98_012 with the stated source/event/activity/claim date separation and relation boundary?,NR05S020,accept;revise;defer_second_source;defer_local;reject,accept_bounded,Round label is not a separate actor and does not imply identical plaintiffs. Central HR-012 remains authoritative; no lifecycle rewrite from NR-05.,,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05HR-A-H98_013,historical_anchor,H98_013,research_candidate_pool,not_dispatched,fact_date_source_relation_interpretation_boundary,Does the cited evidence support H98_013 with the stated source/event/activity/claim date separation and relation boundary?,NR05S021,accept;revise;defer_second_source;defer_local;reject,accept_bounded,"Attendance and shared views do not generate membership or stable alliance edges. Formation, officers and post-event survival are unknown.",,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05HR-A-H98_014,historical_anchor,H98_014,research_candidate_pool,not_dispatched,fact_date_source_relation_interpretation_boundary,Does the cited evidence support H98_014 with the stated source/event/activity/claim date separation and relation boundary?,NR05S008;NR05S009,accept;revise;defer_second_source;defer_local;reject,accept_bounded,Do not collapse two plaintiff groups/case forms or infer identical participants. Central HR-012 remains authoritative; NR-05 does not create or merge actors.,,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05HR-A-H98_015,historical_anchor,H98_015,research_candidate_pool,not_dispatched,fact_date_source_relation_interpretation_boundary,Does the cited evidence support H98_015 with the stated source/event/activity/claim date separation and relation boundary?,NR05S022,accept;revise;defer_second_source;defer_local;reject,defer_or_accept_context_only,"Mention of peace groups/unions does not create membership or stable-alliance edges. Identity, officers beyond reported co-representatives, ad execution and survival remain unverified.",,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05HR-S-NR05OS002,organization_status_candidate,NR05OS002,research_candidate_pool,not_dispatched,status_date_legal_semantics_continuity_boundary,"Is 1999 sufficient as a bounded formation year, with legal form unresolved?",NR05S011;NR05S023,accept;revise;defer_second_source;defer_local;reject,defer_local,"The complaint's 'nonprofit' wording does not establish Japanese法人格. A party pleading supports self-description at filing, not present continuity.",,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05HR-S-NR05OS003,organization_status_candidate,NR05OS003,research_candidate_pool,not_dispatched,status_date_legal_semantics_continuity_boundary,Accept month-level formation while preserving supporter/plaintiff separation?,NR05S024,accept;revise;defer_second_source;defer_local;reject,defer_local,Current institutional directory labels an organization; no法人格 claimed. Formation does not make A055 an organizational plaintiff in Awase litigation.,,,,,research_only,candidate,ai_seeded,not_frontend_ready,no
