place,frame_code,frame_label,online_evidence_density,key_actor_or_speaker_candidates,key_events_or_documents,corpus_source_ids,current_explanatory_value,major_bias_or_gap,online_next_step,local_retrieval_trigger,coding_status
Miyako,F_GW,groundwater_life_safety,high,"6・11集会実行委員会（A012 crosswalk 待审）;GOV_MIYAKO_CITY;R4S002 陈情者未具名",地下水保护条例;陸自部署陈情行政回应;2016集会,R4S001;R4S002;R4S003,宫古饮用水依赖使部署争议可被转译为水源与生命条件问题,直接部署文本仅两条且组织原始陈情仍缺,取得2017陈情原文并核 A012/A013 自有声明,组织原始陈情和稳定身份仅能由宫古报刊／议会附件确认时派单,qa_corrected_candidate
Miyako,F_AUT,local_autonomy_referendum,low,"久貝美奈子议员;宫古岛市行政答复;匿名意见交换参加者",先岛有事避难议会质询;国民保护意见回答,R4S008;R4S009,自治主要以说明、居民意见进入和返回生活问题出现，尚无制度化公投链,民间组织文本弱且议员问题与行政答复易混,拆分议员／行政／匿名居民 speaker 并补民间声明,只有地方会议录像或报刊保留居民发言时派单,qa_corrected_candidate
Miyako,F_FTE,frontline_taiwan_evacuation,high,"GOV_MIYAKO_CITY;久貝美奈子议员;匿名意见交换参加者",国民保护计划;全岛避难模式;2025议会质询;2025-2026意见交换,R4S006;R4S007;R4S008;R4S009,撤离讨论进入运输、财产、返回生活和居民意见等实施问题,官方／议会材料显著多于民间组织文本,补精确页码并拆分 speaker；检索民间对撤离可行性的声明,仅地方保存的会议视频或报刊可补民间声音时派单,qa_corrected_candidate
Miyako,F_ENV,environment_deployment,medium,"6・11集会実行委員会（A012 crosswalk 待审）;R4S002 陈情者未具名",部署陈情中的地下水监测;2016地下水诉求集会,R4S002;R4S003,可证的部署—环境连接集中在地下水，而不是泛生态组织存在,一般环保组织 A097/A098 不能计入部署框架，且原陈情文本缺失,获取陈情原文和防卫局施工／排水材料,纸本陈情或地方报刊不可在线取得时派单,qa_corrected_candidate
Ishigaki,F_GW,groundwater_life_safety,very_low,none confirmed,无直接地下水候选事件,,当前语料中的医疗／运输／补偿属于 F_LIFE 而非 F_GW,把非水生命安全塞入 F_GW 会误导三地比较,另检索平得大俣水源／地下水直接材料,地方环境资料未数字化且检索到明确题名线索时派单,qa_corrected_candidate
Ishigaki,F_AUT,local_autonomy_referendum,very_high,"住民投票请求代表／匿名原告;GOV_ISHIGAKI_CITY;LEG_ISHIGAKI_COUNCIL",14263份有效签名;条例两次否决;诉讼;撤离市民意思确认,R4S010;R4S011;R4S014,石垣具有三地最完整的公投制度事实链和后续撤离参与程序,原 R4S012 域名已改作旅游站；法院不具名 A011,用有效历史归档或新一手组织材料替换 R4S012，并维持匿名原告边界,组织沿革及历史网页只能由馆藏／网页存档确认时派单,qa_corrected_candidate
Ishigaki,F_FTE,frontline_taiwan_evacuation,high,"GOV_ISHIGAKI_CITY;LEG_ISHIGAKI_COUNCIL;意见交换会匿名参加者",R4-R7年度避难要领;国民保护改正决议;伊原间意见交换,R4S013;R4S014;R4S015,讨论已进入残留人员、医护、补偿、运输和居民意愿等执行问题,官方材料强但匿名参加者 23 人不能代表全市,逐年抽取 R4-R7 变化并拆分居民意见／行政答复,需报刊数据库补公众争论范围时派单,qa_corrected_candidate
Ishigaki,F_ENV,environment_deployment,low,"次呂久成崇议员;沖縄県環境部;未具名石垣市民",冠鹫营巢与施工重启质询,R4S016,环境与部署通过冠鹫、噪声／振动和施工程序形成直接连接,只有一条议会记录且未具名 A010，原包年份误写 2020,检索 A010 请求书、防卫局调查与县索取调查结果文书,原始请求书或连续生态监测仅见纸本时派单,qa_corrected_candidate
Yonaguni,F_GW,groundwater_life_safety,very_low,none confirmed,无直接地下水候选事件,,现有语料支持一般生活安全但不支持地下水是与那国部署框架,照搬宫古水框架会强行环境化与那国,停止机械补水标签；转查医疗、港口、撤离和生活恢复,仅出现具名地下水原始文本线索时再派单,qa_corrected_candidate
Yonaguni,F_AUT,local_autonomy_referendum,high,"A014;A016;GOV_YONAGUNI_TOWN",2015部署住民投票;2017 A016 住民主体自治博文,R4S017;R4S022,自治框架由当次投票和民间对住民主体自治的明确语言共同支持,2015结果不授权后续扩编；A015 在本包无来源,继续检索投票公告／条例与后续扩编说明会居民问答,组织正式名、代表与持续性仅能由八重山馆藏确认时派单,qa_corrected_candidate
Yonaguni,F_FTE,frontline_taiwan_evacuation,very_high,"A016;GOV_YONAGUNI_TOWN;MOD_JAPAN;GOV_CABINET_SAGA",台湾邻近／最前线;沿岸监视队;国民保护;停止联合训练请求;新导弹说明会;佐贺接收训练,R4S018;R4S019;R4S020;R4S023;R4S024;R4S025,与那国的公开可见框架集中于台湾邻近、前线监视、新部队、岛外撤离和接收安排,官方叙事占压倒多数；训练和说明会不等于能力或同意,补 2026 说明会问答、町议会记录和 A016 原请求书,会议实录和地方报刊不可在线取得时派单,qa_corrected_candidate
Yonaguni,F_ENV,environment_deployment,very_low,none confirmed,本包 25 条 locator 中无与那国部署—环境直接文本,,这是限定语料中的 0 条直接证据，不是“当地不存在环境关切”的总体结论,不得因岛屿生态丰富或驻屯地存在推断环境动员,只接受具名组织原始文本或明确议会／请求书证据,当地资料出现明确环境主张题名和主体后再开启派单,qa_corrected_candidate
