queue_id,audit_row_id,suggested_source_id_if_merged,proposal_refs,normalized_url,issue_codes,review_question,relation_or_claim_approved
NW2FM001,NW2FS006,S253,NW2-B_R09:R9EC_S006,https://www.magazine9.jp/article/yuntacrew/18975,source_type_human_choice,Confirm canonical title/publisher/type/year/locator as flagged; for existing matches preserve the current S row unless a deliberate metadata revision is approved.,no
NW2FM002,NW2FS007,S254,NW2-B_R09:R9EC_S007;NW2-C_registry_gate:RV2SP015,https://www.shinfujin.gr.jp/2943,cross_batch_title_variant;cross_batch_publisher_label_variant,Confirm canonical title/publisher/type/year/locator as flagged; for existing matches preserve the current S row unless a deliberate metadata revision is approved.,no
NW2FM003,NW2FS022,,NW2-C_registry_gate:RV2SP001,https://miyakojima-tikasui.com/about_us.html,existing_source_metadata_diff;existing_title_diff_preserve_current;existing_type_diff_preserve_current,Confirm canonical title/publisher/type/year/locator as flagged; for existing matches preserve the current S row unless a deliberate metadata revision is approved.,no
NW2FM004,NW2FS023,,NW2-C_registry_gate:RV2SP002,https://miyakojima-tikasui.com/,existing_source_metadata_diff;activity_range_vs_access_year;locator_is_broad_index;existing_type_diff_preserve_current,Confirm canonical title/publisher/type/year/locator as flagged; for existing matches preserve the current S row unless a deliberate metadata revision is approved.,no
NW2FM005,NW2FS024,S269,NW2-C_registry_gate:RV2SP003,https://miyakojima-tikasui.com/crisis.html,publication_date_unavailable_access_date_only,Confirm canonical title/publisher/type/year/locator as flagged; for existing matches preserve the current S row unless a deliberate metadata revision is approved.,no
NW2FM006,NW2FS026,S271,NW2-C_registry_gate:RV2SP005,https://www.city.miyakojima.lg.jp/kurashi/seikatsu/kankyohozen/files/tikasui.pdf,pdf_locator_needs_page_pinpoint,Confirm canonical title/publisher/type/year/locator as flagged; for existing matches preserve the current S row unless a deliberate metadata revision is approved.,no
NW2FM007,NW2FS028,S273,NW2-C_registry_gate:RV2SP007,https://www.city.ginowan.lg.jp/material/files/group/61/hukusi_202212.pdf,hearing_date_vs_report_date_choose_source_log_year,Confirm canonical title/publisher/type/year/locator as flagged; for existing matches preserve the current S row unless a deliberate metadata revision is approved.,no
NW2FM008,NW2FS035,S280,NW2-C_registry_gate:RV2SP014,https://www.shinfujin.gr.jp/about/organization,publication_date_unavailable_access_date_only,Confirm canonical title/publisher/type/year/locator as flagged; for existing matches preserve the current S row unless a deliberate metadata revision is approved.,no
NW2FM009,NW2FS040,S285,NW2-C_registry_gate:RV2SP020,https://www.pref.okinawa.lg.jp/shigoto/koyorodo/1012030/1012056.html,rolling_record_range_vs_access_year;locator_needs_named_entry_or_snapshot_date,Confirm canonical title/publisher/type/year/locator as flagged; for existing matches preserve the current S row unless a deliberate metadata revision is approved.,no
NW2FM010,NW2FS045,S290,NW2-C_registry_gate:RV2SP025,https://yaimatime.com/schedule/archive/2302/12/23,source_type_human_choice;archive_path_date_alignment_needs_confirmation,Confirm canonical title/publisher/type/year/locator as flagged; for existing matches preserve the current S row unless a deliberate metadata revision is approved.,no
NW2FM011,NW2FS049,S294,NW2-C_registry_gate:RV2SP029,https://researchmap.jp/teppy/presentations/10378736/attachment_file.pdf,source_type_human_choice;undated_attachment_use_access_year_only,Confirm canonical title/publisher/type/year/locator as flagged; for existing matches preserve the current S row unless a deliberate metadata revision is approved.,no
