case_id,actor_id,period_start,period_end,grant_line_value,currency,admitted_reconciliation_components,reconciliation_difference,named_relation_candidate_amount,named_amount_share_pct,closure_status,dedupe_rule,fact_status
AWWA,X004,2021-06-01,2022-05-31,,USD,,,0,,grant_field_absent_not_zero,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
AWWA,X004,2022-06-01,2023-05-31,125158,USD,125158,0,44143,35.27,components_reconcile_to_grant_line,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
AWWA,X004,2023-06-01,2024-05-31,94889,USD,94889,0,39873,42.02,components_reconcile_to_grant_line,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
KOSC,X006,2022-06-01,2023-05-31,0,USD,0,0,0,,components_reconcile_to_grant_line,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
KOSC,X006,2023-06-01,2024-05-31,40265,USD,40265,0,0,0.0,components_reconcile_to_grant_line,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
KOSC,X006,2024-06-01,2025-05-31,46530,USD,46530,0,0,0.0,components_reconcile_to_grant_line,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
MOSCO,X016,2022-06-01,2023-05-31,7900,USD,7900,0,0,0.0,components_reconcile_to_grant_line,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
MOSCO,X016,2023-06-01,2024-05-31,21500,USD,21500,0,0,0.0,components_reconcile_to_grant_line,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
MOSCO,X016,2024-06-01,2025-05-31,,USD,,,0,,grant_field_absent_not_zero,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
NOSCO,X005,2022-07-01,2023-06-30,11054,USD,11054,0,0,0.0,components_reconcile_to_grant_line,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
NOSCO,X005,2023-07-01,2024-06-30,12055,USD,12055,0,0,0.0,components_reconcile_to_grant_line,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
NOSCO,X005,2024-07-01,2025-06-30,20000,USD,20000,0,0,0.0,components_reconcile_to_grant_line,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
OESC,X007,2022-07-01,2023-06-30,99522,USD,99522,0,16308,16.39,components_reconcile_to_grant_line,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
OESC,X007,2023-07-01,2024-06-30,103320,USD,103320,0,14371,13.91,components_reconcile_to_grant_line,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
OESC,X007,2024-07-01,2025-06-30,78005,USD,78005,0,8479,10.87,components_reconcile_to_grant_line,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
MTS,X018,2022-01-01,2022-12-31,,USD,,,0,,grant_field_absent_not_zero,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
MTS,X018,2023-01-01,2023-12-31,125218,USD,125218,0,75422,60.23,components_reconcile_to_grant_line,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
MTS,X018,2024-01-01,2024-12-31,92102,USD,92102,0,28488,30.93,components_reconcile_to_grant_line,"Use the grant line once. Component, bucket, named, residual and narrative rows are nested views and are never added on top of it.",research_only
