proposal_id,title,url,publisher,source_type,publication_or_record_date,locator,support_scope,suggested_evidence_level,source_log_state,relation_or_claim_approved,caveat
R9EC_S001,平成26年版 選挙管理委員会年報,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/927/h26nenpou.pdf,沖縄県選挙管理委員会,official_election_record,2015-06,『沖縄県知事選挙の実績』第12回（告示2014-10-30、投票2014-11-16）,2014 election-window date and official institutional context only,E4,proposal_only,no,Does not support any civic-actor role or causal effect.
R9EC_S002,きちきちニュースレター Vol.6（島ぐるみ会議結成）,https://www.ywca.or.jp/pdf/2014/0716.pdf,日本YWCA 基地チーム,organization_newsletter,2014-07,"p.1, lines describing 7/27 founding and explicitly stating the body was not directly election-purpose",2014 Shimagurumi founding as issue-campaign window and non-endorsement boundary,E3,proposal_only,no,Participant/advocacy publication; exact crosswalk to A059 requires human review.
R9EC_S003,翁長那覇市長に保革双方が出馬を要請,https://www.qab.co.jp/news/2014082157456.html,琉球朝日放送,local_broadcast_news,2014-08-21,Names two women-led request groups and reports their candidate-entry requests,2014 women-group request to Takeshi Onaga to stand,E3,proposal_only,no,Does not provide the full member roster of either ad hoc request body.
R9EC_S004,翁長さんで新基地阻止／女性団体が出馬要請,https://www.jcp.or.jp/akahata/aik14/2014-08-22/2014082204_01_1.html,しんぶん赤旗,party_media,2014-08-22,Reports the request body as 52 groups/individuals and names two example networks,2014 women request-body scale/context; second source to QAB,E2,proposal_only,no,Party-media framing; 52 is not a verified organization roster.
R9EC_S005,『新基地ノー』心一つ／沖縄知事選 女性29団体が集会,https://www.jcp.or.jp/akahata/aik14/2014-10-11/2014101104_01_1.html,しんぶん赤旗,party_media,2014-10-11,Reports 10/9 women assembly organized by the Hiyamikachi Umānchu campaign women's bureau,2014 public endorsement/mobilization meeting,E2,proposal_only,no,Single party-media report; full 29-group roster is not available online.
R9EC_S006,『ゆんたく』から始まった、沖縄・若者の抵抗,https://www.magazine9.jp/article/yuntacrew/18975/,マガジン9 / ゆんたくるー,participant_account,2015-04-22,Participant describes formation after 2014-08-12 and a pre-gubernatorial-election field-learning bus tour,2014 youth observation/dialogue intervention,E3,proposal_only,no,Retrospective first-person account; does not establish turnout or vote effects.
R9EC_S007,談話：沖縄県知事選で圧勝の民意に応え、ただちに新基地建設中止を,https://www.shinfujin.gr.jp/2943/,新日本婦人の会,organization_statement,2014-11-19,Official post-result statement; self-reports Okinawa members' campaign activity,2014 organization public interpretation and bounded self-report,E4,proposal_only,no,Organizational self-report is not independent evidence of electoral effect.
R9EC_S008,平成30年沖縄県知事選挙 特設ページ,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1021246.html,沖縄県選挙管理委員会,official_election_record,2018-09,Official 2018 election administration and 9/30 vote date,2018 election-window date and institutional context only,E4,proposal_only,no,Does not support any civic-actor role or causal effect.
R9EC_S009,『知事、頑張れ』緊急集会で撤回表明に喜びと決意,https://ryukyushimpo.jp/news/entry-770040.html,琉球新報,local_news,2018-07-27,"Reports All Okinawa Council rally, appeal supporting revocation, and 300+ participants",2018 pre-election issue campaign supporting a gubernatorial administrative act,E3,proposal_only,no,Support for a policy act is not a candidate endorsement or vote-effect claim.
R9EC_S010,8.11県民大会（辺野古新基地建設断念要求）,https://all-okinawa.jp/492/,辺野古新基地を造らせないオール沖縄会議,organization_event_record,2018-08-11,Official event page and linked reports after Onaga's death,2018 issue campaign and memorial rally; no candidate endorsement coded,E4,proposal_only,no,Election proximity does not convert the rally into an endorsement without explicit evidence.
R9EC_S011,沖縄県知事選 出遅れ危機感『結束優先』 玉城氏、出馬要請受諾,https://ryukyushimpo.jp/news/entry-789039.html,琉球新報,local_news,2018-08-24,"Reports 8/23 request by the adjustment council composed of assembly caucuses, parties, unions and firms",2018 candidate-selection request by a temporary mixed coalition,E3,proposal_only,no,"The temporary council is an event node, not an NGO or stable alliance."
